Factories_name;Parent_companies_name;Country_parent;Address_1_factory;Address_2_factory;Address_3_factory;City_factory;Zip_Code_factory;Province_State_factory;countrycode;country_parent_num;factory_parent_different;Product_Categories_grp;b1_Adidas;b2_ASICS;b3_ASOS;b4_CandA;b5_Debenhams;b6_Esprit;b7_GAP;b8_G_STAR;b9_HandM;b10_MandS;b11_NIKE;b12_Pentland;b13_Primark;b14_PUMA;b15_Under_Armour;b16_VF_Corp;b17_Amer_Sports;b18_Bestseller;b19_KappAhl;b20_New_Balance;b21_Levi_Strauss;b22_PVH;b23_Tesco;b24_UNIQLO;TOTAL_BRANDS;employees_p_factory;nonmbrs;b1_Adidas_DICH;b2_ASICS_DICH;b3_ASOS_DICH;b4_CandA_DICH;b5_Debenhams_DICH;b6_Esprit_DICH;b7_GAP_DICH;b8_G_STAR_DICH;b9_HandM_DICH;b10_MandS_DICH;b11_NIKE_DICH;b12_Pentland_DICH;b13_Primark_DICH;b14_PUMA_DICH;b15_Under_Armour_DICH;b16_VF_Corp_DICH;b17_Amer_Sports_DICH;b18_Bestseller_DICH;b19_KappAhl_DICH;b20_New_Balance_DICH;b21_Levi_Strauss_DICH;b22_PVH_DICH;b23_Tesco_DICH;b24_UNIQLO_DICH;employees_p_factory_gt1000;ownership_grp;TOTAL_BRANDS16;TOTAL_BRANDS16_dich;femployees_p_factory;EPZ;Country
Dada Dhaka Ltd;Dada Corp;KR;Holding #40, Village: Pagar, Joymot Khan Road; Munnonagar, Pagar, Tongi;;gazipur;1710;dhaka;Bangladesh;Korea;yes;accessories;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;2500;2500.0;500.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;yes;7500;500.0;500.0;-9;no;Bangladesh
Karnaphuli Shoes Industries Limited (Garments Unit);Youngone Corp;KR;Korean Export Processing Zone;Anwara;North Patenga,;chittagong;4371;chittagong;Bangladesh;Korea;yes;footwear;7500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7500;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500;7500.0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;yes;7500;2500.0;500.0;-9;yes;Bangladesh
Karnaphuli Sportswear Industries Ltd;Youngone Corp;KR;Plot # 9-14 18-20 Sector # 7 Chittagong Export Processing Zone;;;chittagong;4371;chittagong;Bangladesh;Korea;yes;footwear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7500;7500;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;7500;7500.0;500.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;yes;7500;2500.0;500.0;-9;yes;Bangladesh
KENPARK BANGLADESH APPAREL (PVT) LIMITED [K-5] (Expanded Facility);FR Apparel Trading DMCC;UAE;Plot No-14-23,Sector-02,;Karnaphuli Export Processing Zone.;;chittagong;4204;chittagong;Bangladesh;UAE;yes;footwear;2500;0;0;0;0;0;0;0;0;2500;0;0;0;0;0;0;0.0;0.0;0.0;0.0;;;0.0;0.0;4;2500.0;2500.0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;yes;7500;2500.0;500.0;60;yes;Bangladesh
Uni Gears Ltd;Uni Gears Ltd;BD;Badshamia School Road;Khailkur, Board Bazar;;gazipur;1704;dhaka;Bangladesh;Bangladesh;no;footwear;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;2500.0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;yes;500;500.0;500.0;-9;no;Bangladesh
Youngone (CEPZ) Ltd;Youngone Corp;KR;Plot # 03-16, Sector # 2,;Chittagong Export Processing Zone;ANG SNOUL DISTRICT, KANDAL PROVINCE, CAMBODIA;chittagong;4223;chittagong;Bangladesh;Korea;yes;footwear;7500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500;7500.0;500.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;yes;7500;500.0;500.0;-9;yes;Bangladesh
Bowker Garment Factory (Cambodia) Company Limited;Bowker Asia Ltd;HK;NATIONAL ROAD NO.4,;PONG TEUK VILLAGE, BEK CHAN COMMUNE;;kandal;8301;rangpur;Bangladesh;344;yes;footwear;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;2500.0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;yes;7500;500.0;500.0;-9;no;Bangladesh
A One Polar Ltd;Micro Fibre Group;BD;VULTA, RUPGONJ;;;narayanganj;1460;dhaka;Bangladesh;Bangladesh;yes;footwear;0;0;0;2500;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;2500.0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;yes;2500;500.0;500.0;-9;no;Bangladesh
A to Z Printing Ltd;Vision Group;BD;221 A Tejgaon Industrial Area;;;dhaka;1208;dhaka;Bangladesh;Bangladesh;yes;accessories;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;500.0;500.0;-9;yes;Bangladesh
Actor Sporting Ltd;Actor Sporting Ltd;BD;Block 33-3, Dhaka Export Processing Zone, Ganakbari;;;savar;1349;dhaka;Bangladesh;Bangladesh;no;footwear;0;0;0;2500;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;2500;2500.0;500.0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;yes;500;500.0;500.0;-9;yes;Bangladesh
