geocode_name;lat;lon;factories
istanbul;41.01384;28.94966;3
dongguan;23.01797;113.74866;3
kampong speu;11.45332;104.52085;3
chau thanh;10.0009;105.75095;2
haining;30.53629;120.68638;2
western;39.48537;-79.04475;2
bandung;-6.92222;107.60694;2
guangzhou;23.11667;113.25;2
xiamen;24.47979;118.08187;2
yangzhou;32.39722;119.43583;2
bien hoa;10.94469;106.82432;2
di an;50.3048;3.44796;2
taichung;24.1469;120.6839;1
shaoxing;30.00237;120.57864;1
sinaloa;15.89261;-92.12896;1
shanghai;31.22222;121.45806;1
suqian;33.94917;118.29583;1
suzhou;31.30408;120.59538;1
antalya;36.90812;30.69556;1
tan phu;11.45119;106.86811;1
tangerang;-6.17806;106.63;1
thu duc;10.84863;106.77209;1
ratnapura;6.6858;80.4036;1
trang bom;10.95358;107.00589;1
tu ky;20.81914;106.40661;1
wuxi;26.5844;111.859;1
yancheng;29.74357;103.56679;1
yangzhong;26.70556;119.37444;1
santa ana;-12.86667;-72.71667;1
nantong;32.03028;120.87472;1
quanzhou;25.93545;111.06752;1
phnom penh;11.56245;104.91601;1
boyolali;-7.53306;110.59583;1
butterworth;5.3991;100.36382;1
changhua;34.8269;112.43129;1
changzhou;23.48492;111.27413;1
chon thanh;11.42821;106.63536;1
dong nai;11.57981;107.36518;1
dong phu;15.67356;108.2201;1
dong xoai;11.53495;106.88324;1
hai duong;20.94099;106.33302;1
haiphong;20.86481;106.68345;1
hoc mon;10.8891;106.59533;1
huangshi;30.24706;115.04814;1
jiaxing;30.7522;120.75;1
johor bahru;1.4655;103.7578;1
karawang;-6.30525;107.3197;1
ningbo;29.87819;121.54945;1
olocuilta;13.56972;-89.11722;1
zhongshan;34.93806;105.8775;1
