geocode_name;lat;lon;factories
istanbul;41.01384;28.94966;64
tirupur;11.11541;77.35456;35
hangzhou;30.29365;120.16142;30
dongguan;23.01797;113.74866;30
noida;28.58;77.33;22
wenzhou;27.99942;120.66682;21
qingdao;36.06488;120.38042;20
shenzhen;22.54554;114.0683;13
guangzhou;23.11667;113.25;12
faridabad;28.41124;77.31316;11
delhi;42.27814;-74.91599;10
chennai;13.08784;80.27847;9
bangalore;12.97194;77.59369;9
gurgaon;28.4601;77.02635;8
huizhou;23.11147;114.41523;7
new delhi;28.63576;77.22445;7
suzhou;31.30408;120.59538;7
mumbai;19.07283;72.88261;7
ghaziabad;28.66535;77.43915;6
yangzhou;32.39722;119.43583;6
esenyurt;41.02697;28.67732;5
huidong;26.63745;102.57568;5
yiwu;29.31506;120.07676;5
laizhou;37.18073;119.94217;5
kolkata;22.56263;88.36304;4
changzhou;23.48492;111.27413;4
quanzhou;25.93545;111.06752;4
jiaxing;30.7522;120.75;4
bareilly;28.36678;79.43167;4
phnom penh;11.56245;104.91601;4
izmir;38.41273;27.13838;3
shantou;23.36814;116.71479;3
jaipur;26.91962;75.78781;3
jinjiang;19.72878;110.00851;3
changshu;31.64615;120.74221;3
kanpur;26.46523;80.34975;3
foshan;23.02677;113.13148;3
agra;46.03668;8.76833;3
shengzhou;29.59583;120.81667;3
ningbo;29.87819;121.54945;2
surat;21.19594;72.83023;2
jieyang;23.5418;116.36581;2
meerut;28.98002;77.70636;2
nanjing;32.06167;118.77778;2
zhenjiang;32.21086;119.45508;2
huzhou;30.8703;120.0933;2
weihai;37.50914;122.11356;2
bangkok;13.75398;100.50144;2
yancheng;29.74357;103.56679;2
chaozhou;23.65396;116.62262;2
taizhou;28.66266;121.43312;2
thane;36.80368;9.84424;2
ho chi minh;10.82302;106.62965;2
unnao;26.54706;80.48781;1
sikandrabad;28.45226;77.70004;1
zhaoqing;23.04893;112.46091;1
yunfu;22.92787;112.03809;1
pune;18.51957;73.85535;1
yozgat;39.82;34.80444;1
tan phu;11.45119;106.86811;1
xinyi;22.37303;110.94746;1
sancaktepe;41.00244;29.23187;1
sfax;34.74056;10.76028;1
xingtai;37.06306;114.49417;1
tekirdag;40.9781;27.51101;1
thanh hoa;10.65744;106.18081;1
thong nhat;10.95055;107.14571;1
vellore;12.9184;79.13255;1
vapi;20.37175;72.90493;1
wuhan;30.58333;114.26667;1
adapazarı;40.78056;30.40333;1
ordu;40.97782;37.89047;1
changshun;41.89139;113.99222;1
eskisehir;39.77667;30.52056;1
erode;11.3428;77.72741;1
duzce;35.05515;33.78388;1
dewas;22.96585;76.05526;1
coimbatore;11.00555;76.96612;1
chengdu;30.66667;104.06667;1
changchun;43.88;125.32278;1
negombo;7.2083;79.8358;1
bitlis;38.40115;42.10784;1
bien hoa;10.94469;106.82432;1
beylikdüzü;40.982;28.6399;1
bang phli;13.60678;100.71201;1
anuradhapura;8.31223;80.41306;1
ahmedabad;23.02579;72.58727;1
fuding;27.32734;120.21399;1
ganzhou;25.84664;114.9326;1
hai duong;20.94099;106.33302;1
harbin;45.75;126.65;1
heshan;28.5825;112.35028;1
hoc mon;10.8891;106.59533;1
huanggang;30.45143;114.87035;1
indore;22.71792;75.8333;1
jinhua;29.10678;119.64421;1
kolar;67.33047;23.77785;1
kwai chung;22.36828;114.13877;1
linyi;35.06306;118.34278;1
lu'an;-8.83682;13.23432;1
monastir;39.3836;9.04445;1
moradabad;28.83893;78.77684;1
my tho;10.36004;106.35996;1
nantong;32.03028;120.87472;1
kirklareli;41.73508;27.22521;1
