geocode_name;lat;lon;factories
seoul;37.566;126.9784;36
dongguan;23.01797;113.74866;22
ho chi minh;10.82302;106.62965;17
phnom penh;11.56245;104.91601;16
tangerang;-6.17806;106.63;13
sialkot;32.49268;74.53134;13
taichung;24.1469;120.6839;12
shenzhen;22.54554;114.0683;12
ningbo;29.87819;121.54945;11
qingdao;36.06488;120.38042;11
zhongshan;34.93806;105.8775;10
tainan;22.99083;120.21333;10
busan;35.10168;129.03004;10
incheon;37.45646;126.70515;10
bien hoa;10.94469;106.82432;9
xiamen;24.47979;118.08187;9
fuzhou;27.95999;116.33333;9
shanghai;31.22222;121.45806;8
quanzhou;25.93545;111.06752;8
taipei;25.04776;121.53185;7
dehradun;30.32443;78.03392;7
lapu-lapu city;10.31028;123.94944;6
lahore;31.558;74.35071;6
hangzhou;30.29365;120.16142;6
semarang;-6.99306;110.42083;6
guangzhou;23.11667;113.25;6
yangon;16.80528;96.15611;6
faisalabad;31.41554;73.08969;5
bogor;-6.59444;106.78917;5
nantong;32.03028;120.87472;5
dong nai;11.57981;107.36518;5
qingyuan;37.61748;112.32583;5
dalian;38.91222;121.60222;5
zhuji;29.71877;120.24233;5
putian;25.43944;119.01028;5
bangkok;13.75398;100.50144;4
jinjiang;19.72878;110.00851;4
changzhou;23.48492;111.27413;4
jiaxing;30.7522;120.75;4
haining;30.53629;120.68638;4
bangalore;12.97194;77.59369;4
negombo;7.2083;79.8358;4
bandung;-6.92222;107.60694;4
serang;-6.11528;106.15417;4
ganzhou;25.84664;114.9326;4
gwangju;37.41;127.25722;3
nellore;14.44992;79.98697;3
foshan;23.02677;113.13148;3
noida;28.58;77.33;3
miaoli;24.56427;120.82367;3
faridabad;28.41124;77.31316;3
chonburi;13.3622;100.98345;3
quezon city;14.6488;121.0509;3
yancheng;29.74357;103.56679;3
zhangjiagang;31.865;120.53889;3
long an;23.1685;107.69217;3
yogyakarta;-7.80139;110.36472;3
seongnam;37.43861;127.13778;3
chittagong;22.3384;91.83168;3
changhua;34.8269;112.43129;3
suzhou;31.30408;120.59538;3
dki jakarta;-6.21462;106.84513;3
yiwu;29.31506;120.07676;3
karachi;24.8608;67.0104;3
kunshan;31.37762;120.95431;2
jinhua;29.10678;119.64421;2
khon kaen;16.44671;102.833;2
liaoyuan;42.90361;125.13583;2
long thanh;10.78909;106.95029;2
nabeul;36.45606;10.73763;2
san juan opico;13.87611;-89.35972;2
nanjing;32.06167;118.77778;2
ordu;40.97782;37.89047;2
quzhou;28.95944;118.86861;2
sam phran;13.72698;100.21526;2
jeonju;35.82194;127.14889;2
san salvador;20.28583;-99.01457;2
shangrao;28.45179;117.94287;2
sleman;-7.71556;110.35556;2
sukabumi;-6.91806;106.92667;2
taoyuan;26.2283;100.56;2
tianjin;39.14222;117.17667;2
weifang;36.71;119.10194;2
wenzhou;27.99942;120.66682;2
western;39.48537;-79.04475;2
yunfu;22.92787;112.03809;2
jepara;-5.16948;105.70441;2
alexandria;45.88524;-95.37754;2
jalandhar;31.32556;75.57917;2
heyuan;23.73333;114.68333;2
antipolo;13.3927;123.5231;2
bekasi;-6.2349;106.9896;2
ben tre;10.24147;106.37585;2
boyolali;-7.53306;110.59583;2
changshu;31.64615;120.74221;2
chau thanh;10.0009;105.75095;2
dhaka;23.7104;90.40744;2
di an;50.3048;3.44796;2
esenyurt;41.02697;28.67732;2
fatsa;41.02778;37.50139;2
guatemala city;14.64072;-90.51327;2
gurgaon;28.4601;77.02635;2
haiphong;20.86481;106.68345;2
hengyang;26.88946;112.61888;2
ludhiana;30.91204;75.85379;2
istanbul;41.01384;28.94966;2
ismailia;30.60427;32.27225;2
irapuato;20.67675;-101.35628;2
jakarta;-6.21462;106.84513;2
jaipur;26.91962;75.78781;2
tam diep;20.15635;105.91737;1
tongliao;43.6125;122.26528;1
toluca de lerdo;19.28786;-99.65324;1
beysehir;37.67735;31.72458;1
thanh hoa;10.65744;106.18081;1
thai nguyen;37.86944;112.56028;1
tegucigalpa;14.0818;-87.20681;1
tay ninh;11.31004;106.09828;1
tasikmalaya;-7.3274;108.2207;1
bizerte;37.27442;9.87391;1
tan an;15.58224;108.11422;1
takeo;33.19009;130.02084;1
trang bom;10.95358;107.00589;1
taizhou;28.66266;121.43312;1
brebes;-6.8691;109.0378;1
caloocan city;14.64953;120.96788;1
cam lam;12.05398;109.16004;1
svay rieng;11.08785;105.79935;1
can duoc;10.50966;106.60308;1
suqian;33.94917;118.29583;1
chalchuapa;13.98667;-89.68111;1
subang;-7.1277;108.5283;1
soc trang;9.59995;105.97193;1
jining;35.405;116.58139;1
sidoarjo;-7.4478;112.7183;1
chaoyang;37.90801;113.15044;1
shishi;24.74203;118.63638;1
tongxiang;30.63287;120.56081;1
ilopango;13.70167;-89.10944;1
trieu son;19.81913;105.60392;1
bang phli;13.60678;100.71201;1
antiguo cuscatlan;13.66492;-89.25319;1
zhaoqing;23.04893;112.46091;1
jiading;25.4295;114.92804;1
bac giang;21.27307;106.1946;1
yueyang;29.37455;113.09481;1
bac lieu;9.29414;105.72776;1
baca;21.10874;-89.39866;1
yingkou;40.66472;122.23176;1
yilan;24.757;121.753;1
yantai;30.1467;107.3196;1
yangzhou;32.39722;119.43583;1
baddi;30.95783;76.79136;1
xuancheng;30.9525;118.75528;1
shenyang;41.79222;123.43278;1
xiangshan;25.26252;110.27627;1
baoji;34.36775;107.23705;1
wuxi;26.5844;111.859;1
batam;1.14937;104.02491;1
jiangyin;31.91102;120.26302;1
weihai;37.50914;122.11356;1
villa nueva;14.52512;-90.58544;1
viet tri;21.32274;105.40198;1
valladolid;41.65518;-4.72372;1
una;20.82318;71.03795;1
uijeongbu;37.7415;127.0474;1
udon thani;17.41567;102.78589;1
tuzla;36.70074;35.08726;1
chennai;13.08784;80.27847;1
shaoyang;27.23818;111.46214;1
pingtung;22.67135;120.48814;1
phichit;16.44184;100.34879;1
phan rang;11.56432;108.98858;1
olocuilta;13.56972;-89.11722;1
nong bua lamphu;17.20406;102.44068;1
guiguinto;14.83333;120.88333;1
ninh binh;20.25809;105.97965;1
ha noi;21.0245;105.84117;1
hai duong;20.94099;106.33302;1
naucalpan;19.47851;-99.23963;1
konya;37.87135;32.48464;1
haiyan;28.73632;109.12367;1
nam dan;18.69799;105.49881;1
nakhon pathom;13.8196;100.04427;1
haridwar;29.94791;78.16025;1
mixco;14.63077;-90.60711;1
kuala lumpur;3.1412;101.68653;1
majalengka;-6.83611;108.22778;1
maha sarakham;16.18483;103.30067;1
ansan;35.34199;129.03358;1
lourdes;7.94411;-72.83253;1
heshan;28.5825;112.35028;1
long ho;41.25565;-73.43484;1
ipoh;4.5841;101.0829;1
linyi;35.06306;118.34278;1
huai'an;33.58861;119.01917;1
liaocheng;36.45064;116.00247;1
lianyungang;34.59845;119.21556;1
goyang;37.65639;126.835;1
pingxiang;35.2079;105.25058;1
iksan;35.94389;126.95444;1
pulandian;39.39528;121.96694;1
chon thanh;11.42821;106.63536;1
cimahi;-6.87222;107.5425;1
ciudad arce;13.84028;-89.44722;1
daegu;35.87028;128.59111;1
semenyih;2.9516;101.843;1
daejeon;36.34913;127.38493;1
dandong;40.12917;124.39472;1
ji'an;26.86879;100.22072;1
san pedro sacatepequez;14.68612;-90.64253;1
denizli;37.77417;29.0875;1
samut sakhon;13.54753;100.27362;1
jiujiang;29.70475;116.00206;1
sabanozu;40.48249;33.28352;1
roi et;16.0567;103.65309;1
ratnapura;6.6858;80.4036;1
rangpur;25.74664;89.25166;1
kampong cham;11.99339;105.4635;1
quy nhon;13.77648;109.22367;1
quimistan;15.34752;-88.4052;1
dongyang;29.83291;106.45066;1
kaoh kong;11.61531;102.9838;1
quang nam;15.88853;108.25447;1
kaohsiung;22.61626;120.31333;1
fuxin;42.01556;121.65889;1
gizah;30.00944;31.20861;1
purwakarta;-6.55694;107.44333;1
pune;18.51957;73.85535;1
san pedro sula;15.50417;-88.025;1
