geocode_name;lat;lon;factories
dongguan;23.01797;113.74866;7
xiamen;24.47979;118.08187;5
yangon;16.80528;96.15611;3
phnom penh;11.56245;104.91601;3
zhongshan;34.93806;105.8775;2
tay ninh;36.62554;101.75739;2
nanjing;32.06167;118.77778;2
nabeul;36.45606;10.73763;2
tangerang;-6.17806;106.63;2
chittagong;22.3384;91.83168;2
ningbo;29.87819;121.54945;2
vellore;12.9184;79.13255;1
tainan;22.99083;120.21333;1
shenzhen;22.54554;114.0683;1
rangpur;25.74664;89.25166;1
quanzhou;25.93545;111.06752;1
qingdao;36.06488;120.38042;1
zhangzhou;24.51333;117.65556;1
purwakarta;-6.55694;107.44333;1
antipolo;13.3927;123.5231;1
nonthaburi;13.86075;100.51477;1
bangkok;13.75398;100.50144;1
nakhon pathom;13.8196;100.04427;1
long an;23.1685;107.69217;1
jiujiang;29.70475;116.00206;1
jinhua;29.10678;119.64421;1
huizhou;23.11147;114.41523;1
heyuan;23.73333;114.68333;1
hangzhou;30.29365;120.16142;1
guangzhou;23.11667;113.25;1
ganzhou;25.84664;114.9326;1
comilla;23.46186;91.18503;1
batangas;13.7567;121.0584;1
narayanganj;23.61352;90.50298;1
