geocode_name;lat;lon;factories
dhaka;23.7104;90.40744;29
yangon;16.80528;96.15611;17
ningbo;29.87819;121.54945;16
phnom penh;11.56245;104.91601;15
qingdao;36.06488;120.38042;8
quanzhou;25.93545;111.06752;7
jiaxing;30.7522;120.75;6
nantong;32.03028;120.87472;6
takeo;10.99081;104.78498;6
dalian;38.91222;121.60222;5
rangpur;25.74664;89.25166;5
yantai;30.1467;107.3196;5
shanghai;31.22222;121.45806;4
karachi;24.8608;67.0104;4
weihai;37.50914;122.11356;4
hangzhou;30.29365;120.16142;4
delhi;28.65195;77.23149;4
changzhou;23.48492;111.27413;4
bangalore;12.97194;77.59369;4
kanpur;26.46523;80.34975;3
suqian;33.94917;118.29583;3
suzhou;31.30408;120.59538;3
noida;28.58;77.33;3
wuxi;26.5844;111.859;3
bartin;41.63583;32.3375;3
tianjin;39.14222;117.17667;3
izmir;38.41273;27.13838;2
weifang;36.71;119.10194;2
jiangyin;31.91102;120.26302;2
istanbul;41.01384;28.94966;2
kirklareli;41.73508;27.22521;2
new delhi;28.63576;77.22445;2
haining;30.53629;120.68638;2
wuhu;31.33728;118.37351;2
batman;37.88738;41.13221;2
beijing;39.9075;116.39723;2
zhuji;29.71877;120.24233;2
dongguan;23.01797;113.74866;2
tongi;36.2844;127.6199;2
denizli;37.77417;29.0875;2
tekirdag;40.9781;27.51101;1
shantou;23.36814;116.71479;1
ordu;40.97782;37.89047;1
zhengzhou;34.75778;113.64861;1
zaozhuang;34.86472;117.55417;1
yueyang;29.37455;113.09481;1
shijiazhuang;38.04139;114.47861;1
shaoxing;30.00237;120.57864;1
shengzhou;29.59583;120.81667;1
sihanoukville;10.60932;103.52958;1
yiwu;29.31506;120.07676;1
yancheng;29.74357;103.56679;1
xuancheng;30.9525;118.75528;1
xingtai;37.06306;114.49417;1
taizhou;28.66266;121.43312;1
xiangcheng;31.93667;111.91778;1
afyonkarahisar;38.75667;30.54333;1
laiwu;36.19278;117.65694;1
muş;38.73163;41.48482;1
fuyang;30.05333;119.95194;1
haiyan;28.73632;109.12367;1
gurgaon;28.4601;77.02635;1
guilin;25.28022;110.29639;1
guangzhou;23.11667;113.25;1
giresun;40.91698;38.38741;1
gaizhou;40.39417;122.36861;1
foshan;23.02677;113.13148;1
hengyang;26.88946;112.61888;1
faridabad;28.41124;77.31316;1
dongyang;29.83291;106.45066;1
dangshan;34.42787;116.37657;1
colombo;6.93548;79.84868;1
chaoyang;37.90801;113.15044;1
buca;38.3983;27.16662;1
hefei;31.86389;117.28083;1
heyuan;23.73333;114.68333;1
mirzapur;24.10287;90.09841;1
babaeski;41.4325;27.09306;1
mandalay;21.97473;96.08359;1
malatya;38.35018;38.31667;1
long an;23.1685;107.69217;1
linyi;35.06306;118.34278;1
liaocheng;36.45064;116.00247;1
leshan;29.56227;103.76386;1
lahore;31.558;74.35071;1
huangshi;30.24706;115.04814;1
konuralp;40.90538;31.14568;1
koggala;5.9886;80.3286;1
kampong speu;11.45332;104.52085;1
kampong cham;11.99339;105.4635;1
jiujiang;29.70475;116.00206;1
jinjiang;19.72878;110.00851;1
zibo;36.79056;118.06333;1
