geocode_name;lat;lon;factories
dhaka;23.7104;90.40744;36
phnom penh;11.56245;104.91601;36
bangalore;12.97194;77.59369;31
yangon;16.80528;96.15611;31
istanbul;41.01384;28.94966;25
tirupur;11.11541;77.35456;25
dongguan;23.01797;113.74866;19
rangpur;25.74664;89.25166;18
puebla de zaragoza;19.03793;-98.20346;17
león;42.60003;-5.57032;15
guadalajara;40.62862;-3.16185;15
ningbo;29.87819;121.54945;15
noida;28.58;77.33;14
hangzhou;30.29365;120.16142;14
wenzhou;27.99942;120.66682;12
tehuacán;18.46422;-97.39735;12
izmir;38.41273;27.13838;10
karachi;24.8608;67.0104;10
nantong;32.03028;120.87472;10
shanghai;31.22222;121.45806;9
shengzhou;29.59583;120.81667;8
faridabad;28.41124;77.31316;8
dalian;38.91222;121.60222;7
guangzhou;23.11667;113.25;7
jiangyin;31.91102;120.26302;6
lahore;31.558;74.35071;6
yiwu;29.31506;120.07676;6
faisalabad;31.41554;73.08969;6
weifang;36.71;119.10194;5
uriangato;20.14085;-101.18251;5
naucalpan;19.47851;-99.23963;5
narayanganj;23.61352;90.50298;4
yangzhou;32.39722;119.43583;4
pachuca de soto;20.11697;-98.73329;4
yantai;30.1467;107.3196;4
bandung;-6.92222;107.60694;4
ordu;40.97782;37.89047;4
quanzhou;25.93545;111.06752;4
dandong;40.12917;124.39472;4
qingdao;36.06488;120.38042;4
suzhou;31.30408;120.59538;4
taizhou;28.66266;121.43312;4
gurgaon;28.4601;77.02635;4
shenzhen;22.54554;114.0683;4
jaipur;26.91962;75.78781;3
jiaxing;30.7522;120.75;3
nam dinh;20.43389;106.17729;3
indore;22.71792;75.8333;3
haiphong;20.86481;106.68345;3
huzhou;30.8703;120.0933;3
nabeul;36.45606;10.73763;3
jalisco;16.43033;-91.97499;3
esenyurt;41.02697;28.67732;3
chittagong;22.3384;91.83168;3
tokat;40.31389;36.55444;3
san francisco del rincón;21.01843;-101.85515;3
batman;37.88738;41.13221;3
teziutlan;19.8173;-97.35992;3
tekirdag;40.9781;27.51101;3
wuxi;26.5844;111.859;3
zapopan;20.72356;-103.38479;3
chignautla;14.70289;-90.49983;3
cholula;19.06406;-98.30352;3
savar;47.23088;16.62155;3
bursa;40.19559;29.06013;3
tongxiang;30.63287;120.56081;2
kampong cham;11.99339;105.4635;2
zhaoqing;23.04893;112.46091;2
jining;35.405;116.58139;2
zhengzhou;34.75778;113.64861;2
zhuji;29.71877;120.24233;2
van;38.49457;43.38323;2
thai nguyen;37.86944;112.56028;2
afyonkarahisar;38.75667;30.54333;2
morelia;1.48747;-75.72581;2
my tho;10.36004;106.35996;2
nanjing;32.06167;118.77778;2
tanger;35.76727;-5.79975;2
takeo;33.19009;130.02084;2
shijiazhuang;38.04139;114.47861;2
shaoxing;30.00237;120.57864;2
shantou;23.36814;116.71479;2
shangqiu;34.45;115.65;2
santiago de querétaro;20.58806;-100.38806;2
adapazarı;40.78056;30.40333;2
linyi;35.06306;118.34278;2
zinapecuaro;19.86006;-100.82857;2
anqing;30.51365;117.04723;2
ho chi minh;10.82302;106.62965;2
celaya;20.52353;-100.8157;2
changshu;31.64615;120.74221;2
bac giang;21.27307;106.1946;2
dezhou;27.40809;102.18001;2
denizli;37.77417;29.0875;2
duzce;35.05515;33.78388;2
alexandria;45.88524;-95.37754;2
ha noi;21.0245;105.84117;2
tan an;15.58224;108.11422;1
chi linh;21.06667;106.31667;1
tu nghia;15.08451;108.826;1
cam thuy;20.20866;105.4695;1
tongling;30.95;117.78333;1
cangzhou;38.31667;116.86667;1
tlalnepantla;19.00885;-98.99613;1
tai'an;30.79554;108.65921;1
cankiri;40.59995;33.6153;1
tianjin;39.14222;117.17667;1
thu duc;10.84863;106.77209;1
thanh hoa;10.65744;106.18081;1
chennai;13.08784;80.27847;1
thai binh;20.45;106.34002;1
chuzhou;32.32194;118.29778;1
tetouan;35.57845;-5.36837;1
tepatitlan;20.81692;-102.76347;1
tunis;36.81897;10.16579;1
tepanco de lopez;18.55686;-97.5613;1
temixco;18.85254;-99.22537;1
changshun;41.89139;113.99222;1
chengdu;30.66667;104.06667;1
valsad;20.61013;72.93428;1
caborca;30.71825;-112.15822;1
xuancheng;30.9525;118.75528;1
zibo;36.79056;118.06333;1
zhoukou;33.63333;114.63333;1
amealco;20.18758;-100.14485;1
ankara;39.91987;32.85427;1
zhangzhou;24.51333;117.65556;1
zhangjiagang;31.865;120.53889;1
yuriria;20.21081;-101.13212;1
atizapan de zaragoza;19.55793;-99.25675;1
baoding;29.7488;105.75843;1
bareilly;28.36678;79.43167;1
xuzhou;34.20442;117.28386;1
xingtai;37.06306;114.49417;1
cirebon;-6.7063;108.557;1
xiaogan;30.92689;113.92221;1
bartin;41.63583;32.3375;1
wuhu;31.33728;118.37351;1
wuhan;30.58333;114.26667;1
bengbu;32.94083;117.36083;1
weihai;37.50914;122.11356;1
bien hoa;10.94469;106.82432;1
vu ban;20.4642;105.44348;1
visakhapatnam;17.68009;83.20161;1
vi thanh;9.78449;105.47012;1
bogor;-6.59444;106.78917;1
ta khmau;11.48333;104.95;1
jiaozuo;35.23972;113.23306;1
suqian;33.94917;118.29583;1
lima;40.74255;-84.10523;1
ho chi minh city;10.82302;106.62965;1
mumbai;19.07283;72.88261;1
huanggang;30.45143;114.87035;1
mirzapur;24.10287;90.09841;1
merkez;40.12954;26.42075;1
manisa;38.61202;27.42647;1
mandalay;21.97473;96.08359;1
madurai;9.919;78.11953;1
luleburgaz;41.40385;27.35918;1
ludhiana;30.91204;75.85379;1
huejotzingo;19.15892;-98.40824;1
hung ha;20.5904;106.22445;1
hefei;31.86389;117.28083;1
lap thach;21.41539;105.46081;1
hung yen;20.64637;106.05112;1
lagos de moreno;21.35666;-101.93768;1
kochi;33.55;133.53333;1
kirklareli;41.73508;27.22521;1
kilis;36.71611;37.115;1
irapuato;20.67675;-101.35628;1
ixil;21.15244;-89.48179;1
iztacalco;19.39528;-99.09778;1
jinhua;29.10678;119.64421;1
jinan;36.66833;116.99722;1
henan;53.18333;8.0;1
hebi;35.89917;114.1925;1
sialkot;32.49268;74.53134;1
erode;11.3428;77.72741;1
iztapalapa;19.35529;-99.06224;1
coimbatore;11.00555;76.96612;1
comilla;23.46186;91.18503;1
contepec;19.95432;-100.16385;1
delhi;42.27814;-74.91599;1
dong nai;11.57981;107.36518;1
semarang;-6.99306;110.42083;1
dongyang;29.83291;106.45066;1
san juan xiutetelco;19.79563;-97.32578;1
san juan del rio;16.88407;-96.15983;1
edirne;41.67719;26.55597;1
raiwind;31.24895;74.21534;1
nanyang;33.95705;104.64327;1
foshan;23.02677;113.13148;1
quang ninh;17.40438;106.64072;1
fuding;27.32734;120.21399;1
fuqing;25.7294;119.37469;1
port said;31.26531;32.3019;1
fuxin;42.01556;121.65889;1
fuzhou;27.95999;116.33333;1
gaizhou;40.39417;122.36861;1
ganzhou;25.84664;114.9326;1
gómez palacio;25.56985;-103.49588;1
hai duong;20.94099;106.33302;1
shivamogga;13.93157;75.56791;1
