geocode_name;lat;lon;factories
dhaka;23.7104;90.40744;41
dongguan;23.01797;113.74866;25
phnom penh;11.56245;104.91601;12
shenzhen;22.54554;114.0683;10
hangzhou;30.29365;120.16142;9
gurgaon;28.4601;77.02635;9
noida;28.58;77.33;9
guangzhou;23.11667;113.25;8
ningbo;29.87819;121.54945;8
faridabad;28.41124;77.31316;7
zhongshan;34.93806;105.8775;7
wenzhou;27.99942;120.66682;7
shengzhou;29.59583;120.81667;6
suzhou;31.30408;120.59538;6
jiaxing;30.7522;120.75;6
huidong;26.63745;102.57568;5
karachi;24.8608;67.0104;5
tirupur;11.11541;77.35456;5
yangzhou;32.39722;119.43583;4
huzhou;30.8703;120.0933;4
istanbul;41.01384;28.94966;4
nanjing;32.06167;118.77778;4
nantong;32.03028;120.87472;4
rangpur;25.74664;89.25166;4
foshan;23.02677;113.13148;4
savar;47.23088;16.62155;4
shaoxing;30.00237;120.57864;3
taizhou;28.66266;121.43312;3
huizhou;23.11147;114.41523;3
takeo;33.19009;130.02084;3
jiangyin;31.91102;120.26302;3
shanghai;31.22222;121.45806;3
colombo;6.93548;79.84868;3
wuxi;26.5844;111.859;3
xiamen;24.47979;118.08187;3
yantai;30.1467;107.3196;3
sihanoukville;10.60932;103.52958;2
kanpur;26.46523;80.34975;2
tekirdag;40.9781;27.51101;2
mymensingh;24.75636;90.40646;2
salé;31.78336;35.23388;2
zhuhai;29.36937;105.88323;2
ho chi minh;10.82302;106.62965;2
quanzhou;25.93545;111.06752;2
alexandria;45.88524;-95.37754;2
zhangjiagang;31.865;120.53889;2
yiwu;29.31506;120.07676;2
ganzhou;25.84664;114.9326;2
weifang;36.71;119.10194;2
weihai;37.50914;122.11356;2
thong nhat;10.95055;107.14571;1
wuhu;31.33728;118.37351;1
raiwind;31.24895;74.21534;1
xuancheng;30.9525;118.75528;1
xining;36.62554;101.75739;1
rizhao;35.41414;119.52908;1
xiangshan;25.26252;110.27627;1
xiangcheng;31.93667;111.91778;1
wenshang;35.7275;116.49611;1
western;39.48537;-79.04475;1
semarang;-6.99306;110.42083;1
tianchang;32.68497;119.00932;1
shantou;23.36814;116.71479;1
weinan;34.50355;109.50891;1
vellore;12.9184;79.13255;1
tongxiang;30.63287;120.56081;1
tongi;36.2844;127.6199;1
svay rieng;11.08785;105.79935;1
tianjin;39.14222;117.17667;1
rabat;34.01325;-6.83255;1
adapazari;40.78056;30.40333;1
qingdao;36.06488;120.38042;1
hanjiang;25.47047;119.10348;1
fuzhou;27.95999;116.33333;1
fuqing;25.7294;119.37469;1
erode;11.3428;77.72741;1
el mahalla el kubra;30.97063;31.1669;1
duzce;35.05515;33.78388;1
deyang;31.13019;104.38198;1
datong;28.59648;106.66749;1
dalian;38.91222;121.60222;1
coimbatore;11.00555;76.96612;1
chuzhou;32.32194;118.29778;1
chittagong;22.3384;91.83168;1
chennai;13.08784;80.27847;1
chengnan;23.27217;116.60502;1
chengguan;35.45861;113.79778;1
chaozhou;23.65396;116.62262;1
changzhou;23.48492;111.27413;1
bien hoa;10.94469;106.82432;1
baoding;29.7488;105.75843;1
anuradhapura;8.31223;80.41306;1
haining;30.53629;120.68638;1
heyuan;23.73333;114.68333;1
putian;25.43944;119.01028;1
heze;35.23929;115.47358;1
nasr city;30.06667;31.3;1
narsingdi;23.92298;90.71768;1
nantai;40.9241;122.80437;1
nanchang;28.68396;115.85306;1
agra;46.03668;8.76833;1
mirzapur;24.10287;90.09841;1
mirpur;33.14782;73.75187;1
ludhiana;30.91204;75.85379;1
lu'an;-8.83682;13.23432;1
lahore;31.558;74.35071;1
kon tum;14.35451;108.00759;1
kampong cham;11.99339;105.4635;1
jinjiang;19.72878;110.00851;1
jinhua;29.10678;119.64421;1
jinan;36.66833;116.99722;1
jieyang;23.5418;116.36581;1
jiangshan;36.67806;120.52917;1
jiangmen;22.58333;113.08333;1
izmir;38.41273;27.13838;1
mumbai;19.07283;72.88261;1
