geocode_name;lat;lon;factories
suzhou;31.30408;120.59538;61
istanbul;41.01384;28.94966;51
dhaka;23.7104;90.40744;47
wuxi;26.5844;111.859;33
shaoxing;30.00237;120.57864;32
dongguan;23.01797;113.74866;29
hangzhou;30.29365;120.16142;29
jiaxing;30.7522;120.75;17
daegu;35.87028;128.59111;17
shanghai;31.22222;121.45806;16
karachi;24.8608;67.0104;15
ningbo;29.87819;121.54945;13
changzhou;23.48492;111.27413;12
nantong;32.03028;120.87472;12
savar;47.23088;16.62155;12
gurgaon;28.4601;77.02635;11
bangalore;12.97194;77.59369;11
tekirdag;40.9781;27.51101;10
foshan;23.02677;113.13148;9
noida;28.58;77.33;9
guangzhou;23.11667;113.25;8
dalian;38.91222;121.60222;8
zhongshan;34.93806;105.8775;8
chennai;13.08784;80.27847;7
faridabad;28.41124;77.31316;7
bursa;40.19559;29.06013;7
yangon;16.80528;96.15611;6
shenzhen;22.54554;114.0683;6
buca;38.3983;27.16662;6
osmangazi;40.19671;29.05935;5
amritsar;31.62234;74.87534;5
erode;11.3428;77.72741;5
huizhou;23.11147;114.41523;4
fuzhou;27.95999;116.33333;4
esenler;41.0435;28.87619;4
izmir;38.41273;27.13838;4
ho chi minh;10.82302;106.62965;4
shantou;23.36814;116.71479;4
agra;46.03668;8.76833;4
qingdao;36.06488;120.38042;4
raiwind;31.24895;74.21534;4
beylikdüzü;40.982;28.6399;4
yangzhou;32.39722;119.43583;4
nanjing;32.06167;118.77778;4
taoyuan;26.2283;100.56;4
quanzhou;25.93545;111.06752;4
kanpur;26.46523;80.34975;3
seoul;37.566;126.9784;3
shanwei;22.78199;115.3475;3
narayanganj;23.61352;90.50298;3
huzhou;30.8703;120.0933;3
taipei;25.04776;121.53185;3
tirupur;11.11541;77.35456;3
linyi;35.06306;118.34278;3
jiangmen;22.58333;113.08333;3
haiphong;20.86481;106.68345;3
adana;36.98615;35.32531;3
yinchuan;38.46806;106.27306;3
uijeongbu;37.7415;127.0474;3
weihai;37.50914;122.11356;3
yiwu;29.31506;120.07676;3
corlu;41.15917;27.8;3
yeşilyurt;38.33972;28.66444;3
cigli;45.30804;8.02316;3
yangju;37.83311;127.06169;2
meknes;33.89352;-5.54727;2
surat;21.19594;72.83023;2
jinhua;29.10678;119.64421;2
taizhou;28.66266;121.43312;2
merter;51.74794;-3.37779;2
kolkata;22.56263;88.36304;2
silvassa;20.27386;72.99673;2
phnom penh;11.56245;104.91601;2
tanger;35.76727;-5.79975;2
qingyuan;37.61748;112.32583;2
kahramanmaraş;37.5847;36.92641;2
jinjiang;19.72878;110.00851;2
taishan;22.25135;112.7799;2
jining;35.405;116.58139;2
yantai;30.1467;107.3196;2
gwangju;37.41;127.25722;2
esenyurt;41.02697;28.67732;2
anqing;30.51365;117.04723;2
heshan;28.5825;112.35028;2
jalandhar;31.32556;75.57917;2
fes;44.42735;10.79055;2
sancaktepe;41.00244;29.23187;2
hung yen;20.64637;106.05112;2
xiamen;24.47979;118.08187;2
vellore;12.9184;79.13255;2
zhuhai;29.36937;105.88323;2
semarang;-6.99306;110.42083;2
yavatmal;20.39324;78.13201;1
shaoguan;24.8;113.58333;1
yunfu;22.92787;112.03809;1
yildirim;40.18851;29.10974;1
zhaoqing;23.04893;112.46091;1
shengzhou;29.59583;120.81667;1
yongfeng;27.45493;112.16943;1
zhangzhou;24.51333;117.65556;1
zhenjiang;32.21086;119.45508;1
tokat;40.31389;36.55444;1
shivamogga;13.93157;75.56791;1
tarapur;19.86499;72.68426;1
thuong tin;20.86874;105.86125;1
tuzla;36.70074;35.08726;1
thanh phu;9.94827;106.51629;1
thane;36.80368;9.84424;1
temara;33.92866;-6.90656;1
weifang;36.71;119.10194;1
wuhan;30.58333;114.26667;1
taza;34.21;-4.01;1
xinxiang;30.49999;108.27278;1
sialkot;32.49268;74.53134;1
xinyu;27.83906;114.84591;1
xuzhou;34.20442;117.28386;1
takeo;33.19009;130.02084;1
yakuplu;40.98894;28.67582;1
tongxiang;30.63287;120.56081;1
yancheng;29.74357;103.56679;1
söke;37.7482;27.40614;1
svay rieng;11.08785;105.79935;1
thu duc;10.84863;106.77209;1
luong son;20.87148;105.52568;1
shangrao;28.45179;117.94287;1
chau thanh;10.0009;105.75095;1
