geocode_name;lat;lon;factories
bangalore;12.97194;77.59369;51
dongguan;23.01797;113.74866;35
phnom penh;11.56245;104.91601;32
dhaka;23.7104;90.40744;23
colombo;6.93548;79.84868;21
ho chi minh;10.82302;106.62965;20
gurgaon;28.4601;77.02635;17
zhongshan;34.93806;105.8775;15
qingdao;36.06488;120.38042;14
semarang;-6.99306;110.42083;14
shenzhen;22.54554;114.0683;13
suzhou;31.30408;120.59538;13
quanzhou;25.93545;111.06752;12
ningbo;29.87819;121.54945;12
sukabumi;-6.91806;106.92667;12
savar;47.23088;16.62155;12
bac giang;21.27307;106.1946;10
karachi;24.8608;67.0104;10
huizhou;23.11147;114.41523;9
vinh yen;21.30891;105.60489;8
foshan;23.02677;113.13148;8
hangzhou;30.29365;120.16142;7
hai duong;20.94099;106.33302;7
changzhou;23.48492;111.27413;7
guatemala city;14.64072;-90.51327;7
viet tri;21.32274;105.40198;6
guangzhou;23.11667;113.25;6
bogor;-6.59444;106.78917;6
erode;11.3428;77.72741;6
chennai;13.08784;80.27847;6
ludhiana;30.91204;75.85379;6
bucheon;37.49889;126.78306;6
hung yen;20.64637;106.05112;5
wuxi;26.5844;111.859;5
chittagong;22.3384;91.83168;5
shaoxing;30.00237;120.57864;5
taizhou;28.66266;121.43312;5
subang;-7.1277;108.5283;5
long an;23.1685;107.69217;4
nantong;32.03028;120.87472;4
villa nueva;14.52512;-90.58544;4
rangpur;25.74664;89.25166;4
bandung;-6.92222;107.60694;4
noida;28.58;77.33;4
bekasi;-6.2349;106.9896;4
iksan;35.94389;126.95444;4
thai binh;20.45;106.34002;4
ismailia;30.60427;32.27225;4
nam dinh;20.43389;106.17729;4
trang bang;11.02987;106.35751;4
tirupur;11.11541;77.35456;4
johor bahru;1.4655;103.7578;4
tangerang;-6.17806;106.63;4
karawang;-6.30525;107.3197;4
tongi;36.2844;127.6199;4
di an;50.3048;3.44796;4
delhi;42.27814;-74.91599;4
dalian;38.91222;121.60222;4
wonogiri;-7.81444;110.92056;4
yancheng;29.74357;103.56679;4
chau thanh;10.0009;105.75095;4
faridabad;28.41124;77.31316;4
batangas;13.7567;121.0584;3
thanh hoa;10.65744;106.18081;3
koggala;5.9886;80.3286;3
mixco;14.63077;-90.60711;3
my hao;20.93653;106.05711;3
kampong speu;11.45332;104.52085;3
coimbatore;11.00555;76.96612;3
dki jakarta;-6.21462;106.84513;3
jakarta;-6.21462;106.84513;3
shanwei;22.78199;115.3475;3
purwakarta;-6.55694;107.44333;3
western;39.48537;-79.04475;3
uijeongbu;37.7415;127.0474;3
yiwu;29.31506;120.07676;3
bien hoa;10.94469;106.82432;2
san miguel petapa;14.50189;-90.56196;2
yangju;37.83311;127.06169;2
qingyuan;37.61748;112.32583;2
sukoharjo;-7.6725;110.83806;2
phu tho;21.39963;105.22221;2
port said;31.26531;32.3019;2
comilla;23.46186;91.18503;2
narayanganj;23.61352;90.50298;2
negombo;7.2083;79.8358;2
coloma;42.18615;-86.30836;2
shengzhou;29.59583;120.81667;2
shivamogga;13.93157;75.56791;2
dong nai;11.57981;107.36518;2
batu pahat;1.8548;102.9325;2
xuzhou;34.20442;117.28386;2
haiphong;20.86481;106.68345;2
cairo;30.06263;31.24967;2
huaibei;33.97444;116.79167;2
linyi;35.06306;118.34278;2
jiaxing;30.7522;120.75;2
yangon;16.80528;96.15611;2
lahore;31.558;74.35071;2
thai nguyen;37.86944;112.56028;2
kegalle;7.2523;80.3436;2
dong phu;15.67356;108.2201;2
haining;30.53629;120.68638;2
incheon;37.45646;126.70515;2
thu duc;10.84863;106.77209;2
tumakuru;13.34136;77.1022;1
wuhu;31.33728;118.37351;1
tunis;36.81897;10.16579;1
seongnam;37.43861;127.13778;1
xinyang;32.12278;114.06556;1
tuy hoa;13.09546;109.32094;1
tuyen quang;21.82356;105.21424;1
weihai;37.50914;122.11356;1
shantou;23.36814;116.71479;1
shanghai;31.22222;121.45806;1
zhoukou;33.63333;114.63333;1
wuzhou;23.48054;111.28848;1
silang;14.21567;120.97137;1
xiangcheng;31.93667;111.91778;1
wenzhou;27.99942;120.66682;1
xingtai;37.06306;114.49417;1
yantai;30.1467;107.3196;1
tianjin;39.14222;117.17667;1
xining;36.62554;101.75739;1
thu thua;10.60232;106.40207;1
xuan truong;20.29227;106.33275;1
thu dau mot;10.9804;106.6519;1
sumedang;-6.85861;107.91639;1
surakarta;-7.55611;110.83167;1
taipei;25.04776;121.53185;1
takeo;33.19009;130.02084;1
tan yen;22.0655;105.0345;1
amritsar;31.62234;74.87534;1
luong son;20.87148;105.52568;1
santa ana;-12.86667;-72.71667;1
gaziemir;38.32392;27.12918;1
hosur;12.73647;77.83264;1
ho chi minh city;10.82302;106.62965;1
hindupur;13.82807;77.49143;1
heze;35.23929;115.47358;1
heyuan;23.73333;114.68333;1
hebi;35.89917;114.1925;1
hassan;13.00715;76.0962;1
hanoi;21.0245;105.84117;1
ha noi;21.0245;105.84117;1
guilin;25.28022;110.29639;1
gizah;30.00944;31.20861;1
gia loc;20.86783;106.3;1
fuyang;30.05333;119.95194;1
sanming;26.24861;117.61861;1
escuintla;14.3009;-90.78581;1
durango;32.24865;-115.25227;1
dong hung;20.55651;106.35532;1
da nang;16.06778;108.22083;1
cianjur;-6.82222;107.13944;1
chuzhou;32.32194;118.29778;1
chongqing;29.56026;106.55771;1
chittoor;13.21055;79.0956;1
chi linh;21.06667;106.31667;1
baicheng;33.38639;114.01583;1
anuradhapura;8.31223;80.41306;1
antiguo cuscatlan;13.66492;-89.25319;1
hung ha;20.5904;106.22445;1
huzhou;30.8703;120.0933;1
jiangyin;31.91102;120.26302;1
jieyang;23.5418;116.36581;1
san salvador;20.28583;-99.01457;1
rosario;-34.31667;-57.35;1
putian;25.43944;119.01028;1
phu ly;20.54531;105.91221;1
panadura;6.7132;79.9026;1
ninh binh;20.25809;105.97965;1
ngoc lac;20.09189;105.36761;1
nanjing;32.06167;118.77778;1
mysore;12.29791;76.63925;1
mymensingh;24.75636;90.40646;1
mirpur;33.14782;73.75187;1
merzifon;40.87333;35.46306;1
merkez;40.12954;26.42075;1
meizhou;24.28859;116.11768;1
majalengka;-6.83611;108.22778;1
an duong;36.096;114.38278;1
long thanh;10.78909;106.95029;1
long ho;41.25565;-73.43484;1
kurunegala;7.4839;80.3683;1
kuliyapitiya;7.4688;80.0401;1
kandy;7.2906;80.6336;1
kanchipuram;12.83515;79.70006;1
kampong cham;11.99339;105.4635;1
jiutepec;18.88139;-99.17778;1
jinjiang;19.72878;110.00851;1
zibo;36.79056;118.06333;1
