geocode_name;lat;lon;factories
bangalore;12.97194;77.59369;6
bien hoa;10.94469;106.82432;3
dhaka;23.7104;90.40744;3
changshu;31.64615;120.74221;1
changzhou;23.48492;111.27413;1
dongguan;23.01797;113.74866;1
hangzhou;30.29365;120.16142;1
huangshan;26.82634;100.21906;1
kanchipuram;12.83515;79.70006;1
mirzapur;24.10287;90.09841;1
mymensingh;24.75636;90.40646;1
nantong;32.03028;120.87472;1
suzhou;31.30408;120.59538;1
tanger;35.76727;-5.79975;1
zhongshan;34.93806;105.8775;1
zonguldak;41.45139;31.79305;1
