geocode_name;lat;lon;factories
dhaka;23.7104;90.40744;112
istanbul;41.01384;28.94966;91
savar;47.23088;16.62155;61
bangalore;12.97194;77.59369;59
dongguan;23.01797;113.74866;39
yangon;16.80528;96.15611;36
suzhou;31.30408;120.59538;35
izmir;38.41273;27.13838;34
qingdao;36.06488;120.38042;33
phnom penh;11.56245;104.91601;33
hangzhou;30.29365;120.16142;29
narayanganj;23.61352;90.50298;26
karachi;24.8608;67.0104;22
chittagong;22.3384;91.83168;22
ningbo;29.87819;121.54945;21
shanghai;31.22222;121.45806;19
noida;28.58;77.33;18
jiaxing;30.7522;120.75;17
shenzhen;22.54554;114.0683;16
tirupur;11.11541;77.35456;16
semarang;-6.99306;110.42083;16
bursa;40.19559;29.06013;14
wenzhou;27.99942;120.66682;14
mymensingh;24.75636;90.40646;13
jiangyin;31.91102;120.26302;13
tekirdag;40.9781;27.51101;12
tongi;36.2844;127.6199;12
zhongshan;34.93806;105.8775;11
guangzhou;23.11667;113.25;11
gurgaon;28.4601;77.02635;11
wuxi;26.5844;111.859;11
ho chi minh;10.82302;106.62965;10
denizli;37.77417;29.0875;10
heze;35.23929;115.47358;10
panipat;29.38747;76.96825;10
nantong;32.03028;120.87472;9
ordu;40.97782;37.89047;9
huizhou;23.11147;114.41523;9
yantai;30.1467;107.3196;8
changzhou;23.48492;111.27413;8
bandung;-6.92222;107.60694;8
jining;35.405;116.58139;8
mirzapur;24.10287;90.09841;7
moradabad;28.83893;78.77684;7
sukabumi;-6.91806;106.92667;7
tanger;35.76727;-5.79975;7
suqian;33.94917;118.29583;7
western;39.48537;-79.04475;7
rangpur;25.74664;89.25166;7
buca;38.3983;27.16662;6
bogor;-6.59444;106.78917;6
yiwu;29.31506;120.07676;6
faridabad;28.41124;77.31316;6
delhi;42.27814;-74.91599;6
fuzhou;27.95999;116.33333;5
taizhou;28.66266;121.43312;5
putian;25.43944;119.01028;5
lu'an;-8.83682;13.23432;5
edirne;41.67719;26.55597;5
batman;37.88738;41.13221;5
mersin;36.81196;34.63886;5
lahore;31.558;74.35071;5
cimahi;-6.87222;107.5425;4
addis ababa;9.02497;38.74689;4
duzce;35.05515;33.78388;4
jaipur;26.91962;75.78781;4
daegu;35.87028;128.59111;4
ganzhou;25.84664;114.9326;4
tai'an;30.79554;108.65921;4
kutahya;39.42417;29.98333;4
amroha;28.90314;78.46984;3
mumbai;19.07283;72.88261;3
quanzhou;25.93545;111.06752;3
tangerang;-6.17806;106.63;3
majalengka;-6.83611;108.22778;3
takeo;33.19009;130.02084;3
nanjing;32.06167;118.77778;3
kampong speu;11.45332;104.52085;3
tokat;40.31389;36.55444;3
boyolali;-7.53306;110.59583;3
foshan;23.02677;113.13148;3
agra;46.03668;8.76833;3
dongyang;29.83291;106.45066;3
sfax;34.74056;10.76028;3
sukoharjo;-7.6725;110.83806;3
hawassa;7.06205;38.47635;3
dezhou;27.40809;102.18001;3
mirpur;33.14782;73.75187;3
corum;40.54889;34.95333;3
kirklareli;41.73508;27.22521;3
weifang;36.71;119.10194;3
shangrao;28.45179;117.94287;3
chuzhou;32.32194;118.29778;3
yangzhou;32.39722;119.43583;3
chennai;13.08784;80.27847;3
huzhou;30.8703;120.0933;3
jakarta;-6.21462;106.84513;2
mandalay;21.97473;96.08359;2
shengzhou;29.59583;120.81667;2
jinjiang;19.72878;110.00851;2
krishnagiri;12.51921;78.21382;2
seongnam;37.43861;127.13778;2
seoul;37.566;126.9784;2
liyang;29.6518;111.752;2
linyi;35.06306;118.34278;2
shanwei;22.78199;115.3475;2
kunshan;31.37762;120.95431;2
koggala;5.9886;80.3286;2
qianjiang;30.421;112.8919;2
shaoxing;30.00237;120.57864;2
sialkot;32.49268;74.53134;2
kastamonu;41.37805;33.77528;2
karur;10.95771;78.08095;2
sinop;-11.86417;-55.5025;2
subang;-7.1277;108.5283;2
kurunegala;7.4839;80.3683;2
konya;37.87135;32.48464;2
surakarta;-7.55611;110.83167;2
dki jakarta;-6.21462;106.84513;2
valsad;20.61013;72.93428;2
vellore;12.9184;79.13255;2
huanggang;30.45143;114.87035;2
wonogiri;-7.81444;110.92056;2
wuhan;30.58333;114.26667;2
wuhu;31.33728;118.37351;2
changshu;31.64615;120.74221;2
xiamen;24.47979;118.08187;2
xuancheng;30.9525;118.75528;2
