geocode_name;lat;lon;factories
dhaka;23.7104;90.40744;21
hangzhou;30.29365;120.16142;11
quanzhou;25.93545;111.06752;9
tirupur;11.11541;77.35456;8
ningbo;29.87819;121.54945;8
shaoxing;30.00237;120.57864;7
yiwu;29.31506;120.07676;6
suzhou;31.30408;120.59538;6
noida;28.58;77.33;6
yangon;16.80528;96.15611;5
dongguan;23.01797;113.74866;5
nanjing;32.06167;118.77778;5
yantai;30.1467;107.3196;4
wenzhou;27.99942;120.66682;4
huizhou;23.11147;114.41523;3
baoding;29.7488;105.75843;3
jiaxing;30.7522;120.75;3
izmir;38.41273;27.13838;3
zhuji;29.71877;120.24233;3
dalian;38.91222;121.60222;3
nanchang;28.68396;115.85306;2
jiangyin;31.91102;120.26302;2
coimbatore;11.00555;76.96612;2
tianjin;39.14222;117.17667;2
qingdao;36.06488;120.38042;2
shenzhen;22.54554;114.0683;2
mymensingh;24.75636;90.40646;2
yangzhou;32.39722;119.43583;2
shengzhou;29.59583;120.81667;2
buca;38.3983;27.16662;2
zhongshan;34.93806;105.8775;2
yingkou;40.66472;122.23176;2
gurgaon;28.4601;77.02635;2
huzhou;30.8703;120.0933;2
tongi;36.2844;127.6199;1
zhangzhou;24.51333;117.65556;1
taizhou;28.66266;121.43312;1
chittagong;22.3384;91.83168;1
beijing;39.9075;116.39723;1
tongxiang;30.63287;120.56081;1
tongling;30.95;117.78333;1
cangzhou;38.31667;116.86667;1
weihai;37.50914;122.11356;1
changshu;31.64615;120.74221;1
xiamen;24.47979;118.08187;1
xinglong;29.25841;109.03714;1
yancheng;29.74357;103.56679;1
huanghua;38.381;117.31363;1
san miguel petapa;14.50189;-90.56196;1
seongnam;37.43861;127.13778;1
huangshan;26.82634;100.21906;1
huangshi;30.24706;115.04814;1
hefei;31.86389;117.28083;1
istanbul;41.01384;28.94966;1
jalalabad;29.61853;77.43908;1
jiangmen;22.58333;113.08333;1
guilin;25.28022;110.29639;1
linyi;35.06306;118.34278;1
mirpur;33.14782;73.75187;1
guangzhou;23.11667;113.25;1
nantong;32.03028;120.87472;1
fuzhou;27.95999;116.33333;1
esenyurt;41.02697;28.67732;1
osmangazi;40.19671;29.05935;1
pakokku;21.33489;95.08438;1
purwakarta;-6.55694;107.44333;1
qingyuan;37.61748;112.32583;1
dongyang;29.83291;106.45066;1
bago;17.33521;96.48135;1
