geocode_name;lat;lon;factories
dongguan;23.01797;113.74866;18
bangkok;13.75398;100.50144;14
bangalore;12.97194;77.59369;13
phnom penh;11.56245;104.91601;10
lahore;31.558;74.35071;8
putian;25.43944;119.01028;8
colombo;6.93548;79.84868;8
chittagong;22.3384;91.83168;8
yangzhou;32.39722;119.43583;8
chennai;13.08784;80.27847;8
wenzhou;27.99942;120.66682;7
suzhou;31.30408;120.59538;7
nantong;32.03028;120.87472;6
dhaka;23.7104;90.40744;6
tirupur;11.11541;77.35456;6
zhongshan;34.93806;105.8775;5
jinjiang;19.72878;110.00851;5
changzhou;23.48492;111.27413;5
istanbul;41.01384;28.94966;5
weihai;37.50914;122.11356;5
león;19.05032;-99.53375;4
tekirdag;40.9781;27.51101;4
jiaxing;30.7522;120.75;4
taizhou;28.66266;121.43312;4
xiamen;24.47979;118.08187;4
chonburi;13.3622;100.98345;4
quanzhou;25.93545;111.06752;4
samut sakhon;13.54753;100.27362;3
nanjing;32.06167;118.77778;3
jiangyin;31.91102;120.26302;3
nanchang;28.68396;115.85306;3
fuqing;25.7294;119.37469;3
shenzhen;22.54554;114.0683;3
negombo;7.2083;79.8358;3
karachi;24.8608;67.0104;3
ratnapura;6.6858;80.4036;3
qingdao;36.06488;120.38042;3
port said;31.26531;32.3019;3
suqian;33.94917;118.29583;3
yangju;37.83311;127.06169;3
faisalabad;31.41554;73.08969;2
ipoh;4.5841;101.0829;2
aguascalientes;21.88234;-102.28259;2
zhuji;29.71877;120.24233;2
alexandria;31.20176;29.91582;2
noida;28.58;77.33;2
mohali;30.67995;76.72211;2
mirpur;33.14782;73.75187;2
yichang;30.71444;111.28472;2
yantai;30.1467;107.3196;2
caborca;30.71825;-112.15822;2
rangpur;25.74664;89.25166;2
weifang;36.71;119.10194;2
torreon;21.47444;-101.47056;2
ismailia;30.60427;32.27225;2
ningbo;29.87819;121.54945;2
indore;22.71792;75.8333;2
incheon;37.45646;126.70515;2
esenyurt;41.02697;28.67732;2
gizah;30.00944;31.20861;2
haiyan;28.73632;109.12367;2
heyuan;23.73333;114.68333;2
shengzhou;29.59583;120.81667;2
tay ninh;36.62554;101.75739;1
purwakarta;-6.55694;107.44333;1
shangqiu;34.45;115.65;1
thai nguyen;37.86944;112.56028;1
shanghai;31.22222;121.45806;1
tianchang;32.68497;119.00932;1
zhoukou;33.63333;114.63333;1
shijiazhuang;38.04139;114.47861;1
san miguel petapa;14.50189;-90.56196;1
zhijiang;30.42139;111.75333;1
puebla de zaragoza;19.03793;-98.20346;1
pune;18.51957;73.85535;1
zhangzhou;24.51333;117.65556;1
san juan del rio;16.88407;-96.15983;1
tijuana;32.5027;-117.00371;1
villa victoria;19.43693;-99.99589;1
shangrao;28.45179;117.94287;1
shaoxing;30.00237;120.57864;1
shantou;23.36814;116.71479;1
xiaogan;30.92689;113.92221;1
rizhao;35.41414;119.52908;1
xiangcheng;31.93667;111.91778;1
samut prakan;13.59934;100.59675;1
wuxi;26.5844;111.859;1
san marcos;25.66667;-103.0091;1
adapazarı;40.78056;30.40333;1
nazareno;25.39916;-103.42065;1
chuzhou;32.32194;118.29778;1
gaizhou;40.39417;122.36861;1
ensenada;31.87149;-116.60071;1
dongyang;29.83291;106.45066;1
dezhou;27.40809;102.18001;1
dewas;22.96585;76.05526;1
danyang;26.35102;119.4803;1
dali;25.58474;100.21229;1
cuencame;24.87116;-103.69731;1
cuautitlan izcalli;19.64388;-99.21598;1
corlu;41.15917;27.8;1
coimbatore;11.00555;76.96612;1
chongqing;29.56026;106.55771;1
ganzhou;25.84664;114.9326;1
changshu;31.64615;120.74221;1
campeche;19.84386;-90.52554;1
cairo;30.06263;31.24967;1
bozhou;33.87722;115.77028;1
boyolali;-7.53306;110.59583;1
bolu;40.73583;31.60611;1
bogor;-6.59444;106.78917;1
bekasi;-6.2349;106.9896;1
bantul;-7.88806;110.32889;1
anqing;30.51365;117.04723;1
al qahirah;30.06263;31.24967;1
galle;6.0461;80.2103;1
guangzhou;23.11667;113.25;1
narayanganj;23.61352;90.50298;1
jiujiang;29.70475;116.00206;1
mumbai;19.07283;72.88261;1
monastir;35.77799;10.82617;1
meoqui;28.27226;-105.48046;1
matale;7.4698;80.6217;1
mahdia;35.50472;11.06222;1
ludhiana;30.91204;75.85379;1
long an;23.1685;107.69217;1
lerdo;19.28786;-99.65324;1
agra;27.18333;78.01667;1
la paz;10.8925;124.95583;1
kunshan;31.37762;120.95431;1
jining;35.405;116.58139;1
gómez palacio;25.56985;-103.49588;1
jinhua;29.10678;119.64421;1
jilotepec;19.61184;-96.95169;1
jieyang;23.5418;116.36581;1
jepara;-5.16948;105.70441;1
jalandhar;31.32556;75.57917;1
jaipur;26.91962;75.78781;1
hyderabad;25.39242;68.37366;1
huzhou;30.8703;120.0933;1
huai'an;33.58861;119.01917;1
homagama;6.844;80.0024;1
hangzhou;30.29365;120.16142;1
zibo;36.79056;118.06333;1
