geocode_name;lat;lon;factories
dhaka;23.7104;90.40744;34
istanbul;41.01384;28.94966;31
bangalore;12.97194;77.59369;24
phnom penh;11.56245;104.91601;20
chittagong;22.3384;91.83168;16
savar;47.23088;16.62155;15
dongguan;23.01797;113.74866;15
western;39.48537;-79.04475;14
gurgaon;28.4601;77.02635;12
rangpur;25.74664;89.25166;11
jiaxing;30.7522;120.75;8
wuxi;26.5844;111.859;7
hangzhou;30.29365;120.16142;7
guangzhou;23.11667;113.25;7
shenzhen;22.54554;114.0683;6
tekirdag;40.9781;27.51101;6
tirupur;11.11541;77.35456;6
negombo;7.2083;79.8358;6
suzhou;31.30408;120.59538;6
yangon;16.80528;96.15611;6
mymensingh;24.75636;90.40646;5
koggala;5.9886;80.3286;5
ningbo;29.87819;121.54945;5
dalian;38.91222;121.60222;4
narayanganj;23.61352;90.50298;4
denizli;37.77417;29.0875;4
sultanbeyli;40.96072;29.27067;4
faridabad;28.41124;77.31316;4
chennai;13.08784;80.27847;4
nanjing;32.06167;118.77778;4
noida;28.58;77.33;4
esenyurt;41.02697;28.67732;3
corlu;41.15917;27.8;3
gunesli;38.90253;35.62743;3
huizhou;23.11147;114.41523;3
yiwu;29.31506;120.07676;3
bursa;40.19559;29.06013;3
shengzhou;29.59583;120.81667;3
bien hoa;10.94469;106.82432;3
jiangmen;22.58333;113.08333;3
merkez;40.12954;26.42075;3
ho chi minh city;10.82302;106.62965;3
quanzhou;25.93545;111.06752;2
ordu;40.97782;37.89047;2
polonnaruwa;7.93965;81.00274;2
shantou;23.36814;116.71479;2
rabat;34.01325;-6.83255;2
horana;6.7159;80.0626;2
sancaktepe;41.00244;29.23187;2
kampong speu;11.45332;104.52085;2
hung ha;20.5904;106.22445;2
kalutara;6.5831;79.9593;2
jining;35.405;116.58139;2
izmir;38.41273;27.13838;2
hassan;13.00715;76.0962;2
ümraniye;41.03291;29.10137;2
haiphong;20.86481;106.68345;2
colombo;6.93548;79.84868;2
zhongshan;34.93806;105.8775;2
yogyakarta;-7.80139;110.36472;2
bandung;-6.92222;107.60694;2
beylikdüzü;40.982;28.6399;2
buca;38.3983;27.16662;2
weifang;36.71;119.10194;2
visakhapatnam;17.68009;83.20161;2
chau thanh;10.0009;105.75095;2
changzhou;23.48492;111.27413;2
foshan;23.02677;113.13148;2
galle;6.0461;80.2103;2
thanh thuy;21.17548;105.28388;1
tan an;15.58224;108.11422;1
thai nguyen;37.86944;112.56028;1
xuzhou;34.20442;117.28386;1
yalova;40.65501;29.27693;1
qingdao;36.06488;120.38042;1
sultangazi;41.10652;28.86847;1
yantai;30.1467;107.3196;1
yuregir;36.97439;35.35916;1
pendik;40.8775;29.2725;1
nuwara eliya;6.97078;80.78286;1
zhangjiagang;31.865;120.53889;1
ta khmau;11.48333;104.95;1
zhuji;29.71877;120.24233;1
çerkezköy;41.28629;27.99939;1
nilphamari;25.94167;88.84667;1
salé;31.78336;35.23388;1
wuhan;30.58333;114.26667;1
tokat;40.31389;36.55444;1
turhal;40.3875;36.08111;1
tongi;36.2844;127.6199;1
torbali;38.1519;27.36223;1
shaoxing;30.00237;120.57864;1
shaoguan;24.8;113.58333;1
trabzon;41.005;39.72694;1
trang bom;10.95358;107.00589;1
vavuniya;8.7514;80.4971;1
sukoharjo;-7.6725;110.83806;1
shanghai;31.22222;121.45806;1
sihanoukville;10.60932;103.52958;1
taizhou;28.66266;121.43312;1
subang;-7.1277;108.5283;1
semarang;-6.99306;110.42083;1
selimpasa;41.05448;28.36678;1
tanger;35.76727;-5.79975;1
adapazarı;40.78056;30.40333;1
nantong;32.03028;120.87472;1
haining;30.53629;120.68638;1
gebze;40.80276;29.43068;1
gaziemir;38.32392;27.12918;1
faisalabad;31.41554;73.08969;1
esenler;41.0435;28.87619;1
duzce;35.05515;33.78388;1
dandong;40.12917;124.39472;1
dambulla;7.86;80.65167;1
coimbatore;11.00555;76.96612;1
cilimli;40.89361;31.04917;1
chi linh;21.06667;106.31667;1
chengnan;23.27217;116.60502;1
changhua;34.8269;112.43129;1
cayirova;40.83444;29.4;1
canakkale;40.22806;27.24222;1
cam lam;12.05398;109.16004;1
bolu;40.73583;31.60611;1
beijing;39.9075;116.39723;1
batman;37.88738;41.13221;1
baotou;40.6516;109.84389;1
bac giang;21.27307;106.1946;1
babaeski;41.4325;27.09306;1
ayutthaya;14.35167;100.57739;1
antalya;36.90812;30.69556;1
ampara;7.29754;81.68202;1
amasya;40.65333;35.83306;1
alexandria;45.88524;-95.37754;1
aksaray;38.37255;34.02537;1
ha noi;21.0245;105.84117;1
havsa;41.54898;26.82207;1
nam dinh;20.43389;106.17729;1
hefei;31.86389;117.28083;1
my tho;10.36004;106.35996;1
muntinlupa;14.39028;121.0475;1
monaragala;6.8714;81.3487;1
mirpur;33.14782;73.75187;1
merzifon;40.87333;35.46306;1
mersin;36.81196;34.63886;1
maltepe;40.93567;29.15507;1
luong son;20.87148;105.52568;1
lahore;31.558;74.35071;1
kurunegala;7.4839;80.3683;1
kuliyapitiya;7.4688;80.0401;1
krishnagiri;12.51921;78.21382;1
kirklareli;41.73508;27.22521;1
afyonkarahisar;38.75667;30.54333;1
kanakapura;12.54654;77.42005;1
jinhua;29.10678;119.64421;1
jinan;36.66833;116.99722;1
ismailia;30.60427;32.27225;1
huzhou;30.8703;120.0933;1
huidong;26.63745;102.57568;1
homagama;6.844;80.0024;1
hoc mon;10.8891;106.59533;1
hobiganj;24.38044;91.41299;1
hoa vang;15.98764;108.13893;1
ho chi minh;10.82302;106.62965;1
heyuan;23.73333;114.68333;1
hengyang;26.88946;112.61888;1
kandy;7.2906;80.6336;1
