geocode_name;lat;lon;factories
ningbo;29.87819;121.54945;4
dongguan;23.01797;113.74866;4
qingdao;36.06488;120.38042;3
phnom penh;11.56245;104.91601;3
lapu-lapu city;10.31028;123.94944;3
guangzhou;23.11667;113.25;3
zhuhai;29.36937;105.88323;2
foshan;23.02677;113.13148;2
shanghai;31.22222;121.45806;2
shenzhen;22.54554;114.0683;2
jiaxing;30.7522;120.75;2
istanbul;41.01384;28.94966;2
tangerang;-6.17806;106.63;2
haining;30.53629;120.68638;2
ho chi minh;10.82302;106.62965;2
quanzhou;25.93545;111.06752;2
di an;50.3048;3.44796;2
bien hoa;10.94469;106.82432;2
zhongshan;34.93806;105.8775;2
yantai;30.1467;107.3196;2
chau thanh;10.0009;105.75095;2
udon thani;17.41567;102.78589;2
yichun;27.83333;114.4;1
santa ana;-12.86667;-72.71667;1
sayula;19.88225;-103.60027;1
zhaoqing;23.04893;112.46091;1
semarang;-6.99306;110.42083;1
serang;-6.11528;106.15417;1
yongzhou;26.42389;111.61306;1
shantou;23.36814;116.71479;1
tijuana;32.5027;-117.00371;1
sialkot;32.49268;74.53134;1
suzhou;31.30408;120.59538;1
tan an;15.58224;108.11422;1
yangzhou;32.39722;119.43583;1
tan phu;11.45119;106.86811;1
xiamen;24.47979;118.08187;1
samut sakhon;13.54753;100.27362;1
thanh hoa;10.65744;106.18081;1
thu duc;10.84863;106.77209;1
sleman;-7.71556;110.35556;1
bangkok;13.75398;100.50144;1
roi et;16.0567;103.65309;1
purwakarta;-6.55694;107.44333;1
bizerte;37.27442;9.87391;1
can duoc;10.50966;106.60308;1
can tho;10.03711;105.78825;1
changhua;34.8269;112.43129;1
chenzhou;25.8;113.03333;1
ciudad arce;13.84028;-89.44722;1
dalian;38.91222;121.60222;1
fatsa;41.02778;37.50139;1
ganzhou;25.84664;114.9326;1
haiyan;28.73632;109.12367;1
heyuan;23.73333;114.68333;1
horana;6.7159;80.0626;1
huamantla;19.31451;-97.9252;1
jakarta;-6.21462;106.84513;1
jiangmen;22.58333;113.08333;1
long an;23.1685;107.69217;1
lourdes;7.94411;-72.83253;1
miaoli;24.56427;120.82367;1
muntinlupa;14.39028;121.0475;1
nakhon pathom;13.8196;100.04427;1
nam dan;18.69799;105.49881;1
ben tre;10.24147;106.37585;1
phu ninh;21.08333;105.95;1
nantong;32.03028;120.87472;1
