geocode_name;lat;lon;factories
dongguan;23.01797;113.74866;12
dhaka;23.7104;90.40744;6
long an;23.1685;107.69217;5
ho chi minh;10.82302;106.62965;4
taoyuan;26.2283;100.56;4
guangzhou;23.11667;113.25;3
phnom penh;11.56245;104.91601;3
ningbo;29.87819;121.54945;3
changzhou;23.48492;111.27413;2
taichung;24.1469;120.6839;2
ho chi minh city;10.82302;106.62965;2
sialkot;32.49268;74.53134;2
putian;25.43944;119.01028;2
tangerang;-6.17806;106.63;2
huizhou;23.11147;114.41523;2
irapuato;20.67675;-101.35628;2
thu dau mot;10.9804;106.6519;2
yongzhou;26.42389;111.61306;2
tan thanh;10.60666;106.04714;2
mymensingh;24.75636;90.40646;1
lourdes;7.94411;-72.83253;1
lamongan;-7.11667;112.41667;1
ayutthaya;14.35167;100.57739;1
quanzhou;25.93545;111.06752;1
savar;47.23088;16.62155;1
shenzhen;22.54554;114.0683;1
jinjiang;19.72878;110.00851;1
svay rieng;11.08785;105.79935;1
takeo;33.19009;130.02084;1
tay ninh;11.31004;106.09828;1
thanh hoa;10.65744;106.18081;1
thu thua;10.60232;106.40207;1
tlalnepantla;19.00885;-98.99613;1
yangzhou;32.39722;119.43583;1
kluang;2.03046;103.31689;1
istanbul;41.01384;28.94966;1
jiaxing;30.7522;120.75;1
jiangmen;22.58333;113.08333;1
beihai;25.08005;98.57746;1
bekasi;-6.2349;106.9896;1
ben tre;10.24147;106.37585;1
beylikdüzü;40.982;28.6399;1
busan;35.10168;129.03004;1
can duoc;10.50966;106.60308;1
can giuoc;10.60857;106.67135;1
cebu city;10.31672;123.89071;1
changde;29.03205;111.69844;1
changhua;34.8269;112.43129;1
chau thanh;10.0009;105.75095;1
dehradun;30.32443;78.03392;1
dong an;15.58224;108.11422;1
dong xoai;11.53495;106.88324;1
fatsa;41.02778;37.50139;1
foshan;23.02677;113.13148;1
gaozhou;21.91965;110.85678;1
gimhae;35.23417;128.88111;1
haiphong;20.86481;106.68345;1
hangzhou;30.29365;120.16142;1
heyuan;23.73333;114.68333;1
batam;1.14937;104.02491;1
jalandhar;31.32556;75.57917;1
zhongshan;34.93806;105.8775;1
