geocode_name;lat;lon;factories
dongguan;23.01797;113.74866;36
chittagong;22.3384;91.83168;16
shenzhen;22.54554;114.0683;15
dhaka;23.7104;90.40744;14
bangalore;12.97194;77.59369;13
istanbul;41.01384;28.94966;11
suzhou;31.30408;120.59538;9
colombo;6.93548;79.84868;9
western;39.48537;-79.04475;8
qingdao;36.06488;120.38042;8
savar;47.23088;16.62155;8
semarang;-6.99306;110.42083;8
hangzhou;30.29365;120.16142;8
foshan;23.02677;113.13148;8
shengzhou;29.59583;120.81667;8
guangzhou;23.11667;113.25;7
zhongshan;34.93806;105.8775;7
changzhou;23.48492;111.27413;5
bien hoa;10.94469;106.82432;5
vellore;12.9184;79.13255;5
putian;25.43944;119.01028;5
haiphong;20.86481;106.68345;5
shanghai;31.22222;121.45806;4
jiaxing;30.7522;120.75;4
huzhou;30.8703;120.0933;4
ho chi minh city;10.82302;106.62965;4
chennai;13.08784;80.27847;4
addis ababa;9.02497;38.74689;4
cimahi;-6.87222;107.5425;4
bizerte;37.27442;9.87391;4
quanzhou;25.93545;111.06752;4
wenzhou;27.99942;120.66682;4
negombo;7.2083;79.8358;4
nanjing;32.06167;118.77778;4
nam dinh;20.43389;106.17729;4
monastir;39.3836;9.04445;4
mirpur;33.14782;73.75187;3
changshu;31.64615;120.74221;3
yiwu;29.31506;120.07676;3
huizhou;23.11147;114.41523;3
shaoxing;30.00237;120.57864;3
fuqing;25.7294;119.37469;3
phnom penh;11.56245;104.91601;3
nantong;32.03028;120.87472;3
haining;30.53629;120.68638;3
torreon;21.47444;-101.47056;3
ratnapura;6.6858;80.4036;3
trang bang;11.02987;106.35751;3
samut prakan;13.59934;100.59675;3
yangzhou;32.39722;119.43583;3
jinjiang;19.72878;110.00851;3
bogor;-6.59444;106.78917;3
ludhiana;30.91204;75.85379;3
chongzuo;22.38161;107.3683;3
mae sot;16.71667;98.56667;2
qingyuan;37.61748;112.32583;2
nhon trach;10.72294;106.88341;2
kurunegala;7.4839;80.3683;2
suqian;33.94917;118.29583;2
ho chi minh;10.82302;106.62965;2
hawassa;7.06205;38.47635;2
shantou;23.36814;116.71479;2
nabeul;36.45606;10.73763;2
koggala;5.9886;80.3286;2
seoul;37.566;126.9784;2
huidong;26.63745;102.57568;2
hung yen;20.64637;106.05112;2
mixco;14.63077;-90.60711;2
jaipur;26.91962;75.78781;2
jiangmen;22.58333;113.08333;2
gurgaon;28.4601;77.02635;2
ningbo;29.87819;121.54945;2
thai nguyen;37.86944;112.56028;2
wuxi;26.5844;111.859;2
visakhapatnam;17.68009;83.20161;2
bangkok;13.75398;100.50144;2
dong nai;11.57981;107.36518;2
bandung;-6.92222;107.60694;2
erode;11.3428;77.72741;2
tongxiang;30.63287;120.56081;2
tirupur;11.11541;77.35456;2
faisalabad;31.41554;73.08969;2
bac ninh;21.18608;106.07631;2
faridabad;28.41124;77.31316;2
thai binh;20.45;106.34002;2
tay ninh;11.31004;106.09828;2
zhuji;29.71877;120.24233;2
tangerang;-6.17806;106.63;2
cairo;30.06263;31.24967;2
galle;6.0461;80.2103;2
panadura;6.7132;79.9026;1
yilan;24.757;121.753;1
wonogiri;-7.81444;110.92056;1
yiyang;28.58917;112.32833;1
xiamen;24.47979;118.08187;1
yancheng;29.74357;103.56679;1
purwakarta;-6.55694;107.44333;1
phu ly;20.54531;105.91221;1
yogyakarta;-7.80139;110.36472;1
zhengzhou;34.75778;113.64861;1
parit buntar;5.12671;100.49316;1
zhaoqing;23.04893;112.46091;1
zhangzhou;24.51333;117.65556;1
yulin;31.67517;109.48636;1
quang nam;15.88853;108.25447;1
penang;5.41123;100.33543;1
svay rieng;11.08785;105.79935;1
weihai;37.50914;122.11356;1
shangrao;28.45179;117.94287;1
taizhou;28.66266;121.43312;1
subang;-7.1277;108.5283;1
sousse;35.82539;10.63699;1
shivamogga;13.93157;75.56791;1
ordu;40.97782;37.89047;1
tehuacán;18.46422;-97.39735;1
tepanco de lopez;18.55686;-97.5613;1
tianjin;39.14222;117.17667;1
tijuana;32.5027;-117.00371;1
weifang;36.71;119.10194;1
touza;35.63544;10.82732;1
trang bom;10.95358;107.00589;1
tunis;36.81897;10.16579;1
vavuniya;8.7514;80.4971;1
santa anita;20.47028;-100.815;1
taichung;24.1469;120.6839;1
san luis;20.18809;-75.85031;1
vu thu;20.43671;106.29116;1
san luis rio colorado;32.45612;-114.77186;1
kegalle;7.2523;80.3436;1
my hao;20.93653;106.05711;1
mumbai;19.07283;72.88261;1
changping;40.21612;116.23471;1
chengdu;30.66667;104.06667;1
comilla;23.46186;91.18503;1
corum;40.54889;34.95333;1
daegu;35.87028;128.59111;1
danyang;26.35102;119.4803;1
dezhou;27.40809;102.18001;1
di an;50.3048;3.44796;1
edirne;41.67719;26.55597;1
el alia;37.16911;10.03478;1
esenyurt;41.02697;28.67732;1
eskisehir;39.77667;30.52056;1
fenghuang;27.93557;109.59961;1
fes;44.42735;10.79055;1
fuyang;30.05333;119.95194;1
cebu city;10.31672;123.89071;1
cao lanh;10.46017;105.63294;1
cam lam;12.05398;109.16004;1
ba tri;10.04427;106.5902;1
amritsar;31.62234;74.87534;1
an thi;52.73679;15.22878;1
anqing;30.51365;117.04723;1
anuradhapura;8.31223;80.41306;1
ate;-19.80139;-45.68556;1
ayutthaya;14.35167;100.57739;1
babaeski;41.4325;27.09306;1
bursa;40.19559;29.06013;1
bac giang;21.27307;106.1946;1
baoji;34.36775;107.23705;1
batticaloa;7.7102;81.6924;1
bolu;40.73583;31.60611;1
boyolali;-7.53306;110.59583;1
buca;38.3983;27.16662;1
fuzhou;27.95999;116.33333;1
gampaha;7.0897;79.9925;1
gizah;30.00944;31.20861;1
liaoyuan;42.90361;125.13583;1
karabuk;41.20488;32.62768;1
karur;10.95771;78.08095;1
alexandria;45.88524;-95.37754;1
kolkata;22.56263;88.36304;1
kuliyapitiya;7.4688;80.0401;1
kunshan;31.37762;120.95431;1
long thanh;10.78909;106.95029;1
jiujiang;29.70475;116.00206;1
lourdes;7.94411;-72.83253;1
lu'an;-8.83682;13.23432;1
luong son;20.87148;105.52568;1
manouba;36.81006;10.09557;1
menzel jemil;37.23618;9.91448;1
miaoli;24.56427;120.82367;1
kairouan;35.6781;10.09633;1
jining;35.405;116.58139;1
guilin;25.28022;110.29639;1
helwan;29.84144;31.30084;1
ha noi;21.0245;105.84117;1
hai duong;20.94099;106.33302;1
hanoi;21.0245;105.84117;1
hassan;13.00715;76.0962;1
hebei;39.57472;117.11333;1
hefei;31.86389;117.28083;1
heshan;28.5825;112.35028;1
jinhua;29.10678;119.64421;1
heyuan;23.73333;114.68333;1
hoa binh;20.81717;105.33759;1
hoc mon;10.8891;106.59533;1
horana;6.7159;80.0626;1
huaibei;33.97444;116.79167;1
hung ha;20.5904;106.22445;1
zibo;36.79056;118.06333;1
