geocode_name;lat;lon;factories
bangkok;13.75398;100.50144;7
quanzhou;25.93545;111.06752;6
jalandhar;31.32556;75.57917;6
vellore;12.9184;79.13255;5
foshan;23.02677;113.13148;5
sialkot;32.49268;74.53134;4
dongguan;23.01797;113.74866;4
shenzhen;22.54554;114.0683;4
nanjing;32.06167;118.77778;4
nantong;32.03028;120.87472;4
suzhou;31.30408;120.59538;3
ho chi minh city;10.82302;106.62965;3
tay ninh;11.31004;106.09828;2
rangpur;25.74664;89.25166;2
ningbo;29.87819;121.54945;2
phnom penh;11.56245;104.91601;2
tangerang;-6.17806;106.63;2
thiruvallur;13.14376;79.90889;2
dong nai;11.57981;107.36518;2
di an;50.3048;3.44796;2
bogor;-6.59444;106.78917;2
guangzhou;23.11667;113.25;2
yunfu;22.92787;112.03809;1
yancheng;29.74357;103.56679;1
xianning;29.84347;114.32201;1
wuxi;26.5844;111.859;1
shaoxing;30.00237;120.57864;1
thai binh;20.45;106.34002;1
quang ninh;17.40438;106.64072;1
sukabumi;-6.91806;106.92667;1
western;39.48537;-79.04475;1
vu thu;20.43671;106.29116;1
taichung;24.1469;120.6839;1
tirupur;11.11541;77.35456;1
antalya;36.90812;30.69556;1
nanchang;28.68396;115.85306;1
quang nam;15.88853;108.25447;1
qingdao;36.06488;120.38042;1
boyolali;-7.53306;110.59583;1
can duoc;10.50966;106.60308;1
chennai;13.08784;80.27847;1
chiayi;23.47917;120.44889;1
dongshan;33.76081;104.43412;1
gampaha;7.0897;79.9925;1
guanyin;29.09926;104.39416;1
hai duong;20.94099;106.33302;1
haiphong;20.86481;106.68345;1
hangzhou;30.29365;120.16142;1
heshan;28.5825;112.35028;1
ho chi minh;10.82302;106.62965;1
huidong;26.63745;102.57568;1
hung yen;20.64637;106.05112;1
jiangmen;22.58333;113.08333;1
jining;35.405;116.58139;1
karawang;-6.30525;107.3197;1
mumbai;19.07283;72.88261;1
bac giang;21.27307;106.1946;1
zhaoqing;23.04893;112.46091;1
