geocode_name;lat;lon;factories
tirupur;11.11541;77.35456;83
istanbul;41.01384;28.94966;46
dhaka;23.7104;90.40744;44
ningbo;29.87819;121.54945;37
hangzhou;30.29365;120.16142;37
dongguan;23.01797;113.74866;33
wenzhou;27.99942;120.66682;27
noida;28.58;77.33;26
quanzhou;25.93545;111.06752;24
yiwu;29.31506;120.07676;24
taizhou;28.66266;121.43312;21
narayanganj;23.61352;90.50298;17
qingdao;36.06488;120.38042;16
phnom penh;11.56245;104.91601;15
suzhou;31.30408;120.59538;14
shaoxing;30.00237;120.57864;13
guangzhou;23.11667;113.25;12
gurgaon;28.4601;77.02635;12
nantong;32.03028;120.87472;12
fuzhou;27.95999;116.33333;12
shantou;23.36814;116.71479;12
bangalore;12.97194;77.59369;12
jiangyin;31.91102;120.26302;11
yangzhou;32.39722;119.43583;11
shenzhen;22.54554;114.0683;10
savar;47.23088;16.62155;10
huizhou;23.11147;114.41523;9
yantai;30.1467;107.3196;8
chittagong;22.3384;91.83168;8
jiaxing;30.7522;120.75;8
karachi;24.8608;67.0104;8
zhongshan;34.93806;105.8775;7
weihai;37.50914;122.11356;7
chaozhou;23.65396;116.62262;7
yangon;16.80528;96.15611;6
yancheng;29.74357;103.56679;6
huzhou;30.8703;120.0933;6
changshu;31.64615;120.74221;6
lahore;31.558;74.35071;6
erode;11.3428;77.72741;6
haiphong;20.86481;106.68345;5
jiangmen;22.58333;113.08333;5
faisalabad;31.41554;73.08969;5
sancaktepe;41.00244;29.23187;4
nanjing;32.06167;118.77778;4
tianjin;39.14222;117.17667;4
shengzhou;29.59583;120.81667;4
coimbatore;11.00555;76.96612;3
quzhou;28.95944;118.86861;3
suqian;33.94917;118.29583;3
chennai;13.08784;80.27847;3
ho chi minh;10.82302;106.62965;3
chizhou;30.66134;117.47783;3
jinjiang;19.72878;110.00851;3
jining;35.405;116.58139;3
shanghai;31.22222;121.45806;3
xiamen;24.47979;118.08187;3
tekirdag;40.9781;27.51101;3
kampong speu;11.45332;104.52085;3
wuxi;26.5844;111.859;3
mersin;36.81196;34.63886;2
lu'an;-8.83682;13.23432;2
kanpur;26.46523;80.34975;2
lishui;29.83048;108.64355;2
linyi;35.06306;118.34278;2
mumbai;19.07283;72.88261;2
takeo;33.19009;130.02084;2
mymensingh;24.75636;90.40646;2
jinhua;29.10678;119.64421;2
weifang;36.71;119.10194;2
xianning;29.84347;114.32201;2
dongyang;29.83291;106.45066;2
zhuji;29.71877;120.24233;2
batman;37.88738;41.13221;2
shangrao;28.45179;117.94287;2
raiwind;31.24895;74.21534;2
bursa;40.19559;29.06013;2
chenzhou;25.8;113.03333;2
delhi;42.27814;-74.91599;2
tongxiang;30.63287;120.56081;2
mirpur;33.14782;73.75187;2
esenyurt;41.02697;28.67732;2
panipat;29.38747;76.96825;2
faridabad;28.41124;77.31316;2
vapi;20.37175;72.90493;2
hai duong;20.94099;106.33302;2
haining;30.53629;120.68638;2
sousse;35.82539;10.63699;1
sukabumi;-6.91806;106.92667;1
semenyih;2.9516;101.843;1
sivas;39.74833;37.01611;1
semarang;-6.99306;110.42083;1
sonipat;28.99478;77.01937;1
adapazarı;40.78056;30.40333;1
tai'an;30.79554;108.65921;1
xinxiang;30.49999;108.27278;1
zhumadian;32.97944;114.02944;1
