geocode_name;lat;lon;factories
dhaka;23.7104;90.40744;30
bangkok;13.75398;100.50144;20
tirupur;11.11541;77.35456;14
dongguan;23.01797;113.74866;12
ningbo;29.87819;121.54945;12
savar;47.23088;16.62155;11
wenzhou;27.99942;120.66682;11
chittagong;22.3384;91.83168;10
western;39.48537;-79.04475;9
istanbul;41.01384;28.94966;8
phnom penh;11.56245;104.91601;8
nantong;32.03028;120.87472;7
hangzhou;30.29365;120.16142;7
chennai;13.08784;80.27847;6
qingdao;36.06488;120.38042;6
yangzhou;32.39722;119.43583;6
coimbatore;11.00555;76.96612;5
colombo;6.93548;79.84868;5
huizhou;23.11147;114.41523;5
bursa;40.19559;29.06013;5
guangzhou;23.11667;113.25;4
faisalabad;31.41554;73.08969;4
suzhou;31.30408;120.59538;4
rangpur;25.74664;89.25166;4
shanghai;31.22222;121.45806;4
jinjiang;19.72878;110.00851;4
taizhou;28.66266;121.43312;3
shaoxing;30.00237;120.57864;3
ho chi minh;10.82302;106.62965;3
mae sot;16.71667;98.56667;3
nanjing;32.06167;118.77778;3
yantai;30.1467;107.3196;3
bangalore;12.97194;77.59369;3
heze;35.23929;115.47358;3
noida;28.58;77.33;3
haiphong;20.86481;106.68345;2
jaipur;26.91962;75.78781;2
jiaxing;30.7522;120.75;2
shengzhou;29.59583;120.81667;2
quanzhou;25.93545;111.06752;2
jieyang;23.5418;116.36581;2
shantou;23.36814;116.71479;2
agra;46.03668;8.76833;2
lahore;31.558;74.35071;2
putian;25.43944;119.01028;2
mirzapur;24.10287;90.09841;2
mumbai;19.07283;72.88261;2
mymensingh;24.75636;90.40646;2
narayanganj;23.61352;90.50298;2
tekirdag;40.9781;27.51101;2
karachi;24.8608;67.0104;2
denizli;37.77417;29.0875;2
foshan;23.02677;113.13148;2
zhangjiagang;31.865;120.53889;2
dalian;38.91222;121.60222;2
changshun;41.89139;113.99222;2
corlu;41.15917;27.8;2
duzce;35.05515;33.78388;2
chaozhou;23.65396;116.62262;2
ganzhou;25.84664;114.9326;2
faridabad;28.41124;77.31316;2
fuzhou;27.95999;116.33333;2
weihai;37.50914;122.11356;1
weinan;34.50355;109.50891;1
wuxi;26.5844;111.859;1
thai nguyen;37.86944;112.56028;1
polonnaruwa;7.93965;81.00274;1
rabat;34.01325;-6.83255;1
xiangcheng;31.93667;111.91778;1
yancheng;29.74357;103.56679;1
ordu;40.97782;37.89047;1
yangon;16.80528;96.15611;1
yichun;27.83333;114.4;1
yiwu;29.31506;120.07676;1
phra pradaeng;13.65855;100.53362;1
zhumadian;32.97944;114.02944;1
ratnapura;6.6858;80.4036;1
torbali;38.1519;27.36223;1
thane;36.80368;9.84424;1
tianchang;32.68497;119.00932;1
ninh binh;20.25809;105.97965;1
tongi;36.2844;127.6199;1
tongxiang;30.63287;120.56081;1
suqian;33.94917;118.29583;1
sinop;-11.86417;-55.5025;1
zhenjiang;32.21086;119.45508;1
shijiazhuang;38.04139;114.47861;1
unnao;26.54706;80.48781;1
vavuniya;8.7514;80.4971;1
vellore;12.9184;79.13255;1
weifang;36.71;119.10194;1
samrong;15.00781;104.78419;1
zhuji;29.71877;120.24233;1
afyonkarahisar;38.75667;30.54333;1
negombo;7.2083;79.8358;1
chonburi;13.3622;100.98345;1
giresun;40.91698;38.38741;1
gaziemir;38.32392;27.12918;1
gampaha;7.0897;79.9925;1
fuqing;25.7294;119.37469;1
esenler;41.0435;28.87619;1
dongyang;29.83291;106.45066;1
delhi;42.27814;-74.91599;1
dambulla;7.86;80.65167;1
corum;40.54889;34.95333;1
chuzhou;32.32194;118.29778;1
chengdu;30.66667;104.06667;1
gurgaon;28.4601;77.02635;1
changzhou;23.48492;111.27413;1
changshu;31.64615;120.74221;1
can tho;10.03711;105.78825;1
cairo;30.06263;31.24967;1
buca;38.3983;27.16662;1
bien hoa;10.94469;106.82432;1
beni khiar;36.46917;10.78222;1
batman;37.88738;41.13221;1
bartin;41.63583;32.3375;1
alexandria;45.88524;-95.37754;1
gizah;30.00944;31.20861;1
hai duong;20.94099;106.33302;1
my tho;10.36004;106.35996;1
kandy;7.2906;80.6336;1
monaragala;6.8714;81.3487;1
mirpur;33.14782;73.75187;1
merkez;40.12954;26.42075;1
manisa;38.61202;27.42647;1
lu'an;-8.83682;13.23432;1
linyi;35.06306;118.34278;1
kurunegala;7.4839;80.3683;1
koggala;5.9886;80.3286;1
kirklareli;41.73508;27.22521;1
kanpur;26.46523;80.34975;1
kampong speu;11.45332;104.52085;1
haining;30.53629;120.68638;1
kampong cham;11.99339;105.4635;1
jining;35.405;116.58139;1
jiangshan;36.67806;120.52917;1
jiangmen;22.58333;113.08333;1
izmir;38.41273;27.13838;1
ismailia;30.60427;32.27225;1
huzhou;30.8703;120.0933;1
huidong;26.63745;102.57568;1
heyuan;23.73333;114.68333;1
hassan;13.00715;76.0962;1
zibo;36.79056;118.06333;1
