geocode_name;lat;lon;factories
qingdao;36.06488;120.38042;6
changzhou;23.48492;111.27413;5
boyolali;-7.53306;110.59583;4
nantong;32.03028;120.87472;4
huizhou;23.11147;114.41523;4
yancheng;29.74357;103.56679;4
dongguan;23.01797;113.74866;3
jining;35.405;116.58139;3
zhongshan;34.93806;105.8775;3
chittagong;22.3384;91.83168;3
shanghai;31.22222;121.45806;3
dhaka;23.7104;90.40744;3
rangpur;25.74664;89.25166;3
anqing;30.51365;117.04723;2
purwakarta;-6.55694;107.44333;2
zibo;36.79056;118.06333;2
semarang;-6.99306;110.42083;2
shaoxing;30.00237;120.57864;2
ningbo;29.87819;121.54945;2
shenzhen;22.54554;114.0683;2
nanjing;32.06167;118.77778;2
tay ninh;36.62554;101.75739;2
suqian;33.94917;118.29583;2
xuzhou;34.20442;117.28386;2
hangzhou;30.29365;120.16142;2
ezhou;30.4;114.83333;2
zhuhai;29.36937;105.88323;2
weifang;36.71;119.10194;1
yinchuan;38.46806;106.27306;1
taizhou;28.66266;121.43312;1
suzhou;31.30408;120.59538;1
xuancheng;30.9525;118.75528;1
an duong;36.096;114.38278;1
subang;-7.1277;108.5283;1
shaoguan;24.8;113.58333;1
shangqiu;34.45;115.65;1
mymensingh;24.75636;90.40646;1
majalengka;-6.83611;108.22778;1
lianyungang;34.59845;119.21556;1
jiaxing;30.7522;120.75;1
jepara;-5.16948;105.70441;1
cimahi;-6.87222;107.5425;1
beijing;39.9075;116.39723;1
bandung;-6.92222;107.60694;1
prachin buri;14.04992;101.36864;1
