geocode_name;lat;lon;factories
bangalore;12.97194;77.59369;36
dongguan;23.01797;113.74866;26
dhaka;23.7104;90.40744;26
chittagong;22.3384;91.83168;19
ningbo;29.87819;121.54945;12
zhongshan;34.93806;105.8775;10
tehuacán;18.46422;-97.39735;9
phnom penh;11.56245;104.91601;9
gurgaon;28.4601;77.02635;8
istanbul;41.01384;28.94966;7
chennai;13.08784;80.27847;7
long an;23.1685;107.69217;7
kampong cham;11.99339;105.4635;5
hangzhou;30.29365;120.16142;5
gómez palacio;25.56985;-103.49588;5
tirupur;11.11541;77.35456;4
quanzhou;25.93545;111.06752;4
changshu;31.64615;120.74221;4
changzhou;23.48492;111.27413;4
rangpur;25.74664;89.25166;4
qingdao;36.06488;120.38042;4
guangzhou;23.11667;113.25;4
izmir;38.41273;27.13838;3
jiaxing;30.7522;120.75;3
shengzhou;29.59583;120.81667;3
noida;28.58;77.33;3
port said;31.26531;32.3019;3
torreon;21.47444;-101.47056;3
jiangyin;31.91102;120.26302;3
cairo;30.06263;31.24967;3
villa nueva;14.52512;-90.58544;3
batangas;13.7567;121.0584;3
monastir;35.77799;10.82617;2
kampong speu;11.45332;104.52085;2
karachi;24.8608;67.0104;2
taichung;24.1469;120.6839;2
suzhou;31.30408;120.59538;2
ludhiana;30.91204;75.85379;2
boyolali;-7.53306;110.59583;2
mirpur;33.14782;73.75187;2
guatemala city;14.64072;-90.51327;2
shanghai;31.22222;121.45806;2
takeo;10.99081;104.78498;2
narayanganj;23.61352;90.50298;2
yulin;31.67517;109.48636;2
san pedro;25.75602;-102.98385;2
zhuhai;29.36937;105.88323;2
puebla de zaragoza;19.03793;-98.20346;2
san juan del rio;16.88407;-96.15983;2
nantong;32.03028;120.87472;2
sukabumi;-6.91806;106.92667;2
wuxi;26.5844;111.859;2
jiangmen;22.58333;113.08333;2
tay ninh;36.62554;101.75739;2
ganzhou;25.84664;114.9326;2
tijuana;32.5027;-117.00371;2
jakarta;-6.21462;106.84513;2
faridabad;28.41124;77.31316;2
saucillo;28.03055;-105.29376;1
tepanco de lopez;18.55686;-97.5613;1
san salvador;20.28583;-99.01457;1
san pedro sacatepequez;14.68612;-90.64253;1
wenzhou;27.99942;120.66682;1
san miguel petapa;14.50189;-90.56196;1
zhangzhou;24.51333;117.65556;1
tekax;20.2052;-89.28522;1
san marcos;25.66667;-103.0091;1
san juan opico;13.87611;-89.35972;1
weifang;36.71;119.10194;1
sam phran;13.72698;100.21526;1
zhuji;29.71877;120.24233;1
tekirdag;40.9781;27.51101;1
tangerang;-6.17806;106.63;1
seybaplaya;19.63994;-90.68706;1
taoyuan;26.2283;100.56;1
tainan;22.99083;120.21333;1
tegucigalpa;14.0818;-87.20681;1
yiwu;29.31506;120.07676;1
tai'an;30.79554;108.65921;1
yangon;16.80528;96.15611;1
suqian;33.94917;118.29583;1
tumakuru;13.34136;77.1022;1
yogyakarta;-7.80139;110.36472;1
subic;13.94859;120.94013;1
subang;-7.1277;108.5283;1
shenzhen;22.54554;114.0683;1
xinyi;22.37303;110.94746;1
shaoxing;30.00237;120.57864;1
wuyang;31.9925;116.24722;1
shantou;23.36814;116.71479;1
acanceh;20.81291;-89.45332;1
nanjing;32.06167;118.77778;1
quetzaltenango;14.83472;-91.51806;1
qianjiang;30.421;112.8919;1
jieyang;23.5418;116.36581;1
izamal;20.93537;-89.01802;1
ismailia;30.60427;32.27225;1
huzhou;30.8703;120.0933;1
huai'an;33.58861;119.01917;1
hindupur;13.82807;77.49143;1
hawassa;7.06205;38.47635;1
haining;30.53629;120.68638;1
guiguinto;14.83333;120.88333;1
guatemala;14.56111;-90.73444;1
foshan;23.02677;113.13148;1
delicias;15.10245;-92.50002;1
danyang;26.35102;119.4803;1
cibinong;-6.48167;106.85417;1
choloma;15.61444;-87.95302;1
changhua;34.8269;112.43129;1
chai nat;15.18636;100.12353;1
caborca;30.71825;-112.15822;1
bekasi;-6.2349;106.9896;1
bantul;-7.88806;110.32889;1
bangkok;13.75398;100.50144;1
atlixco;18.90815;-98.43613;1
al qahirah;30.06263;31.24967;1
jilotepec;19.61184;-96.95169;1
jinhua;29.10678;119.64421;1
jining;35.405;116.58139;1
mymensingh;24.75636;90.40646;1
pune;18.51957;73.85535;1
puebla;16.91583;-92.50389;1
probolinggo;-7.7543;113.2159;1
piedras negras;20.43059;-101.39158;1
phichit;16.44184;100.34879;1
olocuilta;13.56972;-89.11722;1
nonthaburi;13.86075;100.51477;1
new delhi;28.63576;77.22445;1
adiyaman;37.76441;38.27629;1
nanchong;30.79508;106.08473;1
mixco;14.63077;-90.60711;1
jinjiang;19.72878;110.00851;1
miaoli;24.56427;120.82367;1
matamoros;18.58414;-90.64669;1
madurai;9.919;78.11953;1
lu'an;36.18389;113.10528;1
lianyungang;34.59845;119.21556;1
leshan;29.56227;103.76386;1
lerma;19.80404;-90.60088;1
la paz;10.8925;124.95583;1
la ceiba;15.75971;-86.78221;1
kanchipuram;12.83515;79.70006;1
zibo;36.79056;118.06333;1
