Factories_name;Parent_companies_name;Country_parent;Address_1_factory;Address_2_factory;Address_3_factory;City_factory;Zip_Code_factory;Province_State_factory;countrycode;country_parent_num;factory_parent_different;Product_Categories_grp;b1_Adidas;b2_ASICS;b3_ASOS;b4_CandA;b5_Debenhams;b6_Esprit;b7_GAP;b8_G_STAR;b9_HandM;b10_MandS;b11_NIKE;b12_Pentland;b13_Primark;b14_PUMA;b15_Under_Armour;b16_VF_Corp;b17_Amer_Sports;b18_Bestseller;b19_KappAhl;b20_New_Balance;b21_Levi_Strauss;b22_PVH;b23_Tesco;b24_UNIQLO;TOTAL_BRANDS;employees_p_factory;nonmbrs;b1_Adidas_DICH;b2_ASICS_DICH;b3_ASOS_DICH;b4_CandA_DICH;b5_Debenhams_DICH;b6_Esprit_DICH;b7_GAP_DICH;b8_G_STAR_DICH;b9_HandM_DICH;b10_MandS_DICH;b11_NIKE_DICH;b12_Pentland_DICH;b13_Primark_DICH;b14_PUMA_DICH;b15_Under_Armour_DICH;b16_VF_Corp_DICH;b17_Amer_Sports_DICH;b18_Bestseller_DICH;b19_KappAhl_DICH;b20_New_Balance_DICH;b21_Levi_Strauss_DICH;b22_PVH_DICH;b23_Tesco_DICH;b24_UNIQLO_DICH;employees_p_factory_gt1000;ownership_grp;TOTAL_BRANDS16;TOTAL_BRANDS16_dich;femployees_p_factory;EPZ;Country
Dada Dhaka Ltd;Dada Corp;KR;Holding #40, Village: Pagar, Joymot Khan Road; Munnonagar, Pagar, Tongi;;Gazipur;1710;Dhaka;50;410;1;1;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;-9;-9;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;1;1;-9;0;Bangladesh
Karnaphuli Shoes Industries Limited (Garments Unit);Youngone Corp;KR;Korean Export Processing Zone;Anwara;North Patenga,;Chittagong;4371;Chittagong;50;410;1;2;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;-9;-9;-9;-9;-9;-9;-9;-9;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;2;1;-9;1;Bangladesh
Karnaphuli Sportswear Industries Ltd;Youngone Corp;KR;Plot # 9-14 18-20 Sector # 7 Chittagong Export Processing Zone;;;Chittagong;4371;Chittagong;50;410;1;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;3;3;-9;-9;-9;-9;0;-9;-9;-9;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;3;2;1;-9;1;Bangladesh
KENPARK BANGLADESH APPAREL (PVT) LIMITED [K-5] (Expanded Facility);FR Apparel Trading DMCC;UAE;Plot No-14-23,Sector-02,;Karnaphuli Export Processing Zone.;;Chittagong;4204;Chittagong;50;784;1;2;2;-9;-9;-9;-9;-9;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;0;-9;-9;4;2;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;3;2;1;60;1;Bangladesh
Uni Gears Ltd;Uni Gears Ltd;BD;Badshamia School Road;Khailkur, Board Bazar;;Gazipur;1704;Dhaka;50;50;0;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;-9;0;Bangladesh
Youngone (CEPZ) Ltd;Youngone Corp;KR;Plot # 03-16, Sector # 2,;Chittagong Export Processing Zone;ANG SNOUL DISTRICT, KANDAL PROVINCE, CAMBODIA;Chittagong;4223;Chittagong;50;410;1;2;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;3;1;1;-9;1;Bangladesh
Bowker Garment Factory (Cambodia) Company Limited;Bowker Asia Ltd;HK;NATIONAL ROAD NO.4,;PONG TEUK VILLAGE, BEK CHAN COMMUNE;;Kandal;8301;Rangpur;50;344;1;2;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;-9;0;Bangladesh
A One Polar Ltd;Micro Fibre Group;BD;VULTA, RUPGONJ;;;Narayanganj;1460;Dhaka;50;50;1;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;-9;0;Bangladesh
A to Z Printing Ltd;Vision Group;BD;221 A Tejgaon Industrial Area;;;Dhaka;1208;Dhaka;50;50;1;1;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;-9;1;Bangladesh
Actor Sporting Ltd;Actor Sporting Ltd;BD;Block 33-3, Dhaka Export Processing Zone, Ganakbari;;;Savar;1349;Dhaka;50;50;0;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;-9;-9;2;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;-9;1;Bangladesh
