geocode_name;lat;lon;workers
kampong speu;11.45332;104.52085;12500
karawang;-6.30525;107.3197;7500
dong phu;15.67356;108.2201;7500
tan phu;11.45119;106.86811;7500
western;39.48537;-79.04475;5000
chau thanh;10.0009;105.75095;3000
di an;50.3048;3.44796;3000
haining;30.53629;120.68638;3000
bandung;-6.92222;107.60694;3000
yangzhou;32.39722;119.43583;3000
suqian;33.94917;118.29583;2500
trang bom;10.95358;107.00589;2500
johor bahru;1.4655;103.7578;2500
ratnapura;6.6858;80.4036;2500
huangshi;30.24706;115.04814;2500
thu duc;10.84863;106.77209;2500
nantong;32.03028;120.87472;2500
phnom penh;11.56245;104.91601;2500
hai duong;20.94099;106.33302;2500
tangerang;-6.17806;106.63;2500
dong xoai;11.53495;106.88324;2500
dong nai;11.57981;107.36518;2500
chon thanh;11.42821;106.63536;2500
istanbul;41.01384;28.94966;1500
dongguan;23.01797;113.74866;1500
xiamen;24.47979;118.08187;1000
bien hoa;10.94469;106.82432;1000
guangzhou;23.11667;113.25;1000
taichung;24.1469;120.6839;500
wuxi;26.5844;111.859;500
tu ky;20.81914;106.40661;500
yancheng;29.74357;103.56679;500
yangzhong;26.70556;119.37444;500
suzhou;31.30408;120.59538;500
antalya;36.90812;30.69556;500
sinaloa;15.89261;-92.12896;500
shaoxing;30.00237;120.57864;500
shanghai;31.22222;121.45806;500
santa ana;-12.86667;-72.71667;500
quanzhou;25.93545;111.06752;500
olocuilta;13.56972;-89.11722;500
ningbo;29.87819;121.54945;500
jiaxing;30.7522;120.75;500
hoc mon;10.8891;106.59533;500
haiphong;20.86481;106.68345;500
changzhou;23.48492;111.27413;500
changhua;34.8269;112.43129;500
butterworth;5.3991;100.36382;500
boyolali;-7.53306;110.59583;500
zhongshan;34.93806;105.8775;500
