geocode_name;lat;lon;workers
istanbul;41.01384;28.94966;32000
tirupur;11.11541;77.35456;17500
hangzhou;30.29365;120.16142;15000
dongguan;23.01797;113.74866;15000
noida;28.58;77.33;11000
wenzhou;27.99942;120.66682;10500
qingdao;36.06488;120.38042;10000
shenzhen;22.54554;114.0683;6500
guangzhou;23.11667;113.25;6000
faridabad;28.41124;77.31316;5500
delhi;42.27814;-74.91599;5000
chennai;13.08784;80.27847;4500
bangalore;12.97194;77.59369;4500
gurgaon;28.4601;77.02635;4000
huizhou;23.11147;114.41523;3500
new delhi;28.63576;77.22445;3500
suzhou;31.30408;120.59538;3500
mumbai;19.07283;72.88261;3500
ghaziabad;28.66535;77.43915;3000
yangzhou;32.39722;119.43583;3000
esenyurt;41.02697;28.67732;2500
huidong;26.63745;102.57568;2500
yiwu;29.31506;120.07676;2500
laizhou;37.18073;119.94217;2500
kolkata;22.56263;88.36304;2000
changzhou;23.48492;111.27413;2000
quanzhou;25.93545;111.06752;2000
jiaxing;30.7522;120.75;2000
bareilly;28.36678;79.43167;2000
phnom penh;11.56245;104.91601;2000
izmir;38.41273;27.13838;1500
shantou;23.36814;116.71479;1500
jaipur;26.91962;75.78781;1500
jinjiang;19.72878;110.00851;1500
changshu;31.64615;120.74221;1500
kanpur;26.46523;80.34975;1500
foshan;23.02677;113.13148;1500
agra;46.03668;8.76833;1500
shengzhou;29.59583;120.81667;1500
ningbo;29.87819;121.54945;1000
surat;21.19594;72.83023;1000
jieyang;23.5418;116.36581;1000
meerut;28.98002;77.70636;1000
nanjing;32.06167;118.77778;1000
zhenjiang;32.21086;119.45508;1000
huzhou;30.8703;120.0933;1000
weihai;37.50914;122.11356;1000
bangkok;13.75398;100.50144;1000
yancheng;29.74357;103.56679;1000
chaozhou;23.65396;116.62262;1000
taizhou;28.66266;121.43312;1000
thane;36.80368;9.84424;1000
ho chi minh;10.82302;106.62965;1000
unnao;26.54706;80.48781;500
sikandrabad;28.45226;77.70004;500
zhaoqing;23.04893;112.46091;500
yunfu;22.92787;112.03809;500
pune;18.51957;73.85535;500
yozgat;39.82;34.80444;500
tan phu;11.45119;106.86811;500
xinyi;22.37303;110.94746;500
sancaktepe;41.00244;29.23187;500
sfax;34.74056;10.76028;500
xingtai;37.06306;114.49417;500
tekirdag;40.9781;27.51101;500
thanh hoa;10.65744;106.18081;500
thong nhat;10.95055;107.14571;500
vellore;12.9184;79.13255;500
vapi;20.37175;72.90493;500
wuhan;30.58333;114.26667;500
adapazarı;40.78056;30.40333;500
ordu;40.97782;37.89047;500
changshun;41.89139;113.99222;500
eskisehir;39.77667;30.52056;500
erode;11.3428;77.72741;500
duzce;35.05515;33.78388;500
dewas;22.96585;76.05526;500
coimbatore;11.00555;76.96612;500
chengdu;30.66667;104.06667;500
changchun;43.88;125.32278;500
negombo;7.2083;79.8358;500
bitlis;38.40115;42.10784;500
bien hoa;10.94469;106.82432;500
beylikdüzü;40.982;28.6399;500
bang phli;13.60678;100.71201;500
anuradhapura;8.31223;80.41306;500
ahmedabad;23.02579;72.58727;500
fuding;27.32734;120.21399;500
ganzhou;25.84664;114.9326;500
hai duong;20.94099;106.33302;500
harbin;45.75;126.65;500
heshan;28.5825;112.35028;500
hoc mon;10.8891;106.59533;500
huanggang;30.45143;114.87035;500
indore;22.71792;75.8333;500
jinhua;29.10678;119.64421;500
kolar;67.33047;23.77785;500
kwai chung;22.36828;114.13877;500
linyi;35.06306;118.34278;500
lu'an;-8.83682;13.23432;500
monastir;39.3836;9.04445;500
moradabad;28.83893;78.77684;500
my tho;10.36004;106.35996;500
nantong;32.03028;120.87472;500
kirklareli;41.73508;27.22521;500
