geocode_name;lat;lon;workers
phnom penh;11.56245;104.91601;47000
tangerang;-6.17806;106.63;28500
fuzhou;27.95999;116.33333;24500
dongguan;23.01797;113.74866;22000
lapu-lapu city;10.31028;123.94944;18000
seoul;37.566;126.9784;18000
faisalabad;31.41554;73.08969;17500
chittagong;22.3384;91.83168;17500
serang;-6.11528;106.15417;16000
jepara;-5.16948;105.70441;15000
sukabumi;-6.91806;106.92667;15000
shenzhen;22.54554;114.0683;13000
lahore;31.558;74.35071;13000
sialkot;32.49268;74.53134;12500
qingyuan;37.61748;112.32583;11500
semarang;-6.99306;110.42083;11000
long an;23.1685;107.69217;10500
bandung;-6.92222;107.60694;10000
ningbo;29.87819;121.54945;9500
zhongshan;34.93806;105.8775;9000
nellore;14.44992;79.98697;8500
kampong cham;11.99339;105.4635;7500
jiujiang;29.70475;116.00206;7500
yangon;16.80528;96.15611;7000
quanzhou;25.93545;111.06752;6000
taichung;24.1469;120.6839;6000
bangalore;12.97194;77.59369;6000
qingdao;36.06488;120.38042;5500
hengyang;26.88946;112.61888;5000
guangzhou;23.11667;113.25;5000
incheon;37.45646;126.70515;5000
ismailia;30.60427;32.27225;5000
tainan;22.99083;120.21333;5000
dhaka;23.7104;90.40744;5000
yunfu;22.92787;112.03809;5000
boyolali;-7.53306;110.59583;5000
busan;35.10168;129.03004;5000
dalian;38.91222;121.60222;4500
xiamen;24.47979;118.08187;4500
putian;25.43944;119.01028;4500
changzhou;23.48492;111.27413;4000
jiaxing;30.7522;120.75;4000
bangkok;13.75398;100.50144;4000
negombo;7.2083;79.8358;4000
ganzhou;25.84664;114.9326;4000
shanghai;31.22222;121.45806;4000
noida;28.58;77.33;3500
taipei;25.04776;121.53185;3500
dki jakarta;-6.21462;106.84513;3500
dehradun;30.32443;78.03392;3500
faridabad;28.41124;77.31316;3500
foshan;23.02677;113.13148;3500
jakarta;-6.21462;106.84513;3000
heyuan;23.73333;114.68333;3000
bekasi;-6.2349;106.9896;3000
hangzhou;30.29365;120.16142;3000
irapuato;20.67675;-101.35628;3000
taoyuan;26.2283;100.56;3000
changshu;31.64615;120.74221;3000
khon kaen;16.44671;102.833;3000
quzhou;28.95944;118.86861;3000
purwakarta;-6.55694;107.44333;2500
ji'an;26.86879;100.22072;2500
pingxiang;35.2079;105.25058;2500
nong bua lamphu;17.20406;102.44068;2500
ratnapura;6.6858;80.4036;2500
kaoh kong;11.61531;102.9838;2500
majalengka;-6.83611;108.22778;2500
san pedro sula;15.50417;-88.025;2500
rangpur;25.74664;89.25166;2500
lourdes;8.525;124.43222;2500
roi et;16.0567;103.65309;2500
nantong;32.03028;120.87472;2500
zhuji;29.71877;120.24233;2500
sidoarjo;-7.4478;112.7183;2500
tongliao;43.6125;122.26528;2500
antiguo cuscatlan;13.66492;-89.25319;2500
baca;21.10874;-89.39866;2500
bang phli;13.60678;100.71201;2500
batam;1.14937;104.02491;2500
bogor;-6.59444;106.78917;2500
brebes;-6.8691;109.0378;2500
chalchuapa;13.98667;-89.68111;2500
chennai;13.08784;80.27847;2500
cimahi;-6.87222;107.5425;2500
ciudad arce;13.84028;-89.44722;2500
dandong;40.12917;124.39472;2500
villa nueva;14.52512;-90.58544;2500
valladolid;22.02111;-102.315;2500
phichit;16.44184;100.34879;2500
thai nguyen;37.86944;112.56028;2500
subang;-7.1277;108.5283;2500
tegucigalpa;14.0818;-87.20681;2500
huai'an;33.58861;119.01917;2500
takeo;10.99081;104.78498;2500
haining;30.53629;120.68638;2000
jinjiang;19.72878;110.00851;2000
quezon city;14.6488;121.0509;1500
miaoli;24.56427;120.82367;1500
gwangju;37.41;127.25722;1500
changhua;34.8269;112.43129;1500
yancheng;29.74357;103.56679;1500
chonburi;13.3622;100.98345;1500
yogyakarta;-7.80139;110.36472;1500
seongnam;37.43861;127.13778;1500
suzhou;31.30408;120.59538;1500
karachi;24.8608;67.0104;1500
zhangjiagang;31.865;120.53889;1500
yiwu;29.31506;120.07676;1500
shangrao;28.45179;117.94287;1000
san salvador;20.28583;-99.01457;1000
tianjin;39.14222;117.17667;1000
wenzhou;27.99942;120.66682;1000
sleman;-7.71556;110.35556;1000
sam phran;13.72698;100.21526;1000
san juan opico;13.87611;-89.35972;1000
weifang;36.71;119.10194;1000
alexandria;31.20176;29.91582;1000
guatemala city;14.64072;-90.51327;1000
ordu;40.97782;37.89047;1000
esenyurt;41.02697;28.67732;1000
jeonju;35.82194;127.14889;1000
jalandhar;31.32556;75.57917;1000
kunshan;31.37762;120.95431;1000
jaipur;26.91962;75.78781;1000
istanbul;41.01384;28.94966;1000
liaoyuan;42.90361;125.13583;1000
ludhiana;30.91204;75.85379;1000
fatsa;41.02778;37.50139;1000
