geocode_name;lat;lon;workers
antipolo;13.3927;123.5231;0.0
nanjing;32.06167;118.77778;0.0
ningbo;29.87819;121.54945;0.0
nonthaburi;13.86075;100.51477;0.0
phnom penh;11.56245;104.91601;0.0
purwakarta;-6.55694;107.44333;0.0
qingdao;36.06488;120.38042;0.0
quanzhou;25.93545;111.06752;0.0
rangpur;25.74664;89.25166;0.0
shenzhen;22.54554;114.0683;0.0
tainan;22.99083;120.21333;0.0
tangerang;-6.17806;106.63;0.0
tay ninh;11.31004;106.09828;0.0
vellore;12.9184;79.13255;0.0
xiamen;24.47979;118.08187;0.0
yangon;16.80528;96.15611;0.0
zhangzhou;24.51333;117.65556;0.0
narayanganj;23.61352;90.50298;0.0
nam dinh;20.43389;106.17729;0.0
bangkok;13.75398;100.50144;0.0
nakhon pathom;13.8196;100.04427;0.0
batangas;13.7567;121.0584;0.0
bien hoa;10.94469;106.82432;0.0
chittagong;22.3384;91.83168;0.0
comilla;23.46186;91.18503;0.0
dong nai;11.57981;107.36518;0.0
dongguan;23.01797;113.74866;0.0
ganzhou;25.84664;114.9326;0.0
guangzhou;23.11667;113.25;0.0
hangzhou;30.29365;120.16142;0.0
heyuan;23.73333;114.68333;0.0
huizhou;23.11147;114.41523;0.0
jinhua;29.10678;119.64421;0.0
jiujiang;29.70475;116.00206;0.0
long an;23.1685;107.69217;0.0
nabeul;36.45606;10.73763;0.0
zhongshan;34.93806;105.8775;0.0
