geocode_name;lat;lon;workers
afyonkarahisar;38.75667;30.54333;0.0
ordu;40.97782;37.89047;0.0
shijiazhuang;38.04139;114.47861;0.0
shengzhou;29.59583;120.81667;0.0
shaoxing;30.00237;120.57864;0.0
shantou;23.36814;116.71479;0.0
shanghai;31.22222;121.45806;0.0
rangpur;25.74664;89.25166;0.0
quanzhou;25.93545;111.06752;0.0
qingdao;36.06488;120.38042;0.0
phnom penh;11.56245;104.91601;0.0
noida;28.58;77.33;0.0
leshan;29.56227;103.76386;0.0
ningbo;29.87819;121.54945;0.0
new delhi;28.63576;77.22445;0.0
nantong;32.03028;120.87472;0.0
muş;38.73163;41.48482;0.0
mirzapur;24.10287;90.09841;0.0
mandalay;21.97473;96.08359;0.0
malatya;38.35018;38.31667;0.0
long an;23.1685;107.69217;0.0
linyi;35.06306;118.34278;0.0
sihanoukville;10.60932;103.52958;0.0
suqian;33.94917;118.29583;0.0
suzhou;31.30408;120.59538;0.0
taizhou;28.66266;121.43312;0.0
zhuji;29.71877;120.24233;0.0
zhengzhou;34.75778;113.64861;0.0
zaozhuang;34.86472;117.55417;0.0
yueyang;29.37455;113.09481;0.0
yiwu;29.31506;120.07676;0.0
yantai;30.1467;107.3196;0.0
yangon;16.80528;96.15611;0.0
yancheng;29.74357;103.56679;0.0
xuancheng;30.9525;118.75528;0.0
xingtai;37.06306;114.49417;0.0
xiangcheng;31.93667;111.91778;0.0
wuxi;26.5844;111.859;0.0
wuhu;31.33728;118.37351;0.0
weihai;37.50914;122.11356;0.0
weifang;36.71;119.10194;0.0
tongi;36.2844;127.6199;0.0
tianjin;39.14222;117.17667;0.0
tekirdag;40.9781;27.51101;0.0
takeo;10.99081;104.78498;0.0
liaocheng;36.45064;116.00247;0.0
laiwu;36.19278;117.65694;0.0
babaeski;41.4325;27.09306;0.0
delhi;28.65195;77.23149;0.0
giresun;40.91698;38.38741;0.0
gaizhou;40.39417;122.36861;0.0
fuyang;30.05333;119.95194;0.0
foshan;23.02677;113.13148;0.0
faridabad;28.41124;77.31316;0.0
dongyang;29.83291;106.45066;0.0
dongguan;23.01797;113.74866;0.0
dhaka;23.7104;90.40744;0.0
denizli;37.77417;29.0875;0.0
dangshan;34.42787;116.37657;0.0
lahore;31.558;74.35071;0.0
dalian;38.91222;121.60222;0.0
colombo;6.93548;79.84868;0.0
chaoyang;37.90801;113.15044;0.0
changzhou;23.48492;111.27413;0.0
buca;38.3983;27.16662;0.0
beijing;39.9075;116.39723;0.0
batman;37.88738;41.13221;0.0
bartin;41.63583;32.3375;0.0
bangalore;12.97194;77.59369;0.0
guangzhou;23.11667;113.25;0.0
guilin;25.28022;110.29639;0.0
gurgaon;28.4601;77.02635;0.0
haining;30.53629;120.68638;0.0
konuralp;40.90538;31.14568;0.0
koggala;5.9886;80.3286;0.0
kirklareli;41.73508;27.22521;0.0
karachi;24.8608;67.0104;0.0
kanpur;26.46523;80.34975;0.0
kampong speu;11.45332;104.52085;0.0
kampong cham;11.99339;105.4635;0.0
jiujiang;29.70475;116.00206;0.0
jinjiang;19.72878;110.00851;0.0
jiaxing;30.7522;120.75;0.0
jiangyin;31.91102;120.26302;0.0
izmir;38.41273;27.13838;0.0
istanbul;41.01384;28.94966;0.0
huangshi;30.24706;115.04814;0.0
heyuan;23.73333;114.68333;0.0
hengyang;26.88946;112.61888;0.0
hefei;31.86389;117.28083;0.0
hangzhou;30.29365;120.16142;0.0
haiyan;28.73632;109.12367;0.0
zibo;36.79056;118.06333;0.0
