geocode_name;lat;lon;workers
dhaka;23.7104;90.40744;67000
phnom penh;11.56245;104.91601;52000
bangalore;12.97194;77.59369;37500
yangon;16.80528;96.15611;31500
rangpur;25.74664;89.25166;29000
karachi;24.8608;67.0104;26000
narayanganj;23.61352;90.50298;20000
faisalabad;31.41554;73.08969;18000
faridabad;28.41124;77.31316;17000
tirupur;11.11541;77.35456;16500
bandung;-6.92222;107.60694;13000
lahore;31.558;74.35071;13000
istanbul;41.01384;28.94966;12500
ningbo;29.87819;121.54945;9500
dongguan;23.01797;113.74866;9500
noida;28.58;77.33;9000
hangzhou;30.29365;120.16142;9000
puebla de zaragoza;19.03793;-98.20346;8500
mirzapur;24.10287;90.09841;7500
savar;47.23088;16.62155;7500
guadalajara;40.62862;-3.16185;7500
león;42.60003;-5.57032;7500
izmir;38.41273;27.13838;7000
nantong;32.03028;120.87472;7000
shengzhou;29.59583;120.81667;6000
wenzhou;27.99942;120.66682;6000
tehuacán;18.46422;-97.39735;6000
chittagong;22.3384;91.83168;5500
indore;22.71792;75.8333;5500
nam dinh;20.43389;106.17729;5500
ho chi minh;10.82302;106.62965;5000
jiangyin;31.91102;120.26302;5000
shanghai;31.22222;121.45806;4500
gurgaon;28.4601;77.02635;4000
shenzhen;22.54554;114.0683;4000
tekirdag;40.9781;27.51101;3500
dalian;38.91222;121.60222;3500
guangzhou;23.11667;113.25;3500
ha noi;21.0245;105.84117;3000
my tho;10.36004;106.35996;3000
yiwu;29.31506;120.07676;3000
bac giang;21.27307;106.1946;3000
mandalay;21.97473;96.08359;2500
semarang;-6.99306;110.42083;2500
fuzhou;27.95999;116.33333;2500
ganzhou;25.84664;114.9326;2500
hai duong;20.94099;106.33302;2500
raiwind;31.24895;74.21534;2500
port said;31.26531;32.3019;2500
luleburgaz;41.40385;27.35918;2500
shivamogga;13.93157;75.56791;2500
vi thanh;9.78449;105.47012;2500
thanh hoa;10.65744;106.18081;2500
ludhiana;30.91204;75.85379;2500
lima;40.74255;-84.10523;2500
bogor;-6.59444;106.78917;2500
weifang;36.71;119.10194;2500
valsad;20.61013;72.93428;2500
uriangato;20.14085;-101.18251;2500
naucalpan;19.47851;-99.23963;2500
tan an;15.58224;108.11422;2500
coimbatore;11.00555;76.96612;2500
ta khmau;11.48333;104.95;2500
suzhou;31.30408;120.59538;2000
taizhou;28.66266;121.43312;2000
yantai;30.1467;107.3196;2000
pachuca de soto;20.11697;-98.73329;2000
qingdao;36.06488;120.38042;2000
quanzhou;25.93545;111.06752;2000
ordu;40.97782;37.89047;2000
yangzhou;32.39722;119.43583;2000
dandong;40.12917;124.39472;2000
batman;37.88738;41.13221;1500
jaipur;26.91962;75.78781;1500
jalisco;16.43033;-91.97499;1500
zapopan;20.72356;-103.38479;1500
jiaxing;30.7522;120.75;1500
teziutlan;19.8173;-97.35992;1500
huzhou;30.8703;120.0933;1500
wuxi;26.5844;111.859;1500
cholula;19.06406;-98.30352;1500
bursa;40.19559;29.06013;1500
nabeul;36.45606;10.73763;1500
san francisco del rincón;21.01843;-101.85515;1500
tokat;40.31389;36.55444;1500
haiphong;20.86481;106.68345;1500
chignautla;14.70289;-90.49983;1500
esenyurt;41.02697;28.67732;1500
morelia;1.48747;-75.72581;1000
nanjing;32.06167;118.77778;1000
adapazarı;40.78056;30.40333;1000
santiago de querétaro;20.58806;-100.38806;1000
shangqiu;34.45;115.65;1000
shantou;23.36814;116.71479;1000
shijiazhuang;38.04139;114.47861;1000
takeo;33.19009;130.02084;1000
tanger;35.76727;-5.79975;1000
thai nguyen;37.86944;112.56028;1000
tongxiang;30.63287;120.56081;1000
van;38.49457;43.38323;1000
zhaoqing;23.04893;112.46091;1000
zhengzhou;34.75778;113.64861;1000
zhuji;29.71877;120.24233;1000
shaoxing;30.00237;120.57864;1000
linyi;35.06306;118.34278;1000
zinapecuaro;19.86006;-100.82857;1000
duzce;35.05515;33.78388;1000
changshu;31.64615;120.74221;1000
jining;35.405;116.58139;1000
anqing;30.51365;117.04723;1000
kampong cham;11.99339;105.4635;1000
dezhou;27.40809;102.18001;1000
denizli;37.77417;29.0875;1000
celaya;20.52353;-100.8157;1000
alexandria;45.88524;-95.37754;1000
afyonkarahisar;38.75667;30.54333;1000
tunis;36.81897;10.16579;500
cankiri;40.59995;33.6153;500
tu nghia;15.08451;108.826;500
cangzhou;38.31667;116.86667;500
tongling;30.95;117.78333;500
changshun;41.89139;113.99222;500
thu duc;10.84863;106.77209;500
tlalnepantla;19.00885;-98.99613;500
