geocode_name;lat;lon;workers
dhaka;23.7104;90.40744;116500
phnom penh;11.56245;104.91601;18000
dongguan;23.01797;113.74866;16500
savar;47.23088;16.62155;15000
shenzhen;22.54554;114.0683;9000
karachi;24.8608;67.0104;6500
gurgaon;28.4601;77.02635;6500
rangpur;25.74664;89.25166;6000
ningbo;29.87819;121.54945;6000
guangzhou;23.11667;113.25;6000
faridabad;28.41124;77.31316;5500
zhongshan;34.93806;105.8775;5500
hangzhou;30.29365;120.16142;4500
noida;28.58;77.33;4500
huzhou;30.8703;120.0933;4000
istanbul;41.01384;28.94966;4000
takeo;33.19009;130.02084;3500
wenzhou;27.99942;120.66682;3500
mymensingh;24.75636;90.40646;3000
shengzhou;29.59583;120.81667;3000
jiaxing;30.7522;120.75;3000
suzhou;31.30408;120.59538;3000
ganzhou;25.84664;114.9326;3000
ho chi minh;10.82302;106.62965;3000
weifang;36.71;119.10194;3000
tekirdag;40.9781;27.51101;3000
tirupur;11.11541;77.35456;2500
raiwind;31.24895;74.21534;2500
svay rieng;11.08785;105.79935;2500
thong nhat;10.95055;107.14571;2500
huidong;26.63745;102.57568;2500
lahore;31.558;74.35071;2500
chittagong;22.3384;91.83168;2500
vellore;12.9184;79.13255;2500
semarang;-6.99306;110.42083;2500
mirpur;33.14782;73.75187;2500
mirzapur;24.10287;90.09841;2500
western;39.48537;-79.04475;2500
narsingdi;23.92298;90.71768;2500
bien hoa;10.94469;106.82432;2500
foshan;23.02677;113.13148;2000
yangzhou;32.39722;119.43583;2000
nanjing;32.06167;118.77778;2000
nantong;32.03028;120.87472;2000
shanghai;31.22222;121.45806;1500
shaoxing;30.00237;120.57864;1500
taizhou;28.66266;121.43312;1500
huizhou;23.11147;114.41523;1500
jiangyin;31.91102;120.26302;1500
wuxi;26.5844;111.859;1500
yantai;30.1467;107.3196;1500
colombo;6.93548;79.84868;1500
xiamen;24.47979;118.08187;1500
zhuhai;29.36937;105.88323;1000
alexandria;45.88524;-95.37754;1000
weihai;37.50914;122.11356;1000
salé;31.78336;35.23388;1000
quanzhou;25.93545;111.06752;1000
zhangjiagang;31.865;120.53889;1000
yiwu;29.31506;120.07676;1000
kanpur;26.46523;80.34975;1000
sihanoukville;10.60932;103.52958;1000
xiangshan;25.26252;110.27627;500
xuancheng;30.9525;118.75528;500
xining;36.62554;101.75739;500
tongi;36.2844;127.6199;500
tianjin;39.14222;117.17667;500
shantou;23.36814;116.71479;500
tianchang;32.68497;119.00932;500
rizhao;35.41414;119.52908;500
wuhu;31.33728;118.37351;500
wenshang;35.7275;116.49611;500
weinan;34.50355;109.50891;500
tongxiang;30.63287;120.56081;500
xiangcheng;31.93667;111.91778;500
adapazari;40.78056;30.40333;500
rabat;34.01325;-6.83255;500
qingdao;36.06488;120.38042;500
fuzhou;27.95999;116.33333;500
fuqing;25.7294;119.37469;500
erode;11.3428;77.72741;500
el mahalla el kubra;30.97063;31.1669;500
duzce;35.05515;33.78388;500
deyang;31.13019;104.38198;500
datong;28.59648;106.66749;500
dalian;38.91222;121.60222;500
coimbatore;11.00555;76.96612;500
chuzhou;32.32194;118.29778;500
chennai;13.08784;80.27847;500
chengnan;23.27217;116.60502;500
chengguan;35.45861;113.79778;500
chaozhou;23.65396;116.62262;500
changzhou;23.48492;111.27413;500
baoding;29.7488;105.75843;500
anuradhapura;8.31223;80.41306;500
haining;30.53629;120.68638;500
hanjiang;25.47047;119.10348;500
heyuan;23.73333;114.68333;500
kon tum;14.35451;108.00759;500
putian;25.43944;119.01028;500
nasr city;30.06667;31.3;500
nantai;40.9241;122.80437;500
nanchang;28.68396;115.85306;500
agra;46.03668;8.76833;500
ludhiana;30.91204;75.85379;500
lu'an;-8.83682;13.23432;500
kampong cham;11.99339;105.4635;500
heze;35.23929;115.47358;500
jinjiang;19.72878;110.00851;500
jinhua;29.10678;119.64421;500
jinan;36.66833;116.99722;500
jieyang;23.5418;116.36581;500
jiangshan;36.67806;120.52917;500
jiangmen;22.58333;113.08333;500
izmir;38.41273;27.13838;500
mumbai;19.07283;72.88261;500
