geocode_name;lat;lon;workers
dhaka;23.7104;90.40744;126500
suzhou;31.30408;120.59538;38500
karachi;24.8608;67.0104;36500
istanbul;41.01384;28.94966;25500
shaoxing;30.00237;120.57864;25000
bangalore;12.97194;77.59369;23500
hangzhou;30.29365;120.16142;21500
wuxi;26.5844;111.859;18500
noida;28.58;77.33;16500
ningbo;29.87819;121.54945;15500
dongguan;23.01797;113.74866;14500
shanghai;31.22222;121.45806;10000
jiaxing;30.7522;120.75;8500
daegu;35.87028;128.59111;8500
semarang;-6.99306;110.42083;8000
anqing;30.51365;117.04723;8000
gurgaon;28.4601;77.02635;7500
nantong;32.03028;120.87472;6000
changzhou;23.48492;111.27413;6000
huzhou;30.8703;120.0933;5500
faridabad;28.41124;77.31316;5500
tekirdag;40.9781;27.51101;5000
foshan;23.02677;113.13148;4500
raiwind;31.24895;74.21534;4000
guangzhou;23.11667;113.25;4000
dalian;38.91222;121.60222;4000
zhongshan;34.93806;105.8775;4000
agra;27.18333;78.01667;4000
yeşilyurt;38.33972;28.66444;3500
chennai;13.08784;80.27847;3500
bursa;40.19559;29.06013;3500
narayanganj;23.61352;90.50298;3500
buca;38.3983;27.16662;3000
yangon;16.80528;96.15611;3000
jinhua;29.10678;119.64421;3000
shenzhen;22.54554;114.0683;3000
phnom penh;11.56245;104.91601;3000
bhopal;23.25469;77.40289;2500
bao'an;39.89944;117.47639;2500
malatya;38.35018;38.31667;2500
marmara;40.58633;27.55541;2500
jiangyin;31.91102;120.26302;2500
amritsar;31.62234;74.87534;2500
jepara;-5.16948;105.70441;2500
xuzhou;34.20442;117.28386;2500
osmangazi;40.19671;29.05935;2500
boyolali;-7.53306;110.59583;2500
yancheng;29.74357;103.56679;2500
purwakarta;-6.55694;107.44333;2500
erode;11.3428;77.72741;2500
cianjur;-6.82222;107.13944;2500
kayseri;38.73222;35.48528;2500
yavatmal;20.39324;78.13201;2500
shivamogga;13.93157;75.56791;2500
coimbatore;11.00555;76.96612;2500
mymensingh;24.75636;90.40646;2500
qingdao;36.06488;120.38042;2000
nanjing;32.06167;118.77778;2000
izmir;38.41273;27.13838;2000
fuzhou;27.95999;116.33333;2000
huizhou;23.11147;114.41523;2000
quanzhou;25.93545;111.06752;2000
beylikdüzü;40.982;28.6399;2000
taoyuan;26.2283;100.56;2000
shantou;23.36814;116.71479;2000
esenler;41.0435;28.87619;2000
yangzhou;32.39722;119.43583;2000
cigli;38.0515;31.86379;1500
taipei;25.04776;121.53185;1500
uijeongbu;37.7415;127.0474;1500
linyi;35.06306;118.34278;1500
yiwu;29.31506;120.07676;1500
yinchuan;38.46806;106.27306;1500
corlu;41.15917;27.8;1500
kanpur;26.46523;80.34975;1500
shanwei;22.78199;115.3475;1500
tirupur;11.11541;77.35456;1500
weihai;37.50914;122.11356;1500
seoul;37.566;126.9784;1500
jiangmen;22.58333;113.08333;1500
adana;36.98615;35.32531;1500
qingyuan;37.61748;112.32583;1000
silvassa;20.27386;72.99673;1000
surat;21.19594;72.83023;1000
sancaktepe;41.00244;29.23187;1000
tanger;35.76727;-5.79975;1000
jalandhar;31.32556;75.57917;1000
merter;41.00711;28.88795;1000
jining;35.405;116.58139;1000
zhuhai;29.36937;105.88323;1000
yantai;30.1467;107.3196;1000
esenyurt;41.02697;28.67732;1000
yangju;37.83311;127.06169;1000
fes;34.03313;-5.00028;1000
xiamen;24.47979;118.08187;1000
heshan;28.5825;112.35028;1000
taizhou;28.66266;121.43312;1000
gwangju;37.41;127.25722;1000
jinjiang;19.72878;110.00851;1000
vellore;12.9184;79.13255;1000
meknes;33.89352;-5.54727;1000
kahramanmaraş;37.5847;36.92641;1000
kolkata;22.56263;88.36304;1000
taishan;22.25135;112.7799;1000
xinxiang;30.49999;108.27278;500
yildirim;40.18851;29.10974;500
tokat;40.31389;36.55444;500
takeo;10.99081;104.78498;500
zhenjiang;32.21086;119.45508;500
zhaoqing;23.04893;112.46091;500
zhangzhou;24.51333;117.65556;500
yunfu;22.92787;112.03809;500
yongfeng;27.45493;112.16943;500
wuhan;30.58333;114.26667;500
thane;36.80368;9.84424;500
tarapur;19.86499;72.68426;500
tongxiang;30.63287;120.56081;500
weifang;36.71;119.10194;500
tuzla;36.70074;35.08726;500
temara;33.92866;-6.90656;500
yakuplu;40.98894;28.67582;500
xinyu;27.83906;114.84591;500
taza;34.21;-4.01;500
manisa;38.61202;27.42647;500
söke;37.7482;27.40614;500
gumi;36.1136;128.336;500
galle;6.0461;80.2103;500
farrukhabad;27.39134;79.5793;500
faisalabad;31.41554;73.08969;500
dongyang;29.83291;106.45066;500
dezhou;27.40809;102.18001;500
dandong;40.12917;124.39472;500
corum;40.54889;34.95333;500
cilimli;40.89361;31.04917;500
changshu;31.64615;120.74221;500
changhua;34.8269;112.43129;500
casablanca;33.58831;-7.61138;500
bucheon;37.49889;126.78306;500
bizerte;37.27442;9.87391;500
beijing;39.9075;116.39723;500
baddi;30.95783;76.79136;500
arnavutköy;41.18355;28.7402;500
ansan;35.34199;129.03358;500
gaziemir;38.32392;27.12918;500
gunesli;38.90253;35.62743;500
svay rieng;11.08785;105.79935;500
haining;30.53629;120.68638;500
sialkot;32.49268;74.53134;500
shengzhou;29.59583;120.81667;500
shaoguan;24.8;113.58333;500
shangrao;28.45179;117.94287;500
salem;11.65376;78.15538;500
mumbai;19.07283;72.88261;500
monastir;35.77799;10.82617;500
merkez;40.12954;26.42075;500
luoyang;23.16244;114.27342;500
luleburgaz;41.40385;27.35918;500
