geocode_name;lat;lon;workers
dhaka;23.7104;90.40744;109500
bangalore;12.97194;77.59369;91500
phnom penh;11.56245;104.91601;46000
sukabumi;-6.91806;106.92667;33000
dongguan;23.01797;113.74866;31500
gurgaon;28.4601;77.02635;28500
semarang;-6.99306;110.42083;28000
colombo;6.93548;79.84868;22500
karachi;24.8608;67.0104;22000
chittagong;22.3384;91.83168;20500
shenzhen;22.54554;114.0683;17500
zhongshan;34.93806;105.8775;15500
foshan;23.02677;113.13148;15000
subang;-7.1277;108.5283;10500
noida;28.58;77.33;10000
bogor;-6.59444;106.78917;9000
delhi;28.65195;77.23149;9000
huizhou;23.11147;114.41523;8500
wonogiri;-7.81444;110.92056;8000
faridabad;28.41124;77.31316;8000
ningbo;29.87819;121.54945;8000
ismailia;30.60427;32.27225;8000
tay ninh;36.62554;101.75739;8000
quanzhou;25.93545;111.06752;8000
majalengka;-6.83611;108.22778;7500
qingdao;36.06488;120.38042;7000
erode;11.3428;77.72741;7000
chennai;13.08784;80.27847;7000
ludhiana;30.91204;75.85379;7000
suzhou;31.30408;120.59538;6500
bandung;-6.92222;107.60694;6000
tirupur;11.11541;77.35456;6000
tangerang;-6.17806;106.63;6000
bekasi;-6.2349;106.9896;6000
coimbatore;11.00555;76.96612;5500
koggala;5.9886;80.3286;5500
kampong speu;11.45332;104.52085;5500
hangzhou;30.29365;120.16142;5500
shanwei;22.78199;115.3475;5500
changzhou;23.48492;111.27413;5500
dki jakarta;-6.21462;106.84513;5500
lahore;31.558;74.35071;5000
kegalle;7.2523;80.3436;5000
guangzhou;23.11667;113.25;5000
yangon;16.80528;96.15611;5000
santa barbara;10.82306;122.53444;5000
long an;23.1685;107.69217;4500
rangpur;25.74664;89.25166;4000
tongi;36.2844;127.6199;4000
purwakarta;-6.55694;107.44333;3500
mixco;14.63077;-90.60711;3500
jakarta;-6.21462;106.84513;3500
batangas;13.7567;121.0584;3500
guatemala city;14.64072;-90.51327;3500
shivamogga;13.93157;75.56791;3000
port said;31.26531;32.3019;3000
bucheon;37.49889;126.78306;3000
comilla;23.46186;91.18503;3000
narayanganj;23.61352;90.50298;3000
thai nguyen;37.86944;112.56028;3000
mirpur;33.14782;73.75187;2500
mymensingh;24.75636;90.40646;2500
mysore;12.29791;76.63925;2500
an duong;36.096;114.38278;2500
gaziemir;38.32392;27.12918;2500
escuintla;14.3009;-90.78581;2500
durango;32.24865;-115.25227;2500
guilin;25.28022;110.29639;2500
panadura;6.7132;79.9026;2500
gizah;30.00944;31.20861;2500
tumakuru;13.34136;77.1022;2500
hassan;13.00715;76.0962;2500
cianjur;-6.82222;107.13944;2500
hebi;35.89917;114.1925;2500
putian;25.43944;119.01028;2500
zhoukou;33.63333;114.63333;2500
hindupur;13.82807;77.49143;2500
wuhu;31.33728;118.37351;2500
taizhou;28.66266;121.43312;2500
wuxi;26.5844;111.859;2500
surakarta;-7.55611;110.83167;2500
antiguo cuscatlan;13.66492;-89.25319;2500
shaoxing;30.00237;120.57864;2500
sumedang;-6.85861;107.91639;2500
kuliyapitiya;7.4688;80.0401;2500
dalian;38.91222;121.60222;2000
johor bahru;1.4655;103.7578;2000
nantong;32.03028;120.87472;2000
iksan;35.94389;126.95444;2000
villa nueva;14.52512;-90.58544;2000
karawang;-6.30525;107.3197;2000
yancheng;29.74357;103.56679;2000
uijeongbu;37.7415;127.0474;1500
yiwu;29.31506;120.07676;1500
batu pahat;1.8548;102.9325;1000
san miguel petapa;14.50189;-90.56196;1000
shengzhou;29.59583;120.81667;1000
incheon;37.45646;126.70515;1000
cairo;30.06263;31.24967;1000
qingyuan;37.61748;112.32583;1000
negombo;7.2083;79.8358;1000
linyi;35.06306;118.34278;1000
haining;30.53629;120.68638;1000
xuzhou;34.20442;117.28386;1000
huaibei;33.97444;116.79167;1000
jiaxing;30.7522;120.75;1000
sukoharjo;-7.6725;110.83806;1000
yangju;37.83311;127.06169;1000
amritsar;31.62234;74.87534;500
tianjin;39.14222;117.17667;500
tunis;36.81897;10.16579;500
tuy hoa;46.64814;126.96656;500
weihai;37.50914;122.11356;500
wenzhou;27.99942;120.66682;500
wuzhou;23.48054;111.28848;500
xiangcheng;31.93667;111.91778;500
xingtai;37.06306;114.49417;500
xining;36.62554;101.75739;500
xinyang;32.12278;114.06556;500
yantai;30.1467;107.3196;500
takeo;10.99081;104.78498;500
meizhou;24.28859;116.11768;500
taipei;25.04776;121.53185;500
jiutepec;18.88139;-99.17778;500
anuradhapura;8.31223;80.41306;500
baicheng;33.38639;114.01583;500
chittoor;13.21055;79.0956;500
chongqing;29.56026;106.55771;500
chuzhou;32.32194;118.29778;500
fuyang;30.05333;119.95194;500
heyuan;23.73333;114.68333;500
heze;35.23929;115.47358;500
hosur;12.73647;77.83264;500
huzhou;30.8703;120.0933;500
jiangyin;31.91102;120.26302;500
jieyang;23.5418;116.36581;500
jinjiang;19.72878;110.00851;500
kampong cham;11.99339;105.4635;500
silang;14.21567;120.97137;500
kanchipuram;12.83515;79.70006;500
kandy;7.2906;80.6336;500
kurunegala;7.4839;80.3683;500
merkez;40.12954;26.42075;500
merzifon;40.87333;35.46306;500
nanjing;32.06167;118.77778;500
rosario;8.38694;126.00333;500
san salvador;20.28583;-99.01457;500
sanming;26.24861;117.61861;500
santa ana;-12.86667;-72.71667;500
seongnam;37.43861;127.13778;500
shanghai;31.22222;121.45806;500
shantou;23.36814;116.71479;500
zibo;36.79056;118.06333;500
