geocode_name;lat;lon;workers
dhaka;23.7104;90.40744;12500
mymensingh;24.75636;90.40646;7500
bangalore;12.97194;77.59369;5000
bien hoa;10.94469;106.82432;3500
hangzhou;30.29365;120.16142;2500
kanchipuram;12.83515;79.70006;2500
mirzapur;24.10287;90.09841;2500
zhongshan;34.93806;105.8775;2500
changshu;31.64615;120.74221;500
changzhou;23.48492;111.27413;500
dongguan;23.01797;113.74866;500
huangshan;26.82634;100.21906;500
nantong;32.03028;120.87472;500
suzhou;31.30408;120.59538;500
tanger;35.76727;-5.79975;500
zonguldak;41.45139;31.79305;500
