geocode_name;lat;lon;workers
dhaka;23.7104;90.40744;401500
narayanganj;23.61352;90.50298;87000
bangalore;12.97194;77.59369;86500
phnom penh;11.56245;104.91601;55500
chittagong;22.3384;91.83168;52000
istanbul;41.01384;28.94966;45500
semarang;-6.99306;110.42083;43000
karachi;24.8608;67.0104;38000
yangon;16.80528;96.15611;36000
mymensingh;24.75636;90.40646;33500
noida;28.58;77.33;27000
suzhou;31.30408;120.59538;19500
dongguan;23.01797;113.74866;19500
izmir;38.41273;27.13838;19000
hangzhou;30.29365;120.16142;16500
qingdao;36.06488;120.38042;16500
tongi;36.2844;127.6199;16000
tirupur;11.11541;77.35456;16000
sukabumi;-6.91806;106.92667;15500
mirzapur;24.10287;90.09841;15500
bandung;-6.92222;107.60694;14000
ningbo;29.87819;121.54945;12500
majalengka;-6.83611;108.22778;12500
faridabad;28.41124;77.31316;12000
zhongshan;34.93806;105.8775;11500
tekirdag;40.9781;27.51101;10000
shanghai;31.22222;121.45806;9500
amroha;28.90314;78.46984;8500
putian;25.43944;119.01028;8500
jiaxing;30.7522;120.75;8500
shenzhen;22.54554;114.0683;8000
tay ninh;36.62554;101.75739;8000
cimahi;-6.87222;107.5425;8000
changzhou;23.48492;111.27413;8000
mirpur;33.14782;73.75187;7500
rangpur;25.74664;89.25166;7500
gurgaon;28.4601;77.02635;7500
panipat;29.38747;76.96825;7000
wenzhou;27.99942;120.66682;7000
bursa;40.19559;29.06013;7000
bogor;-6.59444;106.78917;7000
nantong;32.03028;120.87472;6500
jiangyin;31.91102;120.26302;6500
huizhou;23.11147;114.41523;6500
lahore;31.558;74.35071;6500
addis ababa;9.02497;38.74689;6000
wuxi;26.5844;111.859;5500
guangzhou;23.11667;113.25;5500
hawassa;7.06205;38.47635;5500
moradabad;28.83893;78.77684;5500
takeo;10.99081;104.78498;5500
boyolali;-7.53306;110.59583;5500
sukoharjo;-7.6725;110.83806;5500
agra;27.18333;78.01667;5500
tanger;35.76727;-5.79975;5500
tangerang;-6.17806;106.63;5500
kampong speu;11.45332;104.52085;5500
wonogiri;-7.81444;110.92056;5000
vellore;12.9184;79.13255;5000
faisalabad;31.41554;73.08969;5000
bago;17.33521;96.48135;5000
yogyakarta;-7.80139;110.36472;5000
shanwei;22.78199;115.3475;5000
denizli;37.77417;29.0875;5000
delhi;28.65195;77.23149;5000
heze;35.23929;115.47358;5000
hindupur;13.82807;77.49143;5000
ordu;40.97782;37.89047;4500
tai'an;30.79554;108.65921;4000
jining;35.405;116.58139;4000
yantai;30.1467;107.3196;4000
ganzhou;25.84664;114.9326;4000
suqian;33.94917;118.29583;3500
dongyang;29.83291;106.45066;3500
dezhou;27.40809;102.18001;3500
foshan;23.02677;113.13148;3500
chennai;13.08784;80.27847;3500
chitradurga;14.22262;76.40038;3000
kurunegala;7.4839;80.3683;3000
yiwu;29.31506;120.07676;3000
buca;38.3983;27.16662;3000
surakarta;-7.55611;110.83167;3000
hobiganj;24.38044;91.41299;3000
subang;-7.1277;108.5283;3000
valsad;20.61013;72.93428;3000
krishnagiri;12.51921;78.21382;3000
dki jakarta;-6.21462;106.84513;3000
mandalay;21.97473;96.08359;3000
koggala;5.9886;80.3286;3000
hassan;13.00715;76.0962;3000
vavuniya;8.7514;80.4971;2500
kanpur;26.46523;80.34975;2500
yingkou;40.66472;122.23176;2500
kampong chhnang;12.25;104.66667;2500
mekele;13.49667;39.47528;2500
batman;37.88738;41.13221;2500
kandy;7.2906;80.6336;2500
taizhou;28.66266;121.43312;2500
barnala;30.37451;75.5487;2500
barisal;22.70497;90.37013;2500
fuzhou;27.95999;116.33333;2500
bantul;-7.88806;110.32889;2500
raiwind;31.24895;74.21534;2500
aksaray;38.37255;34.02537;2500
narsingdi;23.92298;90.71768;2500
gampaha;7.0897;79.9925;2500
mysore;12.29791;76.63925;2500
coimbatore;11.00555;76.96612;2500
heyuan;23.73333;114.68333;2500
sonipat;28.99478;77.01937;2500
hosur;12.73647;77.83264;2500
comilla;23.46186;91.18503;2500
ji'an;26.86879;100.22072;2500
lu'an;36.18389;113.10528;2500
xiantao;30.3708;113.44294;2500
cianjur;-6.82222;107.13944;2500
galle;6.0461;80.2103;2500
edirne;41.67719;26.55597;2500
mersin;36.81196;34.63886;2500
kutahya;39.42417;29.98333;2000
jaipur;26.91962;75.78781;2000
daegu;35.87028;128.59111;2000
mumbai;19.07283;72.88261;1500
quanzhou;25.93545;111.06752;1500
sfax;34.74056;10.76028;1500
nanjing;32.06167;118.77778;1500
shangrao;28.45179;117.94287;1500
corum;40.54889;34.95333;1500
chuzhou;32.32194;118.29778;1500
kirklareli;41.73508;27.22521;1500
yangzhou;32.39722;119.43583;1500
weifang;36.71;119.10194;1500
tokat;40.31389;36.55444;1500
huzhou;30.8703;120.0933;1500
sialkot;32.49268;74.53134;1000
xuancheng;30.9525;118.75528;1000
yangju;37.83311;127.06169;1000
changshu;31.64615;120.74221;1000
sinop;42.02683;35.16253;1000
bolu;40.73583;31.60611;1000
beylikdüzü;40.982;28.6399;1000
konya;37.87135;32.48464;1000
corlu;41.15917;27.8;1000
shengzhou;29.59583;120.81667;1000
qianjiang;30.421;112.8919;1000
bangarapet;12.99116;78.17804;1000
zhoukou;33.63333;114.63333;1000
zhuhai;29.36937;105.88323;1000
shaoxing;30.00237;120.57864;1000
anqing;30.51365;117.04723;1000
seongnam;37.43861;127.13778;1000
seoul;37.566;126.9784;1000
amasya;40.65333;35.83306;1000
zhaoqing;23.04893;112.46091;1000
huanggang;30.45143;114.87035;1000
xiamen;24.47979;118.08187;1000
haining;30.53629;120.68638;1000
long an;23.1685;107.69217;1000
wuhu;31.33728;118.37351;1000
jakarta;-6.21462;106.84513;1000
jinjiang;19.72878;110.00851;1000
liyang;29.6518;111.752;1000
karur;10.95771;78.08095;1000
kastamonu;41.37805;33.77528;1000
kunshan;31.37762;120.95431;1000
wuhan;30.58333;114.26667;1000
esenyurt;41.02697;28.67732;1000
linyi;35.06306;118.34278;1000
thanjavur;10.78523;79.13909;500
tianjin;39.14222;117.17667;500
zhuji;29.71877;120.24233;500
taiyuan;37.86944;112.56028;500
zhumadian;32.97944;114.02944;500
shaoguan;24.8;113.58333;500
zhangzhou;24.51333;117.65556;500
zhenjiang;32.21086;119.45508;500
yozgat;39.82;34.80444;500
turhal;40.3875;36.08111;500
sikandrabad;28.45226;77.70004;500
tuzla;36.70074;35.08726;500
silvassa;20.27386;72.99673;500
usak;18.14905;-94.4447;500
yingtan;28.23333;117.0;500
weihai;37.50914;122.11356;500
suizhou;31.71111;113.36306;500
yangjiang;21.85563;111.96272;500
sirmaur;24.83648;81.36448;500
yalova;40.65501;29.27693;500
adapazarı;40.78056;30.40333;500
shantou;23.36814;116.71479;500
changshun;41.89139;113.99222;500
guangshui;31.6199;113.9978;500
giresun;40.91698;38.38741;500
ghaziabad;28.66535;77.43915;500
gandara;12.013;124.8118;500
fuyang;30.05333;119.95194;500
fatehpur;31.17772;71.2048;500
esenler;41.0435;28.87619;500
dewas;22.96585;76.05526;500
dalian;38.91222;121.60222;500
colombo;6.93548;79.84868;500
cigli;38.0515;31.86379;500
chengde;40.9519;117.95883;500
chaozhou;23.65396;116.62262;500
chaoyang;37.90801;113.15044;500
changde;29.03205;111.69844;500
hengyang;26.88946;112.61888;500
casablanca;33.58831;-7.61138;500
cangzhou;38.31667;116.86667;500
busan;35.10168;129.03004;500
bozhou;33.87722;115.77028;500
bekasi;-6.2349;106.9896;500
beijing;39.9075;116.39723;500
beihai;25.08005;98.57746;500
baoding;29.7488;105.75843;500
bangkok;13.75398;100.50144;500
balikesir;39.64917;27.88611;500
aydin;38.62198;38.54052;500
aurangabad;19.87757;75.34226;500
anuradhapura;8.31223;80.41306;500
adiyaman;37.76441;38.27629;500
hefei;31.86389;117.28083;500
hohhot;40.81056;111.65222;500
shangqiu;34.45;115.65;500
liaocheng;36.45064;116.00247;500
samut sakhon;13.54753;100.27362;500
puyang;35.76318;115.01721;500
puri;19.79825;85.82494;500
pakokku;21.33489;95.08438;500
paju;37.83278;126.81694;500
ordos;39.6086;109.78157;500
nilphamari;25.94167;88.84667;500
nakhon pathom;13.8196;100.04427;500
monastir;35.77799;10.82617;500
monaragala;6.8714;81.3487;500
merkez;40.12954;26.42075;500
malatya;38.35018;38.31667;500
loudi;27.73444;111.99444;500
longnan;33.39791;104.91703;500
lianyungang;34.59845;119.21556;500
hwaseong;37.20682;126.8169;500
langfang;39.50972;116.69472;500
lakshmipur;22.9443;90.83005;500
laizhou;37.18073;119.94217;500
kochi;43.80194;81.08722;500
kocaeli;40.74012;30.00556;500
kimhae;35.23417;128.88111;500
khulna;22.80979;89.56439;500
kavakli;37.44463;28.36276;500
karanganyar;-7.59833;110.94444;500
karaman;37.18111;33.215;500
kanchipuram;12.83515;79.70006;500
jiangmen;22.58333;113.08333;500
jessore;23.16971;89.21371;500
icel;36.81196;34.63886;500
zonguldak;41.45139;31.79305;500
