geocode_name;lat;lon;workers
bago;17.33521;96.48135;0.0
san miguel petapa;14.50189;-90.56196;0.0
suzhou;31.30408;120.59538;0.0
shenzhen;22.54554;114.0683;0.0
shengzhou;29.59583;120.81667;0.0
shaoxing;30.00237;120.57864;0.0
seongnam;37.43861;127.13778;0.0
savar;47.23088;16.62155;0.0
quanzhou;25.93545;111.06752;0.0
tianjin;39.14222;117.17667;0.0
qingyuan;37.61748;112.32583;0.0
qingdao;36.06488;120.38042;0.0
purwakarta;-6.55694;107.44333;0.0
pakokku;21.33489;95.08438;0.0
osmangazi;40.19671;29.05935;0.0
noida;28.58;77.33;0.0
taizhou;28.66266;121.43312;0.0
tirupur;11.11541;77.35456;0.0
nantong;32.03028;120.87472;0.0
yangon;16.80528;96.15611;0.0
zhongshan;34.93806;105.8775;0.0
zhangzhou;24.51333;117.65556;0.0
yiwu;29.31506;120.07676;0.0
yingkou;40.66472;122.23176;0.0
yantai;30.1467;107.3196;0.0
yangzhou;32.39722;119.43583;0.0
yancheng;29.74357;103.56679;0.0
tongi;36.2844;127.6199;0.0
xinglong;29.25841;109.03714;0.0
xiamen;24.47979;118.08187;0.0
wenzhou;27.99942;120.66682;0.0
weihai;37.50914;122.11356;0.0
tongxiang;30.63287;120.56081;0.0
tongling;30.95;117.78333;0.0
ningbo;29.87819;121.54945;0.0
nanjing;32.06167;118.77778;0.0
baoding;29.7488;105.75843;0.0
dhaka;23.7104;90.40744;0.0
guangzhou;23.11667;113.25;0.0
fuzhou;27.95999;116.33333;0.0
esenyurt;41.02697;28.67732;0.0
duzce;35.05515;33.78388;0.0
dongyang;29.83291;106.45066;0.0
dongguan;23.01797;113.74866;0.0
dalian;38.91222;121.60222;0.0
gurgaon;28.4601;77.02635;0.0
coimbatore;11.00555;76.96612;0.0
chittagong;22.3384;91.83168;0.0
changshu;31.64615;120.74221;0.0
cangzhou;38.31667;116.86667;0.0
buca;38.3983;27.16662;0.0
beijing;39.9075;116.39723;0.0
guilin;25.28022;110.29639;0.0
hangzhou;30.29365;120.16142;0.0
nanchang;28.68396;115.85306;0.0
jalalabad;29.61853;77.43908;0.0
mymensingh;24.75636;90.40646;0.0
mirpur;33.14782;73.75187;0.0
linyi;35.06306;118.34278;0.0
jiaxing;30.7522;120.75;0.0
jiangyin;31.91102;120.26302;0.0
jiangmen;22.58333;113.08333;0.0
izmir;38.41273;27.13838;0.0
hefei;31.86389;117.28083;0.0
istanbul;41.01384;28.94966;0.0
huzhou;30.8703;120.0933;0.0
huizhou;23.11147;114.41523;0.0
huangshi;30.24706;115.04814;0.0
huangshan;26.82634;100.21906;0.0
huanghua;38.381;117.31363;0.0
zhuji;29.71877;120.24233;0.0
