geocode_name;lat;lon;workers
adapazarı;40.78056;30.40333;0.0
ninh binh;20.25809;105.97965;0.0
phnom penh;11.56245;104.91601;0.0
port said;31.26531;32.3019;0.0
puebla de zaragoza;19.03793;-98.20346;0.0
pune;18.51957;73.85535;0.0
purwakarta;-6.55694;107.44333;0.0
putian;25.43944;119.01028;0.0
qingdao;36.06488;120.38042;0.0
quang ninh;17.40438;106.64072;0.0
quanzhou;25.93545;111.06752;0.0
quy nhon;13.77648;109.22367;0.0
rangpur;25.74664;89.25166;0.0
ratnapura;6.6858;80.4036;0.0
rizhao;35.41414;119.52908;0.0
samut prakan;13.59934;100.59675;0.0
samut sakhon;13.54753;100.27362;0.0
san juan del rio;16.88407;-96.15983;0.0
san marcos;25.66667;-103.0091;0.0
noida;28.58;77.33;0.0
ningbo;29.87819;121.54945;0.0
savar;47.23088;16.62155;0.0
negombo;7.2083;79.8358;0.0
lerdo;19.28786;-99.65324;0.0
león;42.60003;-5.57032;0.0
long an;23.1685;107.69217;0.0
long thanh;10.78909;106.95029;0.0
ludhiana;30.91204;75.85379;0.0
mahdia;35.50472;11.06222;0.0
matale;7.4698;80.6217;0.0
meoqui;28.27226;-105.48046;0.0
mirpur;33.14782;73.75187;0.0
mohali;30.67995;76.72211;0.0
monastir;39.3836;9.04445;0.0
mumbai;19.07283;72.88261;0.0
nanchang;28.68396;115.85306;0.0
nanjing;32.06167;118.77778;0.0
nantong;32.03028;120.87472;0.0
narayanganj;23.61352;90.50298;0.0
nazareno;25.39916;-103.42065;0.0
san miguel petapa;14.50189;-90.56196;0.0
shanghai;31.22222;121.45806;0.0
agra;46.03668;8.76833;0.0
trang bang;11.02987;106.35751;0.0
weifang;36.71;119.10194;0.0
weihai;37.50914;122.11356;0.0
wenzhou;27.99942;120.66682;0.0
western;39.48537;-79.04475;0.0
wuxi;26.5844;111.859;0.0
xiamen;24.47979;118.08187;0.0
xiangcheng;31.93667;111.91778;0.0
xiaogan;30.92689;113.92221;0.0
yangju;37.83311;127.06169;0.0
yangzhou;32.39722;119.43583;0.0
yantai;30.1467;107.3196;0.0
yichang;30.71444;111.28472;0.0
zhangzhou;24.51333;117.65556;0.0
zhijiang;30.42139;111.75333;0.0
zhongshan;34.93806;105.8775;0.0
zhoukou;33.63333;114.63333;0.0
zhuji;29.71877;120.24233;0.0
villa victoria;19.43693;-99.99589;0.0
torreon;21.47444;-101.47056;0.0
shangqiu;34.45;115.65;0.0
tirupur;11.11541;77.35456;0.0
shangrao;28.45179;117.94287;0.0
shantou;23.36814;116.71479;0.0
shaoxing;30.00237;120.57864;0.0
shengzhou;29.59583;120.81667;0.0
shenzhen;22.54554;114.0683;0.0
shijiazhuang;38.04139;114.47861;0.0
son tinh;15.15856;108.79582;0.0
suqian;33.94917;118.29583;0.0
suzhou;31.30408;120.59538;0.0
taizhou;28.66266;121.43312;0.0
tekirdag;40.9781;27.51101;0.0
thai binh;20.45;106.34002;0.0
thai nguyen;37.86944;112.56028;0.0
thanh hoa;10.65744;106.18081;0.0
thu duc;10.84863;106.77209;0.0
tianchang;32.68497;119.00932;0.0
tijuana;32.5027;-117.00371;0.0
lahore;31.558;74.35071;0.0
la paz;10.8925;124.95583;0.0
kunshan;31.37762;120.95431;0.0
chennai;13.08784;80.27847;0.0
chonburi;13.3622;100.98345;0.0
chongqing;29.56026;106.55771;0.0
chuzhou;32.32194;118.29778;0.0
coimbatore;11.00555;76.96612;0.0
colombo;6.93548;79.84868;0.0
corlu;41.15917;27.8;0.0
cuautitlan izcalli;19.64388;-99.21598;0.0
cuencame;24.87116;-103.69731;0.0
da nang;16.06778;108.22083;0.0
dali;25.58474;100.21229;0.0
danyang;26.35102;119.4803;0.0
dewas;22.96585;76.05526;0.0
dezhou;27.40809;102.18001;0.0
dhaka;23.7104;90.40744;0.0
di an;50.3048;3.44796;0.0
dien ban;15.88853;108.25447;0.0
dongguan;23.01797;113.74866;0.0
chittagong;22.3384;91.83168;0.0
changzhou;23.48492;111.27413;0.0
karachi;24.8608;67.0104;0.0
changshu;31.64615;120.74221;0.0
aguascalientes;21.88234;-102.28259;0.0
al qahirah;30.06263;31.24967;0.0
alexandria;45.88524;-95.37754;0.0
anqing;30.51365;117.04723;0.0
bac giang;21.27307;106.1946;0.0
bangalore;12.97194;77.59369;0.0
bangkok;13.75398;100.50144;0.0
bantul;-7.88806;110.32889;0.0
bekasi;-6.2349;106.9896;0.0
bien hoa;10.94469;106.82432;0.0
bogor;-6.59444;106.78917;0.0
bolu;40.73583;31.60611;0.0
boyolali;-7.53306;110.59583;0.0
bozhou;33.87722;115.77028;0.0
caborca;30.71825;-112.15822;0.0
cairo;30.06263;31.24967;0.0
campeche;19.84386;-90.52554;0.0
dongyang;29.83291;106.45066;0.0
ensenada;-34.86186;-57.91126;0.0
esenyurt;41.02697;28.67732;0.0
faisalabad;31.41554;73.08969;0.0
hyderabad;25.39242;68.37366;0.0
incheon;37.45646;126.70515;0.0
indore;22.71792;75.8333;0.0
ipoh;4.5841;101.0829;0.0
ismailia;30.60427;32.27225;0.0
istanbul;41.01384;28.94966;0.0
jaipur;26.91962;75.78781;0.0
jalandhar;31.32556;75.57917;0.0
jepara;-5.16948;105.70441;0.0
jiangyin;31.91102;120.26302;0.0
jiaxing;30.7522;120.75;0.0
jieyang;23.5418;116.36581;0.0
jilotepec;19.61184;-96.95169;0.0
jinhua;29.10678;119.64421;0.0
jining;35.405;116.58139;0.0
jinjiang;19.72878;110.00851;0.0
jiujiang;29.70475;116.00206;0.0
huzhou;30.8703;120.0933;0.0
huong tra;16.52539;107.4755;0.0
hung yen;20.64637;106.05112;0.0
haiphong;20.86481;106.68345;0.0
fuqing;25.7294;119.37469;0.0
gaizhou;40.39417;122.36861;0.0
galle;6.0461;80.2103;0.0
ganzhou;25.84664;114.9326;0.0
gizah;30.00944;31.20861;0.0
guangzhou;23.11667;113.25;0.0
gómez palacio;25.56985;-103.49588;0.0
haiyan;28.73632;109.12367;0.0
hung ha;20.5904;106.22445;0.0
hangzhou;30.29365;120.16142;0.0
hanoi;21.0245;105.84117;0.0
heyuan;23.73333;114.68333;0.0
ho chi minh;10.82302;106.62965;0.0
hoa binh;20.81717;105.33759;0.0
homagama;6.844;80.0024;0.0
huai'an;33.58861;119.01917;0.0
zibo;36.79056;118.06333;0.0
