geocode_name;lat;lon;workers
dhaka;23.7104;90.40744;85000
bangalore;12.97194;77.59369;49000
phnom penh;11.56245;104.91601;42000
chittagong;22.3384;91.83168;38000
savar;47.23088;16.62155;35500
rangpur;25.74664;89.25166;26500
western;39.48537;-79.04475;21000
dongguan;23.01797;113.74866;20500
istanbul;41.01384;28.94966;17500
shenzhen;22.54554;114.0683;16000
gurgaon;28.4601;77.02635;16000
mymensingh;24.75636;90.40646;12500
jiangmen;22.58333;113.08333;10500
kampong speu;11.45332;104.52085;10000
narayanganj;23.61352;90.50298;10000
bandung;-6.92222;107.60694;10000
guangzhou;23.11667;113.25;9500
trang bom;10.95358;107.00589;7500
tirupur;11.11541;77.35456;7000
negombo;7.2083;79.8358;7000
tekirdag;40.9781;27.51101;7000
koggala;5.9886;80.3286;6500
chennai;13.08784;80.27847;6000
ho chi minh city;10.82302;106.62965;5500
bien hoa;10.94469;106.82432;5500
yangon;16.80528;96.15611;5000
yogyakarta;-7.80139;110.36472;5000
jiaxing;30.7522;120.75;4000
faridabad;28.41124;77.31316;4000
wuxi;26.5844;111.859;3500
yiwu;29.31506;120.07676;3500
hangzhou;30.29365;120.16142;3500
foshan;23.02677;113.13148;3000
chau thanh;10.0009;105.75095;3000
horana;6.7159;80.0626;3000
suzhou;31.30408;120.59538;3000
jining;35.405;116.58139;3000
visakhapatnam;17.68009;83.20161;3000
haiphong;20.86481;106.68345;3000
ismailia;30.60427;32.27225;2500
mirpur;33.14782;73.75187;2500
ningbo;29.87819;121.54945;2500
my tho;10.36004;106.35996;2500
luong son;20.87148;105.52568;2500
nilphamari;25.94167;88.84667;2500
hobiganj;24.38044;91.41299;2500
lahore;31.558;74.35071;2500
kanakapura;12.54654;77.42005;2500
kurunegala;7.4839;80.3683;2500
kuliyapitiya;7.4688;80.0401;2500
heyuan;23.73333;114.68333;2500
kandy;7.2906;80.6336;2500
faisalabad;31.41554;73.08969;2500
tongi;36.2844;127.6199;2500
subang;-7.1277;108.5283;2500
coimbatore;11.00555;76.96612;2500
thai nguyen;37.86944;112.56028;2500
cam lam;12.05398;109.16004;2500
shaoguan;24.8;113.58333;2500
semarang;-6.99306;110.42083;2500
sukoharjo;-7.6725;110.83806;2500
baotou;40.6516;109.84389;2500
krishnagiri;12.51921;78.21382;2500
ampara;7.29754;81.68202;2500
çerkezköy;41.28629;27.99939;2500
aksaray;38.37255;34.02537;2500
noida;28.58;77.33;2000
sultanbeyli;40.96072;29.27067;2000
denizli;37.77417;29.0875;2000
dalian;38.91222;121.60222;2000
nanjing;32.06167;118.77778;2000
bursa;40.19559;29.06013;1500
merkez;40.12954;26.42075;1500
huizhou;23.11147;114.41523;1500
corlu;41.15917;27.8;1500
shengzhou;29.59583;120.81667;1500
esenyurt;41.02697;28.67732;1500
gunesli;38.90253;35.62743;1500
quanzhou;25.93545;111.06752;1000
shantou;23.36814;116.71479;1000
weifang;36.71;119.10194;1000
ordu;40.97782;37.89047;1000
polonnaruwa;7.93965;81.00274;1000
zhongshan;34.93806;105.8775;1000
sancaktepe;41.00244;29.23187;1000
rabat;34.01325;-6.83255;1000
ümraniye;41.03291;29.10137;1000
kalutara;6.5831;79.9593;1000
colombo;6.93548;79.84868;1000
hassan;13.00715;76.0962;1000
changzhou;23.48492;111.27413;1000
beylikdüzü;40.982;28.6399;1000
izmir;38.41273;27.13838;1000
buca;38.3983;27.16662;1000
hung ha;20.5904;106.22445;1000
galle;6.0461;80.2103;1000
