geocode_name;lat;lon;workers
tangerang;-6.17806;106.63;30000
vellore;12.9184;79.13255;22500
karawang;-6.30525;107.3197;20000
sukabumi;-6.91806;106.92667;17500
tay ninh;36.62554;101.75739;15000
semarang;-6.99306;110.42083;13000
putian;25.43944;119.01028;13000
ningbo;29.87819;121.54945;12500
yichun;27.83333;114.4;12500
bangkok;13.75398;100.50144;11500
long an;23.1685;107.69217;10500
huizhou;23.11147;114.41523;10000
serang;-6.11528;106.15417;10000
qingyuan;37.61748;112.32583;10000
qingdao;36.06488;120.38042;9000
raiwind;31.24895;74.21534;8000
phnom penh;11.56245;104.91601;8000
bandung;-6.92222;107.60694;8000
guadalajara;20.66682;-103.39182;7500
leles;-7.1099;107.8986;7500
cianjur;-6.82222;107.13944;7500
heyuan;23.73333;114.68333;7500
san pedro;25.75602;-102.98385;7500
horana;6.7159;80.0626;7500
jepara;-5.16948;105.70441;7500
kaoh kong;11.61531;102.9838;7500
subang;-7.1277;108.5283;7500
kampong speu;11.45332;104.52085;7500
suzhou;31.30408;120.59538;6500
dongguan;23.01797;113.74866;5500
guangzhou;23.11667;113.25;5000
caborca;30.71825;-112.15822;5000
bekasi;-6.2349;106.9896;5000
yongzhou;26.42389;111.61306;5000
rangpur;25.74664;89.25166;5000
johor bahru;1.4655;103.7578;4500
zhongshan;34.93806;105.8775;3500
colombo;6.93548;79.84868;3500
shenzhen;22.54554;114.0683;3500
jiaxing;30.7522;120.75;3500
negombo;7.2083;79.8358;3000
puebla de zaragoza;19.03793;-98.20346;3000
khon kaen;16.44671;102.833;3000
shaoxing;30.00237;120.57864;3000
taipei;25.04776;121.53185;3000
nakhon pathom;13.8196;100.04427;3000
jakarta;-6.21462;106.84513;3000
johor;1.4655;103.7578;2500
sonipat;28.99478;77.01937;2500
dong an;44.57883;129.61865;2500
dki jakarta;-6.21462;106.84513;2500
ratnapura;6.6858;80.4036;2500
roi et;16.0567;103.65309;2500
sam phran;13.72698;100.21526;2500
dhaka;23.7104;90.40744;2500
jining;35.405;116.58139;2500
chennai;13.08784;80.27847;2500
shantou;23.36814;116.71479;2500
shaoyang;27.23818;111.46214;2500
changde;29.03205;111.69844;2500
pingxiang;35.2079;105.25058;2500
chalchuapa;13.98667;-89.68111;2500
suqian;33.94917;118.29583;2500
chaiyaphum;15.81047;102.02881;2500
boyolali;-7.53306;110.59583;2500
thai nguyen;37.86944;112.56028;2500
udon thani;17.41567;102.78589;2500
villa nueva;14.52512;-90.58544;2500
bang phli;13.60678;100.71201;2500
yoro;15.1375;-87.12778;2500
zaozhuang;34.86472;117.55417;2500
fuzhou;27.95999;116.33333;2500
colon;28.24167;-105.44361;2500
indore;22.71792;75.8333;2500
kegalle;7.2523;80.3436;2500
phichit;16.44184;100.34879;2500
nong bua lamphu;17.20406;102.44068;2500
nasr city;30.06667;31.3;2500
la paz;10.8925;124.95583;2500
nanchang;28.68396;115.85306;2500
majalengka;-6.83611;108.22778;2500
marmara;40.58633;27.55541;2500
mihintale;8.3593;80.5103;2500
baca;21.10874;-89.39866;2500
yangzhou;32.39722;119.43583;2000
busan;35.10168;129.03004;2000
shanghai;31.22222;121.45806;1000
wuxi;26.5844;111.859;1000
taichung;24.1469;120.6839;1000
george town;5.41123;100.33543;1000
guatemala city;14.64072;-90.51327;1000
samut sakhon;13.54753;100.27362;1000
seongnam;37.43861;127.13778;500
yancheng;29.74357;103.56679;500
kimhae;35.23417;128.88111;500
bogor;-6.59444;106.78917;500
istanbul;41.01384;28.94966;500
villa victoria;19.43693;-99.99589;500
ensenada;31.87149;-116.60071;500
yangju;37.83311;127.06169;500
tizimin;21.14268;-88.15101;500
fuqing;25.7294;119.37469;500
yantai;30.1467;107.3196;500
bangalore;12.97194;77.59369;500
guatemala;14.56111;-90.73444;500
jiangmen;22.58333;113.08333;500
jiangyin;31.91102;120.26302;500
zhenjiang;32.21086;119.45508;500
tuzla;36.70074;35.08726;500
thatoom;15.3195;103.67542;500
tijuana;32.5027;-117.00371;500
san salvador;20.28583;-99.01457;500
changzhou;23.48492;111.27413;500
meizhou;24.28859;116.11768;500
changhua;34.8269;112.43129;500
sirmaur;24.83648;81.36448;500
sleman;-7.71556;110.35556;500
nakhon ratchasima;14.97066;102.10196;500
hangzhou;30.29365;120.16142;500
shaoguan;24.8;113.58333;500
purwakarta;-6.55694;107.44333;500
guigang;23.11603;109.59472;500
campeche;19.84386;-90.52554;500
taoyuan;26.2283;100.56;500
kurunegala;7.4839;80.3683;500
kunshan;31.37762;120.95431;500
alexandria;31.20176;29.91582;500
