geocode_name;lat;lon;workers
bangkok;13.75398;100.50144;0.0
santa ana;-12.86667;-72.71667;0.0
shenzhen;22.54554;114.0683;0.0
shantou;23.36814;116.71479;0.0
shanghai;31.22222;121.45806;0.0
serang;-6.11528;106.15417;0.0
semarang;-6.99306;110.42083;0.0
sayula;19.88225;-103.60027;0.0
samut sakhon;13.54753;100.27362;0.0
ben tre;10.24147;106.37585;0.0
roi et;16.0567;103.65309;0.0
quanzhou;25.93545;111.06752;0.0
qingdao;36.06488;120.38042;0.0
purwakarta;-6.55694;107.44333;0.0
phu ninh;21.08333;105.95;0.0
phnom penh;11.56245;104.91601;0.0
sialkot;32.49268;74.53134;0.0
sleman;-7.71556;110.35556;0.0
suzhou;31.30408;120.59538;0.0
tan an;15.58224;108.11422;0.0
tan phu;11.45119;106.86811;0.0
tangerang;-6.17806;106.63;0.0
thanh hoa;10.65744;106.18081;0.0
thu duc;10.84863;106.77209;0.0
tijuana;32.5027;-117.00371;0.0
udon thani;17.41567;102.78589;0.0
xiamen;24.47979;118.08187;0.0
yangzhou;32.39722;119.43583;0.0
yantai;30.1467;107.3196;0.0
yichun;27.83333;114.4;0.0
yongzhou;26.42389;111.61306;0.0
zhaoqing;23.04893;112.46091;0.0
zhongshan;34.93806;105.8775;0.0
ningbo;29.87819;121.54945;0.0
nantong;32.03028;120.87472;0.0
nam dan;18.69799;105.49881;0.0
guangzhou;23.11667;113.25;0.0
bien hoa;10.94469;106.82432;0.0
bizerte;37.27442;9.87391;0.0
can duoc;10.50966;106.60308;0.0
can tho;10.03711;105.78825;0.0
changhua;34.8269;112.43129;0.0
chau thanh;10.0009;105.75095;0.0
chenzhou;25.8;113.03333;0.0
ciudad arce;13.84028;-89.44722;0.0
dalian;38.91222;121.60222;0.0
di an;50.3048;3.44796;0.0
dongguan;23.01797;113.74866;0.0
fatsa;41.02778;37.50139;0.0
foshan;23.02677;113.13148;0.0
ganzhou;25.84664;114.9326;0.0
haining;30.53629;120.68638;0.0
nakhon pathom;13.8196;100.04427;0.0
haiyan;28.73632;109.12367;0.0
heyuan;23.73333;114.68333;0.0
ho chi minh;10.82302;106.62965;0.0
horana;6.7159;80.0626;0.0
huamantla;19.31451;-97.9252;0.0
istanbul;41.01384;28.94966;0.0
jakarta;-6.21462;106.84513;0.0
jiangmen;22.58333;113.08333;0.0
jiaxing;30.7522;120.75;0.0
lapu-lapu city;10.31028;123.94944;0.0
long an;23.1685;107.69217;0.0
lourdes;7.94411;-72.83253;0.0
miaoli;24.56427;120.82367;0.0
muntinlupa;14.39028;121.0475;0.0
zhuhai;29.36937;105.88323;0.0
