geocode_name;lat;lon;workers
dhaka;23.7104;90.40744;23000
ho chi minh;10.82302;106.62965;15000
ningbo;29.87819;121.54945;12500
dongguan;23.01797;113.74866;8000
zhongshan;34.93806;105.8775;7500
chau thanh;10.0009;105.75095;7500
thanh hoa;10.65744;106.18081;7500
mymensingh;24.75636;90.40646;7500
shenzhen;22.54554;114.0683;7500
phnom penh;11.56245;104.91601;5500
irapuato;20.67675;-101.35628;5000
tan thanh;10.60666;106.04714;5000
long an;23.1685;107.69217;4500
guangzhou;23.11667;113.25;3500
huizhou;23.11147;114.41523;3000
putian;25.43944;119.01028;3000
sialkot;32.49268;74.53134;3000
ho chi minh city;10.82302;106.62965;3000
tangerang;-6.17806;106.63;3000
thu dau mot;10.9804;106.6519;3000
yongzhou;26.42389;111.61306;3000
thu thua;10.60232;106.40207;2500
beihai;25.08005;98.57746;2500
ben tre;10.24147;106.37585;2500
yangzhou;32.39722;119.43583;2500
batam;1.14937;104.02491;2500
can duoc;10.50966;106.60308;2500
dong xoai;11.53495;106.88324;2500
lourdes;7.94411;-72.83253;2500
changde;29.03205;111.69844;2500
svay rieng;11.08785;105.79935;2500
tay ninh;11.31004;106.09828;2500
takeo;33.19009;130.02084;2500
dong an;15.58224;108.11422;2500
taoyuan;26.2283;100.56;2000
changzhou;23.48492;111.27413;1000
taichung;24.1469;120.6839;1000
tlalnepantla;19.00885;-98.99613;500
savar;47.23088;16.62155;500
quanzhou;25.93545;111.06752;500
ayutthaya;14.35167;100.57739;500
lamongan;-7.11667;112.41667;500
foshan;23.02677;113.13148;500
bekasi;-6.2349;106.9896;500
beylikdüzü;40.982;28.6399;500
busan;35.10168;129.03004;500
can giuoc;10.60857;106.67135;500
cebu city;10.31672;123.89071;500
changhua;34.8269;112.43129;500
dehradun;30.32443;78.03392;500
fatsa;41.02778;37.50139;500
gaozhou;21.91965;110.85678;500
kluang;2.03046;103.31689;500
gimhae;35.23417;128.88111;500
haiphong;20.86481;106.68345;500
hangzhou;30.29365;120.16142;500
heyuan;23.73333;114.68333;500
jalandhar;31.32556;75.57917;500
jiangmen;22.58333;113.08333;500
jiaxing;30.7522;120.75;500
jinjiang;19.72878;110.00851;500
istanbul;41.01384;28.94966;500
