geocode_name;lat;lon;workers
addis ababa;9.02497;38.74689;0.0
quang nam;15.88853;108.25447;0.0
ordu;40.97782;37.89047;0.0
panadura;6.7132;79.9026;0.0
parit buntar;5.12671;100.49316;0.0
penang;5.41123;100.33543;0.0
phnom penh;11.56245;104.91601;0.0
phu ly;20.54531;105.91221;0.0
purwakarta;-6.55694;107.44333;0.0
putian;25.43944;119.01028;0.0
qingdao;36.06488;120.38042;0.0
qingyuan;37.61748;112.32583;0.0
quanzhou;25.93545;111.06752;0.0
koggala;5.9886;80.3286;0.0
ratnapura;6.6858;80.4036;0.0
samut prakan;13.59934;100.59675;0.0
san luis;20.18809;-75.85031;0.0
san luis rio colorado;32.45612;-114.77186;0.0
santa anita;20.47028;-100.815;0.0
savar;47.23088;16.62155;0.0
semarang;-6.99306;110.42083;0.0
seoul;37.566;126.9784;0.0
shanghai;31.22222;121.45806;0.0
shangrao;28.45179;117.94287;0.0
ningbo;29.87819;121.54945;0.0
nhon trach;10.72294;106.88341;0.0
negombo;7.2083;79.8358;0.0
nantong;32.03028;120.87472;0.0
kuliyapitiya;7.4688;80.0401;0.0
kunshan;31.37762;120.95431;0.0
kurunegala;7.4839;80.3683;0.0
liaoyuan;42.90361;125.13583;0.0
long thanh;10.78909;106.95029;0.0
lourdes;7.94411;-72.83253;0.0
lu'an;-8.83682;13.23432;0.0
ludhiana;30.91204;75.85379;0.0
luong son;20.87148;105.52568;0.0
mae sot;16.71667;98.56667;0.0
manouba;36.81006;10.09557;0.0
menzel jemil;37.23618;9.91448;0.0
miaoli;24.56427;120.82367;0.0
mirpur;33.14782;73.75187;0.0
mixco;14.63077;-90.60711;0.0
monastir;39.3836;9.04445;0.0
mumbai;19.07283;72.88261;0.0
my hao;20.93653;106.05711;0.0
nabeul;36.45606;10.73763;0.0
nam dinh;20.43389;106.17729;0.0
nanjing;32.06167;118.77778;0.0
shantou;23.36814;116.71479;0.0
shaoxing;30.00237;120.57864;0.0
shengzhou;29.59583;120.81667;0.0
vavuniya;8.7514;80.4971;0.0
visakhapatnam;17.68009;83.20161;0.0
vu thu;20.43671;106.29116;0.0
weifang;36.71;119.10194;0.0
weihai;37.50914;122.11356;0.0
wenzhou;27.99942;120.66682;0.0
western;39.48537;-79.04475;0.0
wonogiri;-7.81444;110.92056;0.0
wuxi;26.5844;111.859;0.0
xiamen;24.47979;118.08187;0.0
yancheng;29.74357;103.56679;0.0
yangzhou;32.39722;119.43583;0.0
yilan;24.757;121.753;0.0
yiwu;29.31506;120.07676;0.0
yiyang;28.58917;112.32833;0.0
yogyakarta;-7.80139;110.36472;0.0
yulin;31.67517;109.48636;0.0
zhangzhou;24.51333;117.65556;0.0
zhaoqing;23.04893;112.46091;0.0
zhengzhou;34.75778;113.64861;0.0
zhongshan;34.93806;105.8775;0.0
zhuji;29.71877;120.24233;0.0
vellore;12.9184;79.13255;0.0
tunis;36.81897;10.16579;0.0
shenzhen;22.54554;114.0683;0.0
trang bom;10.95358;107.00589;0.0
shivamogga;13.93157;75.56791;0.0
sousse;35.82539;10.63699;0.0
subang;-7.1277;108.5283;0.0
suqian;33.94917;118.29583;0.0
suzhou;31.30408;120.59538;0.0
svay rieng;11.08785;105.79935;0.0
taichung;24.1469;120.6839;0.0
taizhou;28.66266;121.43312;0.0
tangerang;-6.17806;106.63;0.0
tay ninh;11.31004;106.09828;0.0
tehuacán;18.46422;-97.39735;0.0
tepanco de lopez;18.55686;-97.5613;0.0
thai binh;20.45;106.34002;0.0
thai nguyen;37.86944;112.56028;0.0
tianjin;39.14222;117.17667;0.0
tijuana;32.5027;-117.00371;0.0
tirupur;11.11541;77.35456;0.0
tongxiang;30.63287;120.56081;0.0
torreon;21.47444;-101.47056;0.0
touza;35.63544;10.82732;0.0
trang bang;11.02987;106.35751;0.0
kolkata;22.56263;88.36304;0.0
kegalle;7.2523;80.3436;0.0
alexandria;45.88524;-95.37754;0.0
comilla;23.46186;91.18503;0.0
cebu city;10.31672;123.89071;0.0
changping;40.21612;116.23471;0.0
changshu;31.64615;120.74221;0.0
changzhou;23.48492;111.27413;0.0
chengdu;30.66667;104.06667;0.0
chennai;13.08784;80.27847;0.0
chittagong;22.3384;91.83168;0.0
chongzuo;22.38161;107.3683;0.0
cimahi;-6.87222;107.5425;0.0
colombo;6.93548;79.84868;0.0
corum;40.54889;34.95333;0.0
karur;10.95771;78.08095;0.0
daegu;35.87028;128.59111;0.0
danyang;26.35102;119.4803;0.0
dezhou;27.40809;102.18001;0.0
dhaka;23.7104;90.40744;0.0
di an;50.3048;3.44796;0.0
dong nai;11.57981;107.36518;0.0
dongguan;23.01797;113.74866;0.0
edirne;41.67719;26.55597;0.0
el alia;37.16911;10.03478;0.0
erode;11.3428;77.72741;0.0
cao lanh;10.46017;105.63294;0.0
cam lam;12.05398;109.16004;0.0
cairo;30.06263;31.24967;0.0
bursa;40.19559;29.06013;0.0
amritsar;31.62234;74.87534;0.0
an thi;52.73679;15.22878;0.0
anqing;30.51365;117.04723;0.0
anuradhapura;8.31223;80.41306;0.0
ate;-19.80139;-45.68556;0.0
ayutthaya;14.35167;100.57739;0.0
ba tri;10.04427;106.5902;0.0
babaeski;41.4325;27.09306;0.0
bac giang;21.27307;106.1946;0.0
bac ninh;21.18608;106.07631;0.0
bandung;-6.92222;107.60694;0.0
bangalore;12.97194;77.59369;0.0
bangkok;13.75398;100.50144;0.0
baoji;34.36775;107.23705;0.0
batticaloa;7.7102;81.6924;0.0
bien hoa;10.94469;106.82432;0.0
bizerte;37.27442;9.87391;0.0
bogor;-6.59444;106.78917;0.0
bolu;40.73583;31.60611;0.0
boyolali;-7.53306;110.59583;0.0
buca;38.3983;27.16662;0.0
esenyurt;41.02697;28.67732;0.0
eskisehir;39.77667;30.52056;0.0
faisalabad;31.41554;73.08969;0.0
heshan;28.5825;112.35028;0.0
ho chi minh;10.82302;106.62965;0.0
ho chi minh city;10.82302;106.62965;0.0
hoa binh;20.81717;105.33759;0.0
hoc mon;10.8891;106.59533;0.0
horana;6.7159;80.0626;0.0
huaibei;33.97444;116.79167;0.0
huidong;26.63745;102.57568;0.0
huizhou;23.11147;114.41523;0.0
hung ha;20.5904;106.22445;0.0
hung yen;20.64637;106.05112;0.0
huzhou;30.8703;120.0933;0.0
istanbul;41.01384;28.94966;0.0
jaipur;26.91962;75.78781;0.0
jiangmen;22.58333;113.08333;0.0
jiaxing;30.7522;120.75;0.0
jinhua;29.10678;119.64421;0.0
jining;35.405;116.58139;0.0
jinjiang;19.72878;110.00851;0.0
jiujiang;29.70475;116.00206;0.0
kairouan;35.6781;10.09633;0.0
karabuk;41.20488;32.62768;0.0
heyuan;23.73333;114.68333;0.0
helwan;29.84144;31.30084;0.0
faridabad;28.41124;77.31316;0.0
hefei;31.86389;117.28083;0.0
fenghuang;27.93557;109.59961;0.0
fes;44.42735;10.79055;0.0
foshan;23.02677;113.13148;0.0
fuqing;25.7294;119.37469;0.0
fuyang;30.05333;119.95194;0.0
fuzhou;27.95999;116.33333;0.0
galle;6.0461;80.2103;0.0
gampaha;7.0897;79.9925;0.0
gizah;30.00944;31.20861;0.0
guangzhou;23.11667;113.25;0.0
guilin;25.28022;110.29639;0.0
gurgaon;28.4601;77.02635;0.0
ha noi;21.0245;105.84117;0.0
hai duong;20.94099;106.33302;0.0
haining;30.53629;120.68638;0.0
haiphong;20.86481;106.68345;0.0
hangzhou;30.29365;120.16142;0.0
hanoi;21.0245;105.84117;0.0
hassan;13.00715;76.0962;0.0
hawassa;7.06205;38.47635;0.0
hebei;39.57472;117.11333;0.0
zibo;36.79056;118.06333;0.0
