geocode_name;lat;lon;workers
dhaka;23.7104;90.40744;117000
tirupur;11.11541;77.35456;49500
narayanganj;23.61352;90.50298;30500
istanbul;41.01384;28.94966;23000
chittagong;22.3384;91.83168;20000
bangalore;12.97194;77.59369;20000
ningbo;29.87819;121.54945;18500
hangzhou;30.29365;120.16142;18500
phnom penh;11.56245;104.91601;17500
dongguan;23.01797;113.74866;16500
karachi;24.8608;67.0104;16000
wenzhou;27.99942;120.66682;15500
yiwu;29.31506;120.07676;14000
noida;28.58;77.33;13000
faisalabad;31.41554;73.08969;12500
quanzhou;25.93545;111.06752;12000
yangon;16.80528;96.15611;11000
lahore;31.558;74.35071;11000
taizhou;28.66266;121.43312;10500
gurgaon;28.4601;77.02635;8000
fuzhou;27.95999;116.33333;8000
qingdao;36.06488;120.38042;8000
coimbatore;11.00555;76.96612;7500
suzhou;31.30408;120.59538;7000
shenzhen;22.54554;114.0683;7000
shaoxing;30.00237;120.57864;6500
nantong;32.03028;120.87472;6000
shantou;23.36814;116.71479;6000
guangzhou;23.11667;113.25;6000
jiangyin;31.91102;120.26302;5500
tekirdag;40.9781;27.51101;5500
yangzhou;32.39722;119.43583;5500
mymensingh;24.75636;90.40646;5000
changshu;31.64615;120.74221;5000
raiwind;31.24895;74.21534;5000
erode;11.3428;77.72741;5000
huizhou;23.11147;114.41523;4500
jiaxing;30.7522;120.75;4000
yantai;30.1467;107.3196;4000
chaozhou;23.65396;116.62262;3500
weihai;37.50914;122.11356;3500
suqian;33.94917;118.29583;3500
kampong speu;11.45332;104.52085;3500
zhongshan;34.93806;105.8775;3500
faridabad;28.41124;77.31316;3000
huzhou;30.8703;120.0933;3000
shangrao;28.45179;117.94287;3000
mirpur;33.14782;73.75187;3000
yancheng;29.74357;103.56679;3000
kolhapur;16.69563;74.23167;2500
mirzapur;24.10287;90.09841;2500
tongi;36.2844;127.6199;2500
semarang;-6.99306;110.42083;2500
tumakuru;13.34136;77.1022;2500
krishnagiri;12.51921;78.21382;2500
narsingdi;23.92298;90.71768;2500
jiangmen;22.58333;113.08333;2500
sukabumi;-6.91806;106.92667;2500
ganzhou;25.84664;114.9326;2500
boyolali;-7.53306;110.59583;2500
bogor;-6.59444;106.78917;2500
bandung;-6.92222;107.60694;2500
bago;17.33521;96.48135;2500
denizli;37.77417;29.0875;2500
nanjing;32.06167;118.77778;2000
sancaktepe;41.00244;29.23187;2000
tianjin;39.14222;117.17667;2000
shengzhou;29.59583;120.81667;2000
jining;35.405;116.58139;1500
chennai;13.08784;80.27847;1500
wuxi;26.5844;111.859;1500
shanghai;31.22222;121.45806;1500
chizhou;30.66134;117.47783;1500
jinjiang;19.72878;110.00851;1500
xiamen;24.47979;118.08187;1500
quzhou;28.95944;118.86861;1500
batman;37.88738;41.13221;1000
panipat;29.38747;76.96825;1000
chenzhou;25.8;113.03333;1000
takeo;10.99081;104.78498;1000
bursa;40.19559;29.06013;1000
zhuji;29.71877;120.24233;1000
mumbai;19.07283;72.88261;1000
haining;30.53629;120.68638;1000
