geocode_name;lat;lon;workers
an duong;36.096;114.38278;0.0
purwakarta;-6.55694;107.44333;0.0
rangpur;25.74664;89.25166;0.0
semarang;-6.99306;110.42083;0.0
shanghai;31.22222;121.45806;0.0
shangqiu;34.45;115.65;0.0
shaoguan;24.8;113.58333;0.0
shaoxing;30.00237;120.57864;0.0
shenzhen;22.54554;114.0683;0.0
subang;-7.1277;108.5283;0.0
suqian;33.94917;118.29583;0.0
suzhou;31.30408;120.59538;0.0
taizhou;28.66266;121.43312;0.0
tay ninh;36.62554;101.75739;0.0
weifang;36.71;119.10194;0.0
xuancheng;30.9525;118.75528;0.0
xuzhou;34.20442;117.28386;0.0
yancheng;29.74357;103.56679;0.0
yinchuan;38.46806;106.27306;0.0
zhongshan;34.93806;105.8775;0.0
zhuhai;29.36937;105.88323;0.0
qingdao;36.06488;120.38042;0.0
prachin buri;14.04992;101.36864;0.0
anqing;30.51365;117.04723;0.0
ningbo;29.87819;121.54945;0.0
bandung;-6.92222;107.60694;0.0
beijing;39.9075;116.39723;0.0
boyolali;-7.53306;110.59583;0.0
changzhou;23.48492;111.27413;0.0
chittagong;22.3384;91.83168;0.0
cimahi;-6.87222;107.5425;0.0
dhaka;23.7104;90.40744;0.0
dongguan;23.01797;113.74866;0.0
ezhou;30.4;114.83333;0.0
hangzhou;30.29365;120.16142;0.0
huizhou;23.11147;114.41523;0.0
jepara;-5.16948;105.70441;0.0
jiaxing;30.7522;120.75;0.0
jining;35.405;116.58139;0.0
lianyungang;34.59845;119.21556;0.0
majalengka;-6.83611;108.22778;0.0
mymensingh;24.75636;90.40646;0.0
nanjing;32.06167;118.77778;0.0
nantong;32.03028;120.87472;0.0
zibo;36.79056;118.06333;0.0
