geocode_name;lat;lon;workers
nam dinh;20.43389;106.17729;12500
dongguan;23.01797;113.74866;12500
chittagong;22.3384;91.83168;10000
thai binh;20.45;106.34002;8000
dong nai;11.57981;107.36518;8000
nhon trach;10.72294;106.88341;7500
thu dau mot;10.9804;106.6519;7500
phnom penh;11.56245;104.91601;5500
lapu-lapu city;10.31028;123.94944;5500
johor bahru;1.4655;103.7578;5000
tangerang;-6.17806;106.63;5000
san pedro;25.75602;-102.98385;5000
zhongshan;34.93806;105.8775;5000
bien hoa;10.94469;106.82432;5000
shanghai;31.22222;121.45806;4000
guangzhou;23.11667;113.25;3500
la paz;10.8925;124.95583;3000
ha noi;21.0245;105.84117;2500
tan an;15.58224;108.11422;2500
chon thanh;11.42821;106.63536;2500
shenzhen;22.54554;114.0683;2500
taipei;25.04776;121.53185;2500
chau thanh;10.0009;105.75095;2500
qinzhou;21.98247;108.65061;2500
caborca;30.71825;-112.15822;2500
thanh hoa;10.65744;106.18081;2500
tijuana;32.5027;-117.00371;2500
trang bang;11.02987;106.35751;2500
yogyakarta;-7.80139;110.36472;2500
yulin;31.67517;109.48636;2500
samut sakhon;13.54753;100.27362;2500
serang;-6.11528;106.15417;2500
di an;50.3048;3.44796;2500
nasr city;30.06667;31.3;2500
ho chi minh;10.82302;106.62965;2500
hung yen;20.64637;106.05112;2500
dong hung;20.55651;106.35532;2500
bandung;-6.92222;107.60694;2500
shantou;23.36814;116.71479;1000
jiangshan;36.67806;120.52917;1000
ho chi minh city;10.82302;106.62965;1000
san miguel petapa;14.50189;-90.56196;500
hoc mon;10.8891;106.59533;500
tlaxcala;19.31905;-98.19982;500
bangkok;13.75398;100.50144;500
jacaleapa;14.01667;-86.66667;500
thanh xuan;20.99472;105.79977;500
jakarta;-6.21462;106.84513;500
tay ninh;11.31004;106.09828;500
shaoxing;30.00237;120.57864;500
jiaxing;30.7522;120.75;500
guatemala;14.56111;-90.73444;500
san juan opico;13.87611;-89.35972;500
tainan;22.99083;120.21333;500
taichung;24.1469;120.6839;500
suzhou;31.30408;120.59538;500
singapore;1.28967;103.85007;500
haining;30.53629;120.68638;500
long an;23.1685;107.69217;500
