geocode_name;lat;lon;workers
dhaka;23.7104;90.40744;61000
chittagong;22.3384;91.83168;58500
bangalore;12.97194;77.59369;44000
thanh hoa;10.65744;106.18081;25000
thai binh;20.45;106.34002;23000
ho chi minh;10.82302;106.62965;20500
savar;47.23088;16.62155;20000
phnom penh;11.56245;104.91601;19500
nam dinh;20.43389;106.17729;17500
dongguan;23.01797;113.74866;17000
kampong cham;11.99339;105.4635;15500
hai duong;20.94099;106.33302;15000
zhongshan;34.93806;105.8775;13000
rangpur;25.74664;89.25166;11000
bien hoa;10.94469;106.82432;10500
hung yen;20.64637;106.05112;10000
sukabumi;-6.91806;106.92667;10000
tay ninh;11.31004;106.09828;10000
kampong speu;11.45332;104.52085;10000
chennai;13.08784;80.27847;9500
di an;50.3048;3.44796;8000
karachi;24.8608;67.0104;8000
mymensingh;24.75636;90.40646;7500
luong son;20.87148;105.52568;7500
foshan;23.02677;113.13148;7500
cairo;30.06263;31.24967;7500
probolinggo;-7.7543;113.2159;7500
gurgaon;28.4601;77.02635;6000
ningbo;29.87819;121.54945;6000
haiphong;20.86481;106.68345;6000
thu dau mot;10.9804;106.6519;5500
jakarta;-6.21462;106.84513;5000
boyolali;-7.53306;110.59583;5000
mirpur;33.14782;73.75187;5000
narayanganj;23.61352;90.50298;5000
tehuacán;18.46422;-97.39735;4500
quanzhou;25.93545;111.06752;4000
qingdao;36.06488;120.38042;4000
changshu;31.64615;120.74221;4000
port said;31.26531;32.3019;3500
istanbul;41.01384;28.94966;3500
tan an;15.58224;108.11422;3500
torreon;21.47444;-101.47056;3500
villa nueva;14.52512;-90.58544;3500
ludhiana;30.91204;75.85379;3000
monastir;39.3836;9.04445;3000
ganzhou;25.84664;114.9326;3000
puebla de zaragoza;19.03793;-98.20346;3000
zhuhai;29.36937;105.88323;3000
yulin;31.67517;109.48636;3000
suzhou;31.30408;120.59538;3000
takeo;33.19009;130.02084;3000
tekax;20.2052;-89.28522;2500
leshan;42.32778;20.78111;2500
wuyang;31.9925;116.24722;2500
vu ban;20.4642;105.44348;2500
matamoros;18.58414;-90.64669;2500
uong bi;21.03433;106.77049;2500
tumakuru;13.34136;77.1022;2500
tangerang;-6.17806;106.63;2500
sam phran;13.72698;100.21526;2500
ninh binh;20.25809;105.97965;2500
subic;13.94859;120.94013;2500
olocuilta;13.56972;-89.11722;2500
phichit;16.44184;100.34879;2500
subang;-7.1277;108.5283;2500
san juan opico;13.87611;-89.35972;2500
phu ninh;21.08333;105.95;2500
la paz;10.8925;124.95583;2500
acanceh;20.81291;-89.45332;2500
izamal;20.93537;-89.01802;2500
huai'an;33.58861;119.01917;2500
ismailia;30.60427;32.27225;2500
al qahirah;30.06263;31.24967;2500
hawassa;7.06205;38.47635;2500
bantul;-7.88806;110.32889;2500
hangzhou;30.29365;120.16142;2500
bac giang;21.27307;106.1946;2500
bangkok;13.75398;100.50144;2500
gómez palacio;25.56985;-103.49588;2500
dong hung;20.55651;106.35532;2500
ha noi;21.0245;105.84117;2500
jieyang;23.5418;116.36581;2500
can duoc;10.50966;106.60308;2500
bekasi;-6.2349;106.9896;2500
tirupur;11.11541;77.35456;2000
changzhou;23.48492;111.27413;2000
guangzhou;23.11667;113.25;2000
noida;28.58;77.33;1500
izmir;38.41273;27.13838;1500
batangas;13.7567;121.0584;1500
jiangyin;31.91102;120.26302;1500
jiaxing;30.7522;120.75;1500
shengzhou;29.59583;120.81667;1500
long an;23.1685;107.69217;1500
san pedro;25.75602;-102.98385;1000
san juan del rio;16.88407;-96.15983;1000
tijuana;32.5027;-117.00371;1000
guatemala city;14.64072;-90.51327;1000
jiangmen;22.58333;113.08333;1000
nantong;32.03028;120.87472;1000
wuxi;26.5844;111.859;1000
shanghai;31.22222;121.45806;1000
taichung;24.1469;120.6839;1000
faridabad;28.41124;77.31316;1000
changhua;34.8269;112.43129;500
taoyuan;26.2283;100.56;500
cibinong;-6.48167;106.85417;500
choloma;15.61444;-87.95302;500
danyang;26.35102;119.4803;500
tegucigalpa;14.0818;-87.20681;500
delicias;41.64928;-0.90757;500
tainan;22.99083;120.21333;500
la ceiba;15.75971;-86.78221;500
ben tre;10.24147;106.37585;500
tekirdag;40.9781;27.51101;500
tepanco de lopez;18.55686;-97.5613;500
chai nat;15.18636;100.12353;500
caborca;30.71825;-112.15822;500
weifang;36.71;119.10194;500
wenzhou;27.99942;120.66682;500
bac ninh;21.18608;106.07631;500
xinyi;22.37303;110.94746;500
yangon;16.80528;96.15611;500
yiwu;29.31506;120.07676;500
yogyakarta;-7.80139;110.36472;500
zhangzhou;24.51333;117.65556;500
atlixco;18.90815;-98.43613;500
zhuji;29.71877;120.24233;500
tai'an;30.79554;108.65921;500
saucillo;28.03055;-105.29376;500
suqian;33.94917;118.29583;500
miaoli;24.56427;120.82367;500
huzhou;30.8703;120.0933;500
nonthaburi;13.86075;100.51477;500
new delhi;28.63576;77.22445;500
nanjing;32.06167;118.77778;500
nanchong;30.79508;106.08473;500
adiyaman;37.76441;38.27629;500
mixco;14.63077;-90.60711;500
jilotepec;19.61184;-96.95169;500
duzce;35.05515;33.78388;500
madurai;9.919;78.11953;500
jinhua;29.10678;119.64421;500
jining;35.405;116.58139;500
lu'an;-8.83682;13.23432;500
lianyungang;34.59845;119.21556;500
jinjiang;19.72878;110.00851;500
lerma;44.63577;8.71323;500
hue;25.48333;103.78333;500
piedras negras;20.43059;-101.39158;500
hindupur;13.82807;77.49143;500
pune;18.51957;73.85535;500
shenzhen;22.54554;114.0683;500
shaoxing;30.00237;120.57864;500
shantou;23.36814;116.71479;500
seybaplaya;19.63994;-90.68706;500
guatemala;14.56111;-90.73444;500
kanchipuram;12.83515;79.70006;500
san salvador;20.28583;-99.01457;500
san pedro sacatepequez;14.68612;-90.64253;500
san miguel petapa;14.50189;-90.56196;500
san marcos;25.66667;-103.0091;500
guiguinto;14.83333;120.88333;500
quy nhon;13.77648;109.22367;500
quetzaltenango;14.83472;-91.51806;500
haining;30.53629;120.68638;500
qianjiang;30.421;112.8919;500
zibo;36.79056;118.06333;500
